id,ag_name,ag_cat,school,state
SN-4220216-0,Gesellschaftsspiele,Gesellschaft / Partizipation,4220216,SN
SN-4220216-0,Schülerclub,Gesellschaft / Partizipation,4220216,SN
SN-4220216-0,Schülerbibliothek,Literatur / Medien,4220216,SN
SN-4220216-0,Offenes Spielangebot,Berufsorientierung,4220216,SN
SN-4220216-0,Allgemeiner Freizeitsport,Sport,4220216,SN
SN-4220216-0,Schach,Sport,4220216,SN
SN-4220216-0,Ringen,Sport,4220216,SN
SN-4220216-0,künstlerisches Gestalten,Kunst / Kultur,4220216,SN
SN-4220216-0,Tanz und Gesang,Musik / Tanz,4220216,SN
SN-4220216-0,Naturlehrpfad,Umwelt,4220216,SN
SN-4220216-0,Modellbau,Handwerk,4220216,SN
SN-4220216-0,Schulhausgestaltung,Gesellschaft / Partizipation,4220216,SN
SN-4220216-0,Hausaufgabenbetreuung,Berufsorientierung,4220216,SN
SN-4220216-0,Yoga,Sport,4220216,SN
SN-4520102-0,Schülerclub,Gesellschaft / Partizipation,4520102,SN
SN-4520243-0,Schülerbibliothek,Literatur / Medien,4520243,SN
SN-4520243-0,Offenes Spielangebot,Berufsorientierung,4520243,SN
SN-4520243-0,Bergsteigen/Klettern,Sport,4520243,SN
SN-4520243-0,Handball,Sport,4520243,SN
SN-4520243-0,Fußball,Sport,4520243,SN
SN-4520243-0,Tanz,Musik / Tanz,4520243,SN
SN-4520243-0,Band,Musik / Tanz,4520243,SN
SN-4520243-0,Chor,Musik / Tanz,4520243,SN
SN-4520243-0,Gestalten mit Naturmaterial,Kunst / Kultur,4520243,SN
SN-4520243-0,Holzgestaltung,Handwerk,4520243,SN
SN-4320487-0,Schülerbibliothek,Literatur / Medien,4320487,SN
SN-4320487-0,Schülerclub,Gesellschaft / Partizipation,4320487,SN
SN-4320487-0,Schülercafe,Berufsorientierung,4320487,SN
SN-4320487-0,Schülerbibliothek,Literatur / Medien,4320487,SN
SN-4320487-0,Leichtathletik,Sport,4320487,SN
SN-4320487-0,Unihoc,Sport,4320487,SN
SN-4320487-0,Tischtennis,Sport,4320487,SN
SN-4320487-0,Allgemeiner Freizeitsport,Sport,4320487,SN
SN-4320487-0,Vorleserunde,Literatur / Medien,4320487,SN
SN-4320487-0,Mundart,Gesellschaft / Partizipation,4320487,SN
SN-4320487-0,Englisch,Sprachen,4320487,SN
SN-4320487-0,Malerei,Kunst / Kultur,4320487,SN
SN-4320487-0,Holzgestaltung,Handwerk,4320487,SN
SN-4320487-0,Darstellendes Spiel/Theater,Kunst / Kultur,4320487,SN
SN-4320487-0,Physik,Naturwissenschaft / Technik,4320487,SN
SN-4320487-0,Modellbau,Handwerk,4320487,SN
SN-4320487-0,Schülerzeitung,Literatur / Medien,4320487,SN
SN-4320487-0,Förderangebot,Berufsorientierung,4320487,SN
SN-4320487-0,Hausaufgabenbetreuung,Berufsorientierung,4320487,SN
SN-4320487-0,Schülerschlichter,Gesellschaft / Partizipation,4320487,SN
SN-4320487-1,Schülerbibliothek,Literatur / Medien,4320487,SN
SN-4320487-1,Schülerclub,Gesellschaft / Partizipation,4320487,SN
SN-4320487-1,Schülercafe,Berufsorientierung,4320487,SN
SN-4320487-1,Schülerbibliothek,Literatur / Medien,4320487,SN
SN-4320487-1,Leichtathletik,Sport,4320487,SN
SN-4320487-1,Unihoc,Sport,4320487,SN
SN-4320487-1,Tischtennis,Sport,4320487,SN
SN-4320487-1,Allgemeiner Freizeitsport,Sport,4320487,SN
SN-4320487-1,Vorleserunde,Literatur / Medien,4320487,SN
SN-4320487-1,Mundart,Gesellschaft / Partizipation,4320487,SN
SN-4320487-1,Englisch,Sprachen,4320487,SN
SN-4320487-1,Malerei,Kunst / Kultur,4320487,SN
SN-4320487-1,Holzgestaltung,Handwerk,4320487,SN
SN-4320487-1,Darstellendes Spiel/Theater,Kunst / Kultur,4320487,SN
SN-4320487-1,Physik,Naturwissenschaft / Technik,4320487,SN
SN-4320487-1,Modellbau,Handwerk,4320487,SN
SN-4320487-1,Schülerzeitung,Literatur / Medien,4320487,SN
SN-4320487-1,Förderangebot,Berufsorientierung,4320487,SN
SN-4320487-1,Hausaufgabenbetreuung,Berufsorientierung,4320487,SN
SN-4320487-1,Schülerschlichter,Gesellschaft / Partizipation,4320487,SN
SN-4320487-2,Schülerbibliothek,Literatur / Medien,4320487,SN
SN-4320487-2,Schülerclub,Gesellschaft / Partizipation,4320487,SN
SN-4320487-2,Schülercafe,Berufsorientierung,4320487,SN
SN-4320487-2,Schülerbibliothek,Literatur / Medien,4320487,SN
SN-4320487-2,Leichtathletik,Sport,4320487,SN
SN-4320487-2,Unihoc,Sport,4320487,SN
SN-4320487-2,Tischtennis,Sport,4320487,SN
SN-4320487-2,Allgemeiner Freizeitsport,Sport,4320487,SN
SN-4320487-2,Vorleserunde,Literatur / Medien,4320487,SN
SN-4320487-2,Mundart,Gesellschaft / Partizipation,4320487,SN
SN-4320487-2,Englisch,Sprachen,4320487,SN
SN-4320487-2,Malerei,Kunst / Kultur,4320487,SN
SN-4320487-2,Holzgestaltung,Handwerk,4320487,SN
SN-4320487-2,Darstellendes Spiel/Theater,Kunst / Kultur,4320487,SN
SN-4320487-2,Physik,Naturwissenschaft / Technik,4320487,SN
SN-4320487-2,Modellbau,Handwerk,4320487,SN
SN-4320487-2,Schülerzeitung,Literatur / Medien,4320487,SN
SN-4320487-2,Förderangebot,Berufsorientierung,4320487,SN
SN-4320487-2,Hausaufgabenbetreuung,Berufsorientierung,4320487,SN
SN-4320487-2,Schülerschlichter,Gesellschaft / Partizipation,4320487,SN
SN-4320347-0,Filmveranstaltungen,Literatur / Medien,4320347,SN
SN-4320347-0,Schülerclub,Gesellschaft / Partizipation,4320347,SN
SN-4320347-0,Offenes Spielangebot,Berufsorientierung,4320347,SN
SN-4320347-0,Behindertensport,Sport,4320347,SN
SN-4320347-0,Band,Musik / Tanz,4320347,SN
SN-4320347-0,Darstellendes Spiel/Theater,Kunst / Kultur,4320347,SN
SN-4130118-0,Schülerbibliothek,Literatur / Medien,4130118,SN
SN-4130118-0,Offenes Spielangebot,Berufsorientierung,4130118,SN
SN-4130118-0,Schülerclub,Gesellschaft / Partizipation,4130118,SN
SN-4130118-0,Fußball,Sport,4130118,SN
SN-4130118-0,Volleyball,Sport,4130118,SN
SN-4130118-0,Vorleserunde,Literatur / Medien,4130118,SN
SN-4130118-0,Polnisch,Sprachen,4130118,SN
SN-4130118-0,Chor,Musik / Tanz,4130118,SN
SN-4130118-0,Darstellendes Spiel/Theater,Kunst / Kultur,4130118,SN
SN-4130118-0,Band,Musik / Tanz,4130118,SN
SN-4130118-0,Schulchronik,Gesellschaft / Partizipation,4130118,SN
SN-4130118-0,Hausaufgabenbetreuung,Berufsorientierung,4130118,SN
SN-4130118-1,Schülerbibliothek,Literatur / Medien,4130118,SN
SN-4130118-1,Offenes Spielangebot,Berufsorientierung,4130118,SN
SN-4130118-1,Schülerclub,Gesellschaft / Partizipation,4130118,SN
SN-4130118-1,Fußball,Sport,4130118,SN
SN-4130118-1,Volleyball,Sport,4130118,SN
SN-4130118-1,Vorleserunde,Literatur / Medien,4130118,SN
SN-4130118-1,Polnisch,Sprachen,4130118,SN
SN-4130118-1,Chor,Musik / Tanz,4130118,SN
SN-4130118-1,Darstellendes Spiel/Theater,Kunst / Kultur,4130118,SN
SN-4130118-1,Band,Musik / Tanz,4130118,SN
SN-4130118-1,Schulchronik,Gesellschaft / Partizipation,4130118,SN
SN-4130118-1,Hausaufgabenbetreuung,Berufsorientierung,4130118,SN
SN-4520326-0,Badminton,Sport,4520326,SN
SN-4520326-0,Band,Musik / Tanz,4520326,SN
