Schule,ID,official_id,school_type,partner_name,Type_grob,Type_mittel,Type_detail,state
Nord-Grundschule,BE-15591,06G01,Grundschule,Berliner Literaturinitiative (Projekt / Arbeitsgemeinschaft Leseratten),Unbestimmt,Modell/Förderprogramm/Projekt,,BE
Nord-Grundschule,BE-15591,06G01,Grundschule,Berliner Polizei,Öffentliche Infrastruktur,Öffentliche Infrastruktur (Sicherheit/Ordnung/Verkehr),Polizei,BE
Nord-Grundschule,BE-15591,06G01,Grundschule,Computer Bildung Berlin (CBB),Wirtschaftsakteur,Modell/Förderprogramm/Projekt,,BE
Nord-Grundschule,BE-15591,06G01,Grundschule,Kaizen Berlin e.V. (Judo),Gemeinnütziger Akteur,Gemeinnütziger Akteur,Verein,BE
Nord-Grundschule,BE-15591,06G01,Grundschule,"Projekt fee - freiwillig - engagiert - ehrenamtlich"" des Nachbarschaftsheims Mittelhof e.V.",Gemeinnütziger Akteur,Gemeinnütziger Akteur,Verein,BE
Nord-Grundschule,BE-15591,06G01,Grundschule,Zehlendorfer Turn- und Sportverein von 1888 e.V. (Badminton),Gemeinnütziger Akteur,Gemeinnütziger Akteur,Verein,BE
Zinnowwald-Grundschule,BE-15594,06G07,Grundschule,Haus am Waldsee e.V. in der Argentinischen Allee,Gemeinnütziger Akteur,Gemeinnütziger Akteur,Verein,BE
Zinnowwald-Grundschule,BE-15594,06G07,Grundschule,Künstler der Universität der Künste Berlin,Öffentliche Infrastruktur,Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung),Universität/Hochschule/Forschungsinstitut,BE
Zinnowwald-Grundschule,BE-15594,06G07,Grundschule,Zehlendorfer Turn- und Sportverein von 1888 e.V.,Gemeinnütziger Akteur,Gemeinnütziger Akteur,Verein,BE
Dreilinden-Grundschule,BE-15595,06G09,Grundschule,Schul-Partnerschaft mit der Japanischen Internationalen Schule zu Berlin,Partnerschule,Partnerschule,,BE
Kreativitätsschulzentrum Berlin gGmbH,BE-15597,02P12,Grundschule,Akademie für Kreativitätspädagogik Leipzig gGmbH,Gemeinnütziger Akteur,Gemeinnütziger Akteur,gGmbH,BE
Kreativitätsschulzentrum Berlin gGmbH,BE-15597,02P12,Grundschule,Der PARITÄTISCHE Wohlfahrtsverband Landesverband Berlin e.V.,Gemeinnütziger Akteur,Gemeinnütziger Akteur,Verein,BE
Kreativitätsschulzentrum Berlin gGmbH,BE-15597,02P12,Grundschule,Gesellschaft für musische Förderung e.V.,Gemeinnütziger Akteur,Gemeinnütziger Akteur,Verein,BE
Kreativitätsschulzentrum Berlin gGmbH,BE-15597,02P12,Grundschule,Gourmello e.V.,Gemeinnütziger Akteur,Gemeinnütziger Akteur,Verein,BE
