Schule,ID,official_id,school_type,partner_name,Type_grob,Type_mittel,Type_detail,state
"Sonderpädagogisches Förderzentrum  ""Johannes Trüper "", Schule für Erziehungshilfe",SN-4220216-0,4220216,Schule für Erziehungshilfe,"Kinder-, Jugend- und Familienhilfe e.V.",Gemeinnütziger Akteur,,,SN
"Sonderpädagogisches Förderzentrum  ""Johannes Trüper "", Schule für Erziehungshilfe",SN-4220216-0,4220216,Schule für Erziehungshilfe,diverse Mittelschulen der Stadt Chemnitz,Unbestimmt,,,SN
"Sonderpädagogisches Förderzentrum  ""Johannes Trüper "", Schule für Erziehungshilfe",SN-4220216-0,4220216,Schule für Erziehungshilfe,Solaris Förderzentrum für Jugend und Umwelt GmbH,Wirtschaftsakteur,,,SN
"Alte Reusaer Schule, Schule für Erziehungshilfe",SN-4520102-0,4520102,Schule für Erziehungshilfe,"Jugendamt Stadt Plauen, Vogtlandkreis",Öffentliche Infrastruktur,,,SN
"Sperlingsbergschule, Schule zur Lernförderung",SN-4520243-0,4520243,Schule zur Lernförderung,Daetz- Zentrum Lichtenstein,Öffentliche Infrastruktur,,,SN
"Sperlingsbergschule, Schule zur Lernförderung",SN-4520243-0,4520243,Schule zur Lernförderung,SV 1860,Gemeinnütziger Akteur,,,SN
"Sperlingsbergschule, Schule zur Lernförderung",SN-4520243-0,4520243,Schule zur Lernförderung,Verein zur Förderung von Jugend und Sozialarbeit - Zwickau e.V,Gemeinnütziger Akteur,,,SN
"Sperlingsbergschule, Schule zur Lernförderung",SN-4520243-0,4520243,Schule zur Lernförderung,Verein für Schulsozialarbeit,Gemeinnütziger Akteur,,,SN
"Dr.-Pienitz-Schule, Schule für geistig Behinderte",SN-4320347-0,4320347,Schule für geistig Behinderte,Kinder- und Jugendheim der AWO,Verband / Kammer / Innung / Gewerkschaft,,,SN
"Dr.-Pienitz-Schule, Schule für geistig Behinderte",SN-4320347-0,4320347,Schule für geistig Behinderte,Pirnaer Werkstätten Anerkannte Werkstatt für Behinderte,Verband / Kammer / Innung / Gewerkschaft,,,SN
"Dr.-Pienitz-Schule, Schule für geistig Behinderte",SN-4320347-0,4320347,Schule für geistig Behinderte,Musikschule Sächs.Schweiz e.V,Öffentliche Infrastruktur,,,SN
"Dr.-Pienitz-Schule, Schule für geistig Behinderte",SN-4320347-0,4320347,Schule für geistig Behinderte,Universität Leipzig,Öffentliche Infrastruktur,,,SN
"Dr.-Pienitz-Schule, Schule für geistig Behinderte",SN-4320347-0,4320347,Schule für geistig Behinderte,sieben verschiedenen mitteständischen Betrieben und Einrichtungen,Unbestimmt,,,SN
"Dr.-Pienitz-Schule, Schule für geistig Behinderte",SN-4320347-0,4320347,Schule für geistig Behinderte,AWO Sonnenstein Werkstätten GmbH,Wirtschaftsakteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,SAEK,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,SAEK,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,Mittelschule Bernstadt,Partnerschule,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,Mittelschule Bernstadt,Partnerschule,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,Hochschule Zittau / Görlitz,Öffentliche Infrastruktur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,Hochschule Zittau / Görlitz,Öffentliche Infrastruktur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,41 Unternehmen der Region Görlitz,Unbestimmt,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,41 Unternehmen der Region Görlitz,Unbestimmt,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,Ausbildungsring der Metall- und Elektroindustrie e.V. DD,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,Ausbildungsring der Metall- und Elektroindustrie e.V. DD,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,Lausitz Matrix e.V.,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,Lausitz Matrix e.V.,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,DLRG,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,DLRG,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,Internationaler Bund,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,Internationaler Bund,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,Niederschlesische Sparkasse,Wirtschaftsakteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-0,4130118,Mittelschule,Niederschlesische Sparkasse,Wirtschaftsakteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,SAEK,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,SAEK,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,Mittelschule Bernstadt,Partnerschule,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,Mittelschule Bernstadt,Partnerschule,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,Hochschule Zittau / Görlitz,Öffentliche Infrastruktur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,Hochschule Zittau / Görlitz,Öffentliche Infrastruktur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,41 Unternehmen der Region Görlitz,Unbestimmt,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,41 Unternehmen der Region Görlitz,Unbestimmt,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,Ausbildungsring der Metall- und Elektroindustrie e.V. DD,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,Ausbildungsring der Metall- und Elektroindustrie e.V. DD,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,Lausitz Matrix e.V.,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,Lausitz Matrix e.V.,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,DLRG,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,DLRG,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,Internationaler Bund,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,Internationaler Bund,Gemeinnütziger Akteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,Niederschlesische Sparkasse,Wirtschaftsakteur,,,SN
Oberschule Innenstadt Görlitz,SN-4130118-1,4130118,Abendmittelschule,Niederschlesische Sparkasse,Wirtschaftsakteur,,,SN
"Schule Mosel, Schule für Erziehungshilfe",SN-4520326-0,4520326,Schule für Erziehungshilfe,SSV Altenberg,Gemeinnütziger Akteur,,,SN
"Schule Mosel, Schule für Erziehungshilfe",SN-4520326-0,4520326,Schule für Erziehungshilfe,TU Dresden,Öffentliche Infrastruktur,,,SN
"Schule Mosel, Schule für Erziehungshilfe",SN-4520326-0,4520326,Schule für Erziehungshilfe,TU Dresden,Öffentliche Infrastruktur,,,SN
"Berufliches Schulzentrum für Wirtschaft, Gesundheit, Ernährung und Forstwirtschaft  ""Anne Frank "" Plauen",SN-4550158-0,4550158,Berufsschule,"Schulparnerschaft mit der Forstschule in Zagnansk (Polen),Förderverein",Gemeinnütziger Akteur,,,SN
"Berufliches Schulzentrum für Wirtschaft, Gesundheit, Ernährung und Forstwirtschaft  ""Anne Frank "" Plauen",SN-4550158-0,4550158,Berufsschule,"Schulparnerschaft mit der Forstschule in Zagnansk (Polen),Förderverein",Gemeinnütziger Akteur,,,SN
"Berufliches Schulzentrum für Wirtschaft, Gesundheit, Ernährung und Forstwirtschaft  ""Anne Frank "" Plauen",SN-4550158-0,4550158,Berufsschule,"Schulparnerschaft mit der Forstschule in Zagnansk (Polen),Förderverein",Gemeinnütziger Akteur,,,SN
"Berufliches Schulzentrum für Wirtschaft, Gesundheit, Ernährung und Forstwirtschaft  ""Anne Frank "" Plauen",SN-4550158-0,4550158,Berufsschule,"Schulparnerschaft mit der Forstschule in Zagnansk (Polen),Förderverein",Gemeinnütziger Akteur,,,SN
"Berufliches Schulzentrum für Wirtschaft, Gesundheit, Ernährung und Forstwirtschaft  ""Anne Frank "" Plauen",SN-4550158-0,4550158,Berufsschule,"Schulparnerschaft mit der Forstschule in Zagnansk (Polen),Förderverein",Gemeinnütziger Akteur,,,SN
"Berufliches Schulzentrum für Wirtschaft, Gesundheit, Ernährung und Forstwirtschaft  ""Anne Frank "" Plauen",SN-4550158-0,4550158,Berufsschule,"Schulparnerschaft mit der Forstschule in Zagnansk (Polen),Förderverein",Gemeinnütziger Akteur,,,SN
"Berufliches Schulzentrum für Wirtschaft, Gesundheit, Ernährung und Forstwirtschaft  ""Anne Frank "" Plauen",SN-4550158-0,4550158,Berufsschule,Schulparnerschaft mit der Forstschule in Zagnansk (Polen),Partnerschule,,,SN
"Berufliches Schulzentrum für Wirtschaft, Gesundheit, Ernährung und Forstwirtschaft  ""Anne Frank "" Plauen",SN-4550158-0,4550158,Berufsschule,Schulparnerschaft mit der Forstschule in Zagnansk (Polen),Partnerschule,,,SN
