"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Gymnasium Bad Essen","Schulallee 30","49152","Bad Essen","Niedersachsen","Programm","","Balu und Du","0"
"Städtisches Gymnasium Bad Laasphe","Steinackerstraße 10","57334","Bad Laasphe","Nordrhein-Westfalen","Programm","","Balu und Du","0"
"Berlin Alice Salomon Hochschule","Alice- Salomon- Platz 5","12627","Berlin","Berlin","Programm","","Balu und Du","0"
"Gymnasium Bersenbrück","Im Dom 21","49593","Bersenbrück","Niedersachsen","Programm","","Balu und Du","0"
"Berufskolleg Bergkloster Bestwig","Zum Bergkloster 1","59909","Bestwig","Nordrhein-Westfalen","Programm","","Balu und Du","1"
"Hochschule Bochum Fachbereich Wirtschaft, AW 1-33","Lennershofstr. 140","44801","Bochum","Nordrhein-Westfalen","Programm","","Balu und Du","0"
"Greselius-Gymnasium Bramsche","Malgartener Straße 52","49565","Bramsche","Niedersachsen","Programm","","Balu und Du","1"
"Berufsbildende Schulen Sophie Scholl im SZ Geschwister Scholl","Walter-Kolb-Weg 2","27568","Bremerhaven","Bremen","Programm","","Balu und Du","2"
"Gymnasium Damme","Nordhofe 1","49401","Damme","Niedersachsen","Programm","","Balu und Du","1"
"Johannes-Kepler-Gymnasium","Planetenring 9","30823","Garbsen","Niedersachsen","Programm","","Balu und Du","1"
"Gesamtschule Buer-Mitte","Nollenpad 29","45894","Gelsenkirchen","Nordrhein-Westfalen","Programm","","Balu und Du","1"
"Max-Planck-Gymnasium Geslenkirchen","Goldbergstraße 91","45894","Gelsenkirchen","Nordrhein-Westfalen","Programm","","Balu und Du","0"
"Gymnasium Oesede","Carl-Stahmer-Weg 19","49124","Georgsmarienhütte","Niedersachsen","Programm","","Balu und Du","1"
"Heisenberg-Gymnasium","Konrad-Adenauer-Allee 1","45964","Gladbeck","Nordrhein-Westfalen","Programm","","Balu und Du","1"
"Ingeborg-Drewitz-Gesamtschule","Fritz-Erler-Straße 4","45966","Gladbeck","Nordrhein-Westfalen","Programm","","Balu und Du","0"
"Riesener- Gymnasium","Schützenstraße 23","45964","Gladbeck","Nordrhein-Westfalen","Programm","","Balu und Du","0"
"Theo-Koch-Schule Grünberg","Struppiusstraße 8-12","35305","Grünberg","Hessen","Programm","","Balu und Du","0"
"Helmut-Schmidt-Universität Universität der Bundeswehr Hamburg","Holstenhofweg 85","22043","Hamburg","Hamburg","Programm","","Balu und Du","0"
"Gymnasium Lohne","An der Kirchenziegelei 12","49393","Lohne","Niedersachsen","Programm","","Balu und Du","0"
"Gesamtschule Marienheide (mit einem Projektkurs) in Zusammenarbeit mit dem \n Mehrgenerationenhaus. Caritasverband für den Oberbergischen Kreis e.V.","Landwehrstr. 9","51709","Marienheide","Nordrhein-Westfalen","Programm","","Balu und Du","0"
"Gymnasium Melle","Grönenberger Straße 41","49324","Melle","Niedersachsen","Programm","","Balu und Du","0"
"Marienschule Münster","Hermannstraße 21","48151","Münster","Nordrhein-Westfalen","Programm","","Balu und Du","0"
"Angelaschule Osnabrück Gymnasium in freier Trägerschaft der Schulstiftung \n im Bistum Osnabrück","Bramstraße 41a","49090","Osnabrück","Niedersachsen","Programm","","Balu und Du","0"
"Gymnasium ""In der Wüste""","Kromschröderstraße 33","49080","Osnabrück","Niedersachsen","Programm","","Balu und Du","0"
"Freiherr-vom-Stein-Gymnasium","Westerholter Weg 113","45657","Recklinghausen","Nordrhein-Westfalen","Programm","","Balu und Du","1"
"Städtische Gesamtschule Recklinghausen-Suderwich","Markomannenstraße 16","45665","Recklinghausen","Nordrhein-Westfalen","Programm","","Balu und Du","1"
"Leonhard-Wagner-Gymnasium","Breitweg 16A","86830","Schwabmünchen","Bayern","Programm","","Balu und Du","0"
