"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","Ortsteil","id"
"Carolus-Magnus-Gymnasium","","","Übach-Palenberg","Nordrhein Westphalen","Programm","","Be smart - don't Start","","9"
"Johann-Wolfgang-von-Goethe-Schule","","","Eberswalde","Brandenburg","Programm","","Be smart - don't Start","","18"
"Janusz-Korczak-Schule","","","Kirchheim unter Teck","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Jungmannschule","","","Eckernförde","Schleswig Holstein","Programm","","Be smart - don't Start","","10"
"Leo-Weismantel-Schule","","","Karlstadt","Bayern","Programm","","Be smart - don't Start","","6"
"Hauptschule Fallersleben","","","Wolfsburg","Niedersachsen","Programm","","Be smart - don't Start","","50"
"Sankt-Ansgar-Schule","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Gem. Hauptschule Kaldenkirchen","","","Nettetal","Nordrhein Westphalen","Programm","","Be smart - don't Start","","11"
"Vinzenz-von-Paul-Schule","","","Beckum","Nordrhein Westphalen","Programm","","Be smart - don't Start","","17"
"Gaußschule II","","","Bremen","Bremen","Programm","","Be smart - don't Start","","175"
"Ernst-Klee-Schule","","","Mettingen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","7"
"Waldschule","","","Buchholz","Niedersachsen","Programm","","Be smart - don't Start","","58"
"Staatliche Regelschule Langula","","","Vogtei","Thüringen","Programm","","Be smart - don't Start","","2"
"Bodensee-Gymnasium","","","Lindau","Bayern","Programm","","Be smart - don't Start","","27"
"Obermenzinger Gymnasium","","","München","Bayern","Programm","","Be smart - don't Start","","370"
"Internationale Oberschule","","","Meerane","Sachsen","Programm","","Be smart - don't Start","","8"
"Förderzentrum Nord","","","Lünen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","23"
"Käthe-Kollwitz-Schule","","","Minden","Nordrhein Westphalen","Programm","","Be smart - don't Start","","34"
"Georg-Forster-Gymnasium","","","Kamp-Lintfort","Nordrhein Westphalen","Programm","","Be smart - don't Start","","9"
"Gesamtschule Ibbenbüren","","","Ibbenbüren","Nordrhein Westphalen","Programm","","Be smart - don't Start","","21"
"Gesamtschule Emschertal","","","Duisburg","Nordrhein Westphalen","Programm","","Be smart - don't Start","","149"
"Staatl. Realschule Höchstadt a.d.Aisch","","","Höchstadt","Bayern","Programm","","Be smart - don't Start","","6"
"Oberschule Am Merzdorfer Park","","","Riesa","Sachsen","Programm","","Be smart - don't Start","","24"
"Carl-Orff-Mittelschule","","","Dießen am Ammersee","Bayern","Programm","","Be smart - don't Start","","0"
"Gottfried-Neukam-Mittelschule","","","Kronach","Bayern","Programm","","Be smart - don't Start","","15"
"Emil-von-Behring-Gymnasium","","","Spardorf","Bayern","Programm","","Be smart - don't Start","","4"
"Städt. Gymnasium","","","Barntrup","Nordrhein Westphalen","Programm","","Be smart - don't Start","","2"
"Städtische Gesamtschule Troisdorf-Sieglar","","","Troisdorf","Nordrhein Westphalen","Programm","","Be smart - don't Start","","23"
"Kath. freies Bildungszentrum St. Kilian","","","Heilbronn","Baden-Württemberg","Programm","","Be smart - don't Start","","1"
"Sibilla-Egen-Schule","","","Schwäbisch Hall","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Störck-Gymnasium","","","Bad Saulgau","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Gesamtschule Rheydt-Mülfort","","","Mönchengladbach","Nordrhein Westphalen","Programm","","Be smart - don't Start","","77"
"Leintalschule","","","Schwaigern","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Konrad-Adenauer-Schule","","","Wipperfürth","Nordrhein Westphalen","Programm","","Be smart - don't Start","","12"
"Alsterring-Gymnasium","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Karl-Kisters-Realschule","","","Kleve","Nordrhein Westphalen","Programm","","Be smart - don't Start","","18"
"Rhön-Gymnasium","","","Bad Neustadt","Bayern","Programm","","Be smart - don't Start","","9"
"Evangelisches Gymnasium","","","Potsdam","Brandenburg","Programm","","Be smart - don't Start","","78"
