"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Nürtingen-Grundschule","Mariannenplatz 28","10997","Berlin","","Programm","","Bioacker macht Schule","1"
"Evangelische Schule Berlin Zentrum","Wallstr. 32","10179","Berlin","","Programm","","Bioacker macht Schule","1"
"Selma-Lagerlöf-Grundschule","Wörlitzer Str. 31","12689","Berlin","","Programm","","Bioacker macht Schule","0"
"Heinz-Brandt-Schule","Langhansstr. 120","13086","Berlin","","Programm","","Bioacker macht Schule","1"
"Katholische Schule Salvator","Fürst-Bismarck-Str. 8-10","13469","Berlin","","Programm","","Bioacker macht Schule","3"
"Realschule Bedburg","Goethestraße 1","50181","Bedburg","","Programm","","Bioacker macht Schule","0"
"Realschule Lechenich","Dr. Josef-Fieger-Straße 7","50374","Erftstadt","","Programm","","Bioacker macht Schule","0"
"Papst-Johannes XXIII Gesamtschule","Hauptstraße 1","50259","Pulheim","","Programm","","Bioacker macht Schule","0"
"Förderzentrum-Pestalozzi-Schule","Hartmannsweilerweg 47","14163","Berlin","","Programm","","Bioacker macht Schule","4"
"Spreewald-Schule","Pallasstr. 15","10781","Berlin","","Programm","","Bioacker macht Schule","1"
"Theodor-Heuss-Gymnasium Wolfsburg","Martin-Luther-Str. 23","38440","Wolfsburg","","Programm","","Bioacker macht Schule","1"
"Gesamtschule Holweide","Burgwiesenstr. 125","51067","Köln","","Programm","","Bioacker macht Schule","1"
"Gemeinschaftsschule Schöneberg","Rubensstr. 63","12157","Berlin","","Programm","","Bioacker macht Schule","1"
"Georg von Boeselager Sekundarschule","Blütenweg 10","53913","Swisttal","","Programm","","Bioacker macht Schule","1"
"Edith-Stein-Schule","Maaseiker Str. 57","41844","Wegberg","","Programm","","Bioacker macht Schule","0"
"Thomas-Müntzer-Grundschule","Schulstraße 11","14793","Ziesar","","Programm","","Bioacker macht Schule","1"
"Justus-von-Liebig-Schule","Christian-Grüninger-Straße 12","","Göppingen","","Programm","","Bioacker macht Schule","0"
"Pestalozzi Schule Einbeck","Langer Wall 16","37574","Einbeck","","Programm","","Bioacker macht Schule","1"
"Grundschule Fallersleben","Schloßplatz 1","38442","Wolfsburg","","Programm","","Bioacker macht Schule","0"
"Freie Schule Woltersdorf","Blumenstraße 13","15569","Woltersdorf","","Programm","","Bioacker macht Schule","1"
"Städtische Gesamtschule Aachen-Brand","Rombachstraße 99","52078","Aachen","","Programm","","Bioacker macht Schule","0"
"Schule am Grenzlandring","Markusstraße 63","41844","Wegberg","","Programm","","Bioacker macht Schule","0"
"KFS-Gemeinschaftsschule Schwetzingen","Spoleto Str. 4","68723","Schwetzingen","","Programm","","Bioacker macht Schule","0"
"Freie Schule LernZeitRäume","Gerhart-Hauptmann-Straße 30","69221","Dossenheim","","Programm","","Bioacker macht Schule","0"
"Grundschule Mülheim","Ringstraße 47","56218","Mülheim-Kärlich","","Programm","","Bioacker macht Schule","0"
"Salvador-Allende-Schule Rheinsberg","Kiefernweg 5","16831","Rheinsberg","","Programm","","Bioacker macht Schule","1"
"Berufkolleg Volksgartenstraße","Volksgartenstraße 124","41065","Mönchengladbach","","Programm","","Bioacker macht Schule","1"
"Katholische Marienschule Potsdam","Espengrund 10","14482","Potsdam","","Programm","","Bioacker macht Schule","2"
"Grundschule am Westring","Westring 26","39110","Magdeburg","","Programm","","Bioacker macht Schule","1"
"Bernd-Ryke-Grundschule","Daumstr.12","13599","Berlin","","Programm","","Bioacker macht Schule","0"
