"Schulname","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Albert-Einstein-Schule Bremen","Kolk 2","28327","Bremen","Bremen","Programm","","Blick über den Zaun","1"
"Amerikanische Schule Bremerhaven","Kleiner Blink 8","27580","Bremerhaven","Bremen","Programm","","Blick über den Zaun","1"
"Anne-Frank-Schule Bargteheide","Emil-Nolde-Str. 9","22941","Bargteheide","Schleswig-Holstein","Programm","","Blick über den Zaun","0"
"Bergschule St. Elisabeth","Friedensplatz 5/6","37308","Heiligenstadt","Thüringen","Programm","","Blick über den Zaun","1"
"Bildungswerkstatt Bergatreute","Schulstr. 2","88368","Bergatreute","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Bodenseeschule St. Martin Friedrichshafen","Zeisigweg 1","88045","Friedrichshafen","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Bonns Fünfte Gesamtschule","Eduard-Otto-Straße 9","53129","Bonn","Nordrhein-Westfalen","Programm","","Blick über den Zaun","0"
"Bugenhagen-Schulen Hamburg","Alsterdorfer Str. 506","22337","Hamburg","Hamburg","Programm","","Blick über den Zaun","0"
"Carl-von-Ossietzky-Gymnasium Hamburg","Müssenredder 59","22399","Hamburg","Hamburg","Programm","","Blick über den Zaun","1"
"Clara-Grunwald-Schule Freiburg","Johanna-Kohlund-Str. 3","79111","Freiburg","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Clara-Grunwald-Schule Hamburg","Walter-Rothenburg-Weg 37","21035","Hamburg","Hamburg","Programm","","Blick über den Zaun","1"
"Club of Rome Schule Kiel - Lernwerft","Skagerrakufer 5","24159","Kiel","Schleswig-Holstein","Programm","","Blick über den Zaun","0"
"Die Kinderzeit Schule","Am Kronberger Hang 2a","65824","Schwalbach a. Ts.","Hessen","Programm","","Blick über den Zaun","0"
"Elisabeth-Gymnasium Halle","Murmansker Str. 14","6130","Halle","Sachsen-Anhalt","Programm","","Blick über den Zaun","0"
"Elstertalschule Greiz","Haus 1: Goethestraße 37 Haus 2: Zeulenrodaer Str. 23","7973","Greiz","Thüringen","Programm","","Blick über den Zaun","0"
"Europaschule Rheinberg","Dr.Aloys-Wittrup-Str. 11","47495","Rheinberg","Nordrhein-Westfalen","Programm","","Blick über den Zaun","0"
"Ev. Schulzentrum Martinschule Greifswald","Loissiner Wende 5","17491","Greifswald","Mecklenburg-Vorpommern","Programm","","Blick über den Zaun","0"
"Evangelische Gesamtschule Gelsenkirchen-Bismarck","Laarstr. 41","45889","Gelsenkirchen","Nordrhein-Westfalen","Programm","","Blick über den Zaun","1"
"Evangelische Grundschule in Eisenach","Ernst-Thälmann Str. 90","99817","Eisenach","Thüringen","Programm","","Blick über den Zaun","0"
"Evangelische Schule Berlin Mitte","Rochstr. 7","10178","Berlin","Berlin","Programm","","Blick über den Zaun","1"
"Französische Schule Tübingen","Galgenbergstr. 86","72072","Tübingen","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Freie Montessori Schule Berlin","Köpenzeile 125","12557","Berlin","Berlin","Programm","","Blick über den Zaun","1"
"Freie Montessorischule Landau","Dörrenbergstr. 1","76829","Landau","Rheinland-Pfalz","Programm","","Blick über den Zaun","0"
"Freie Schule Lindau","Uferweg 5","88131","Lindau","Bayern","Programm","","Blick über den Zaun","1"
"Freie Schule Rügen","Schulstr. 19","18573","Dreschvitz","Mecklenburg-Vorpommern","Programm","","Blick über den Zaun","0"
"Freie Waldorfschule Böblingen","Herdweg 163","71032","Böblingen","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Freiherr-vom-Stein-Schule Neckarsteinach","Hopfengartenweg 7","69239","Neckarsteinach","Hessen","Programm","","Blick über den Zaun","0"
"Fridtjof-Nansen-Schule Gemeinschaftsschule","Elbestr. 20","24943","Flensburg","Schleswig-Holstein","Programm","","Blick über den Zaun","0"
"Friedrich von Bodelschwingh-Schule Buschhütten","Alte Schulstr. 14","57223","Kreuztal-Buschhütten","Nordrhein-Westfalen","Programm","","Blick über den Zaun","0"
"Friedrich-Schiller-Schule Erfurt","Schillerstraße 33","99096","Erfurt","Thüringen","Programm","","Blick über den Zaun","1"
