"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Märkisches Gymnasium Schwelm","","","Schwelm","Nordrhein-Westfalen","Programm","","Bundesschülerfirmen","7"
"Hagenbeck-Schule","","","Berlin","Berlin","Programm","","Bundesschülerfirmen","1305"
"Andreas-Schneider-Schule","","","Heilbronn","Baden-Württemberg","Programm","","Bundesschülerfirmen","1"
"Gymnasium Allermöhe","","","Hamburg","Hamburg","Programm","","Bundesschülerfirmen","422"
"Johanna-Geissmar-Gymnasium","","","Mannheim","Baden-Württemberg","Programm","","Bundesschülerfirmen","1"
"Städtisches Gymnasium Selm","","","Selm","Nordrhein-Westfalen","Programm","","Bundesschülerfirmen","8"
"Sekundarschule der Stadt Lage","","","Lage","Nordrhein-Westfalen","Programm","","Bundesschülerfirmen","20"
"Richard-Wagner-Gymnasium","","","Baden-Baden","Baden-Württemberg","Programm","","Bundesschülerfirmen","0"
"Staatliche Realschule Schwabach","","","Schwabach","Bayern","Programm","","Bundesschülerfirmen","13"
"Ulrich-von-Hutten-Gymnasium","","","Berlin","Berlin","Programm","","Bundesschülerfirmen","1305"
"Schiller Mittelschule in Augsburg-Lechhausen","","","Augsburg","Bayern","Programm","","Bundesschülerfirmen","83"
"IGS List","","","Hannover","Niedersachsen","Programm","","Bundesschülerfirmen","173"
"Heinrich Heine","","","Lutherstadt Wittenberg","Sachsen-Anhalt","Programm","","Bundesschülerfirmen","18"
"Luitpoldschule Ansbach","","","Ansbach","Bayern","Programm","","Bundesschülerfirmen","28"
"Bernhard Riemann Gymnasium Scharnebeck","","","Scharnebeck","Niedersachsen","Programm","","Bundesschülerfirmen","4"
"Gymnasium Münsingen","","","Münsingen","Baden-Württemberg","Programm","","Bundesschülerfirmen","0"
"Justus Knecht Gymnasium","","","Bruchsal","Baden-Württemberg","Programm","","Bundesschülerfirmen","0"
"Justus-Knecht Gymnasium","","","Bruchsal","Baden-Württemberg","Programm","","Bundesschülerfirmen","0"
"Humboldt-Gymnasium Karlsruhe","","","Karlsruhe","Baden-Württemberg","Programm","","Bundesschülerfirmen","1"
"Johanna-Geissmar-Gymnasium Mannheim","","","Mannheim","Baden-Württemberg","Programm","","Bundesschülerfirmen","1"
"Märkisches Gymnasium Schwelm","","","Schwelm","Nordrhein-Westfalen","Programm","","Bundesschülerfirmen","7"
"Gymnasium Allermöhe","","","Hamburg","Hamburg","Programm","","Bundesschülerfirmen","422"
"Gymnasium Schönau","","","Schönau","Baden-Württemberg","Programm","","Bundesschülerfirmen","12"
"Märkisches Gymnasium Schwelm","","","Schwelm","Nordrhein-Westfalen","Programm","","Bundesschülerfirmen","7"
"Humboldt Gymnasium Karlsruhe","","","Karlsruhe","Baden-Württemberg","Programm","","Bundesschülerfirmen","1"
"IGS Oyten","","","Oyten","Niedersachsen","Programm","","Bundesschülerfirmen","5"
"Justus Knecht Gymnasium","","","Bruchsal","Baden-Württemberg","Programm","","Bundesschülerfirmen","0"
"Justus-Knecht Gymnasium","","","Bruchsal","Baden-Württemberg","Programm","","Bundesschülerfirmen","0"
