"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Friedrich-Gymnasium Freiburg","","","Freiburg","Baden-Württemberg","Wettbewerb","2016","Deutscher Lehrerpreis","1"
"Walther-Groz-Schule","","","Albstadt","Baden-Württemberg","Wettbewerb","2016","Deutscher Lehrerpreis","0"
"Montfort-Gymnasium","","","Tettnang","Baden-Württemberg","Wettbewerb","2016","Deutscher Lehrerpreis","0"
"Stiftsgymnasium","","","Sindelfingen","Baden-Württemberg","Wettbewerb","2016","Deutscher Lehrerpreis","0"
"Staatliches Berufliches Schulzentrum","","","Roth","Bayern","Wettbewerb","2016","Deutscher Lehrerpreis","50"
"Gymnasium Kirchheim","","","Kirchheim","Baden-Württemberg","Wettbewerb","2016","Deutscher Lehrerpreis","7"
"Emmy-Noether-Gymnasium","","","Erlangen","Bayern","Wettbewerb","2016","Deutscher Lehrerpreis","33"
"Oberstufenzentrum Landkreis Teltow-Fläming","","","Luckenwalde","Brandenburg","Wettbewerb","2016","Deutscher Lehrerpreis","10"
"Europaschule Schulzentrum Utbremen","","","Bremen","Bremen","Wettbewerb","2016","Deutscher Lehrerpreis","175"
"Luisen-Gymnasium","","","Hamburg Bergedorf","Hamburg","Wettbewerb","2016","Deutscher Lehrerpreis","0"
"Schule im Emsbachtal","","","Brechen","Hessen","Wettbewerb","2016","Deutscher Lehrerpreis","0"
"Altes Kurfürstliches Gymnasium","","","Bensheim","Hessen","Wettbewerb","2016","Deutscher Lehrerpreis","0"
"Max-Planck-Gymnasium","","","Delmenhorst","Niedersachsen","Wettbewerb","2016","Deutscher Lehrerpreis","29"
"Berufsbildende Schulen 1 des Landkreises Gifhorn","","","Landkreises Gifhorn","Niedersachsen","Wettbewerb","2016","Deutscher Lehrerpreis","0"
"Hoffmann-von-Fallersleben Schule","","","Braunschweig","Niedersachsen","Wettbewerb","2016","Deutscher Lehrerpreis","102"
"Couven Gymnasium","","","Aachen","Nordrhein-Westfalen","Wettbewerb","2016","Deutscher Lehrerpreis","85"
"Städtisches Gymnasium","","","Wülfrath","Nordrhein-Westfalen","Wettbewerb","2016","Deutscher Lehrerpreis","10"
"Alexander-von-Humboldt Gymnasium","","","Bornheim","Nordrhein-Westfalen","Wettbewerb","2016","Deutscher Lehrerpreis","17"
"Gymnasium Gerresheim","","","Düsseldorf","Nordrhein-Westfalen","Wettbewerb","2016","Deutscher Lehrerpreis","179"
"Nordpfalzgymnasium","","","Kirchheimbolanden","Rheinland-Pfalz","Wettbewerb","2016","Deutscher Lehrerpreis","0"
"Elly-Heuss-Knapp-Schule","","","Neumünster","Schleswig-Holstein","Wettbewerb","2016","Deutscher Lehrerpreis","28"
"Freiherr-vom-Stein-Gymnasium","","","Oldenburg in Holstein","Schleswig-Holstein","Wettbewerb","2016","Deutscher Lehrerpreis","5"
