"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Adolf-Reichwein-Schule","","65549","Limburg","","Programm","","Fairtrade Schools","0"
"Adolph-Kolping-Berufskolleg","","48147","Münster","","Programm","","Fairtrade Schools","10"
"Aggertal-Gymnasium Engelskirchen","","51766","Engelskirchen","","Programm","","Fairtrade Schools","8"
"Albert - Schweitzer Gymnasium Gundelfingen","","79194","Gundelfingen","","Programm","","Fairtrade Schools","0"
"Albert-Einstein-Gymnasium","","67227","Frankenthal(Pfalz)","","Programm","","Fairtrade Schools","0"
"Albert-Schweitzer-Schule","","42897","Remscheid","","Programm","","Fairtrade Schools","9"
"Albertus Magnus Gymnasium","","93049","Regensburg","","Programm","","Fairtrade Schools","12"
"Albrecht-Altdorfer-Gymnasium","","93047","Regensburg","","Programm","","Fairtrade Schools","9"
"Albrecht-Dürer-Gymnasium","","58097","Hagen","","Programm","","Fairtrade Schools","9"
"Albrecht-Schnitter Schule","","86971","Peiting","","Programm","","Fairtrade Schools","5"
"Alexander-von-Humboldt Gymnasium","","41464","Neuss","","Programm","","Fairtrade Schools","9"
"Alexandrine-Hegemann Berufskolleg","","45659","Recklinghausen","","Programm","","Fairtrade Schools","5"
"Alice-Salomon-Berufskolleg Bochum","","44789","Bochum","","Programm","","Fairtrade Schools","12"
"Allgäu-Gymnasium Kempten","","87435","Kempten","","Programm","","Fairtrade Schools","8"
"Aloisiuskolleg","","53177","Bonn","","Programm","","Fairtrade Schools","12"
"Amos Comenius Gymnasium","","53177","Bonn","","Programm","","Fairtrade Schools","12"
"Anne-Frank-Gymnasium Erding","","85435","Erding","","Programm","","Fairtrade Schools","16"
"Anne-Frank-Schule","","49696","Molbergen","","Programm","","Fairtrade Schools","3"
"Anne-Frank-Schule Saarlouis","","66740","Saarlouis","","Programm","","Fairtrade Schools","0"
"Anton- Bruckner- Gymnasium","","94315","Straubing","","Programm","","Fairtrade Schools","23"
"Anton-Rauch-Realschule Wertingen","","86637","Wertingen","","Programm","","Fairtrade Schools","6"
"Apian Gymnasium Ingolstadt","","85051","Ingolstadt","","Programm","","Fairtrade Schools","8"
"August-Sander-Schule Berlin","","10245","Berlin","","Programm","","Fairtrade Schools","10"
"B.M.V. Schule Essen","","45147","Essen","","Programm","","Fairtrade Schools","5"
"Bachschloss-Schule","","77815","Bühl","","Programm","","Fairtrade Schools","0"
"Balthasar-Neumann-Gymnasium","","97828","Marktheidenfeld","","Programm","","Fairtrade Schools","8"
"Barfüßerschule","","99084","Erfurt","","Programm","","Fairtrade Schools","10"
"BBS 1 Leer","","26789","Leer","","Programm","","Fairtrade Schools","23"
"BBS am Pottgraben","","49074","Osnabrück","","Programm","","Fairtrade Schools","13"
"BBS Bad Dürkheim","","67098","Bad Dürkheim","","Programm","","Fairtrade Schools","0"
"BBS Handel","","30169","Hannover","","Programm","","Fairtrade Schools","10"
"BBS Heinrich-Haus","","56564","Neuwied","","Programm","","Fairtrade Schools","0"
"BBS III Ritterplan","","37073","Göttingen","","Programm","","Fairtrade Schools","9"
"BBS Ingelheim","","55218","Ingelheim","","Programm","","Fairtrade Schools","0"
"BBS1 Goslar - Am Stadtgarten -","","38640","Goslar","","Programm","","Fairtrade Schools","8"
"BBZ St. Ingbert","","66386","St. Ingbert","","Programm","","Fairtrade Schools","0"
"Bert-Brecht-Gymnasium","","44379","Dortmund","","Programm","","Fairtrade Schools","7"
"Bertold-Brecht-Gymnasium","","82143","München","","Programm","","Fairtrade Schools","0"
"Berufliche Schulen am Gradierwerk","","61231","Bad Nauheim","","Programm","","Fairtrade Schools","0"
"Berufliches Schulzentrum Kelheim","","93309","Kelheim","","Programm","","Fairtrade Schools","8"
"Berufliches Schulzentrum Matthäus Runtinger","","93049","Regensburg","","Programm","","Fairtrade Schools","12"
"Berufliches Schulzentrum Wangen","","88239","Wangen","","Programm","","Fairtrade Schools","0"
"Berufsbildende Schule für Wirtschaft Trier","","54290","Trier","","Programm","","Fairtrade Schools","0"
"Berufsbildende Schulen Sophie Scholl","","27568","Bremerhaven","","Programm","","Fairtrade Schools","10"
"Berufsbildungszentrum Grevenbroich","","41515","Grevenbroich","","Programm","","Fairtrade Schools","10"
"Berufsbildungszentrum Schleswig","","24837","Schleswig","","Programm","","Fairtrade Schools","15"
"Berufsfachschule","","92237","Sulzbach-Rosenberg","","Programm","","Fairtrade Schools","6"
"Berufskolleg an der LIndenstraße, bkal","","50674","Köln","","Programm","","Fairtrade Schools","2"
"Berufskolleg Bergisch Gladbach","","51469","Bergisch Gladbach","","Programm","","Fairtrade Schools","12"
"Berufskolleg Bergkloster Bestwig","","59909","Bestwig","","Programm","","Fairtrade Schools","6"
"Berufskolleg Dinslaken","","46535","Dinslaken","","Programm","","Fairtrade Schools","8"
"Berufskolleg Elberfeld","","42103","Wuppertal","","Programm","","Fairtrade Schools","3"
"Berufskolleg für Wirtschaft und Verwaltung","","45888","Gelsenkirchen","","Programm","","Fairtrade Schools","7"
"Berufskolleg im Ev. Johanneswerk, Bochum","","44803","Bochum","","Programm","","Fairtrade Schools","6"
"Berufskolleg Lise Meitner","","48683","Ahaus","","Programm","","Fairtrade Schools","18"
"Berufskolleg Neuss-Weingartstraße","","41464","Neuss","","Programm","","Fairtrade Schools","9"
"Berufskolleg Tecklenburger Land","","49477","Ibbenbüren","","Programm","","Fairtrade Schools","14"
"Berufskolleg Volksgartenstraße  für Wirtschaft und Verwaltung","","41065","Mönchengladbach","","Programm","","Fairtrade Schools","14"
"Bettina-von-Arnim-Gymnasium","","41539","Dormagen","","Programm","","Fairtrade Schools","9"
"Bildungszentrum Weissacher Tal","","71554","Weissach im Tal","","Programm","","Fairtrade Schools","0"
"Bischöfliche Liebfrauenschule","","52249","Eschweiler","","Programm","","Fairtrade Schools","19"
"Bodelschwingh-Gymnasium","","51570","Windeck-Herchen","","Programm","","Fairtrade Schools","0"
"Bühl Realschule Dornstadt","","89160","Dornstadt","","Programm","","Fairtrade Schools","0"
"Burghardt - Gymnasium Buchen","","74722","Buchen","","Programm","","Fairtrade Schools","0"
"Camerloher-Gymnasium","","85354","Freising","","Programm","","Fairtrade Schools","13"
"Campe-Gymnasium Holzminden","","37603","Holzminden","","Programm","","Fairtrade Schools","11"
"Carl-Orff-Gymnasium","","85716","Unterschleißheim","","Programm","","Fairtrade Schools","10"
"Carl-Severing-Berufskolleg für Wirtschaft und Verwaltung","","33607","Bielefeld","","Programm","","Fairtrade Schools","7"
"Carl-Spitzweg-Gymnasium Germering","","82110","Germering","","Programm","","Fairtrade Schools","9"
"Carl-von Linne´- Schule","","10367","Berlin","","Programm","","Fairtrade Schools","4"
"Carl-von-Linde Realschule","","80339","München","","Programm","","Fairtrade Schools","4"
"Carl-von-Linde-Gymnasium","","87439","Kempten","","Programm","","Fairtrade Schools","14"
"Christian Ernst Gymnasium Erlangen","","91054","Erlangen","","Programm","","Fairtrade Schools","5"
"Christian Hülsmeyer-Schule","","49406","Barnstorf","","Programm","","Fairtrade Schools","2"
"Christian-Rohlfs-Gymnasium","","58135","Hagen","","Programm","","Fairtrade Schools","10"
"Christoph-Stöver-Realschule","","45739","Oer-Erkenschwick","","Programm","","Fairtrade Schools","9"
"Christophorus Gymnasium Altensteig","","72213","Altensteig","","Programm","","Fairtrade Schools","0"
"Clemens Brentano","","48249","Dülmen","","Programm","","Fairtrade Schools","15"
