"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Schönbuch-Gymnasium Holzgerlingen","","","Holzgerlingen","Baden-Württemberg","Wettbewerb","2016","Junior Science Olympiade","0"
"Landesgymnasium für Hochbegabte","","","Schwäbisch Gmünd","Baden-Württemberg","Wettbewerb","2011","Junior Science Olympiade","0"
"Gymnasium Karlsbad","","","Karlsbad","Baden-Württemberg","Wettbewerb","2011","Junior Science Olympiade","3"
"Gymnasium Dorfen","","","Dorfen","Bayern","Wettbewerb","2016","Junior Science Olympiade","7"
"Emil-von-Behring-Gymnasium Spardorf","","","Spardorf","Bayern","Wettbewerb","2016","Junior Science Olympiade","4"
"Ehrenbürg-Gymnasium Forchheim","","","Forchheim","Bayern","Wettbewerb","2015","Junior Science Olympiade","13"
"Gymnasium München-Fürstenried","","","München","Bayern","Wettbewerb","2015","Junior Science Olympiade","370"
"Oskar-Maria-Graf-Gymnasium","","","Neufahrn","Bayern","Wettbewerb","2014","Junior Science Olympiade","6"
"Gymnasium Dingolfing","","","Dingolfing","Bayern","Wettbewerb","2013","Junior Science Olympiade","7"
"Hermann-Staudinger-Gymnasium","","","Erlenbach am Main","Bayern","Wettbewerb","2012","Junior Science Olympiade","0"
"Ehrenbürg-Gymnasium","","","Forchheim","Bayern","Wettbewerb","2011","Junior Science Olympiade","13"
"Käthe-Kollwitz-Oberschule Berlin","","","Berlin","Berlin","Wettbewerb","2015","Junior Science Olympiade","1305"
"Max-Steenbeck-Gymnasium","","","Cottbus","Brandenburg","Wettbewerb","2014","Junior Science Olympiade","37"
"Carl-Friedrich-Gauß-Gymnasium","","","Frankfurt (Oder)","Brandenburg","Wettbewerb","2010","Junior Science Olympiade","19"
"Weinberg-Gymnasium","","","Kleinmachnow","Kleinmachnow","Wettbewerb","2009","Junior Science Olympiade","10"
"Internatsgymnasium Schloss Hansenberg","","","Geisenheim","Hessen","Wettbewerb","2016","Junior Science Olympiade","0"
"Internatsgymnasium Schloss Hansenberg","","","Geisenheim","Hessen","Wettbewerb","2016","Junior Science Olympiade","0"
"Internatsgymnasium Schloss Hansenberg","","","Geisenheim","Hessen","Wettbewerb","2015","Junior Science Olympiade","0"
"Gymnasium Oberursel","","","Geisenheim","Hessen","Wettbewerb","2010","Junior Science Olympiade","0"
"Liebigschule - Gymnasium Gießen","","","Gießen","Hessen","Wettbewerb","2009","Junior Science Olympiade","0"
"Gymnasium Lehrte","","","Lehrte","Niedersachsen","Wettbewerb","2015","Junior Science Olympiade","15"
"Max-Planck-Gymnasium","","","Göttingen","Niedersachsen","Wettbewerb","2010","Junior Science Olympiade","50"
"Gymnasium Augustianum","","","Greven","Nordrhein-Westfalen","Wettbewerb","2013","Junior Science Olympiade","30"
"Werner-Heisenberg-Gymnasium","","","Leverkusen","Nordrhein-Westfalen","Wettbewerb","2012","Junior Science Olympiade","46"
"Jugenddorf-Christophorusschule","","","Königswinter","Nordrhein-Westfalen","Wettbewerb","2012","Junior Science Olympiade","15"
"Werner-Heisenberg-Gymnasium","","","Leverkusen","Nordrhein-Westfalen","Wettbewerb","2011","Junior Science Olympiade","46"
"Gymnasium am Krebsberg","","","Neunkirchen","Saarland","Wettbewerb","2012","Junior Science Olympiade","18"
"Gymnasium am Krebsberg","","","Neunkirchen","Saarland","Wettbewerb","2011","Junior Science Olympiade","18"
"Gymnasium am Krebsberg","","","Neunkirchen","Saarland","Wettbewerb","2010","Junior Science Olympiade","18"
"Wilhelm-Ostwald-Gymnasium Leipzig","","","Leipzig","Sachsen","Wettbewerb","2016","Junior Science Olympiade","304"
