"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Droste-Hülshoff-Gymnasium","","","Berlin","Berlin","Wettbewerb","2007-2016","Juvenes Translators","1305"
"Emmy-Noether-Gymnasium","","","Berlin","Berlin","Wettbewerb","2007-2016","Juvenes Translators","1305"
"Evangelische Schule Köpenick","","","Berlin","Berlin","Wettbewerb","2007-2016","Juvenes Translators","1305"
"Französisches Gymnasium","","","Berlin","Berlin","Wettbewerb","2007-2016","Juvenes Translators","1305"
"Georg-Herwegh-Gymnasium","","","Berlin","Berlin","Wettbewerb","2007-2016","Juvenes Translators","1305"
"Johann-Gottfried-Herder Gymnasium","","","Berlin","Berlin","Wettbewerb","2007-2016","Juvenes Translators","1305"
"Katholische Schule Liebfrauen","","","Berlin","Berlin","Wettbewerb","2007-2016","Juvenes Translators","1305"
"Merian-Schule","","","Berlin","Berlin","Wettbewerb","2007-2016","Juvenes Translators","1305"
"Moser Schule Schweizer Gymnasium","","","Berlin","Berlin","Wettbewerb","2007-2016","Juvenes Translators","1305"
"Sophie-Scholl-Schule","","","Berlin","Berlin","Wettbewerb","2007-2016","Juvenes Translators","1305"
"Willi-Graf-Oberschule","","","Berlin","Berlin","Wettbewerb","2007-2016","Juvenes Translators","1305"
"Werner-von-Siemens-Gymnasium","","","Großenhain","Sachsen","Wettbewerb","2007-2016","Juvenes Translators","20"
"Christoph-Graupner-Gymnasium","","","Kirchberg","Sachsen","Wettbewerb","2007-2016","Juvenes Translators","32"
"LKG St. Annen AS Oberwiesenthal","","","Kurort Oberwiesenthal","Sachsen","Wettbewerb","2007-2016","Juvenes Translators","0"
"Wilhelm-Ostwald-Gymnasium","","","Leipzig","Sachsen","Wettbewerb","2007-2016","Juvenes Translators","304"
"Europäisches Gymnasium ""Johann Heinrich Pestalozzi""","","","Meerane","Sachsen","Wettbewerb","2007-2016","Juvenes Translators","8"
"Sächsisches Landesgymnasium Sankt Afra","","","Meißen","Sachsen","Wettbewerb","2007-2016","Juvenes Translators","24"
