"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Adolf-Reichwein-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Albert-Gutzmann-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Allegro-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Andersen Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Anna-Lindh-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Bernhard-Rose-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Biesalski-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Birken-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Blumen-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Brüder-Grimm-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Bürgermeister-Herz-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Carl-Bosch-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Carl-Kraemer-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Charlotte-Salomon-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Christoph-Földerich-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Christoph-Ruden-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"City-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Comenius-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"E.-O.-Plauen-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Ebereschen-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Eduard-Mörike-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Elisabeth-Rotten-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Eosander-Schinkel-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Ernst-Adolf-Eschke-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Falken-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Fanny-Hensel-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Feldmark-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Friedrich-Bergius-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Galilei-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Gesundbrunnen-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Giesendorfer-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Gotzkowsky-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Greenwich-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Grundschule am Birkenhain","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Grundschule am Mohnweg","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Grundschule am Roederplatz","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Grundschule am Schleipfuhl","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Grundschule am Travelülatz","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Grundschule an der Mühle","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Grundschule an der Peckwisch","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Grundschule an der Pulvermühle","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Grundschule Wolkenstein","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Grüne-Trift-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Gustav-Falke-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Gustave-Eiffel-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Hannah-Höch-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Hans-Fallada-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Hausotter-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Havelland-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Heinrich-Ferdinand-Eckert-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Heinrich-Seidel-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Heinrich-von-Stephan-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Heinz-Brandt-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Helen-Keller-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Hemingway-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Herman-Nohl-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Hermann-Gmeiner-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Hufeland-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Hugo-Gaudig-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Hugo-Heimann-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Isaac-Newton-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Janusz-Korczak-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Jean-Piaget-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Johann-August-Zeune-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Johann-Julius-Hecker-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Johann-Thienemann-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Julius-Leber-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Karl-Weise-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Katharina-Heinroth-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Kepler-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Kielhorn-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Kurt-Tucholsky-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Lauterbach-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Lenau-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Liebig-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Lynar-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Marienfelder Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Mark-Twain-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Markus-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Martin-Lichtenstein-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Matthias-Claudius-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Modersohn-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Nehring-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Otto-Wels-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Paul-Braune-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Paul-Dohrmann-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Paul-Löbe-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Paul-Moor-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Paul-Simmel-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Paul-und-Charlotte-Kniese-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Pestalozzi-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Peter-Jordan-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Peter-Pan-Grundschule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Peter-Paul-Rubens-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Peter-Ustinov-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Prignitz-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
"Reinfelder-Schule","","","Berlin","Berlin","Förderprogramm","","Kooperation von Schule und Jugendhilfe","1305"
