"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","id"
"Adolf-Gänshirt-Schule","","","Eichstätten","","","","0"
"Albeck Gymnasium","","","Sulz a. Neckar","","","","0"
"Albert-Einstein-Gymnasium","","","Böblingen","","","","0"
"Albert-Schweitzer-Gymnasium","","","Crailsheim","","","","0"
"Albrecht-Berblinger-Gemeinschaftsschule","","","Ulm","","","","40"
"Alemannenschule Denzlingen","","","Denzlingen","","","","0"
"Anne-Frank-Realschule","","","Ettlingen","","","","0"
"Altenburgschule","","","Stuttgart","","","","3"
"August- Lämmle- Schule","","","Leonberg","","","","0"
"August-Ruf-Bildungszentrum","","","Ettenheim","","","","0"
"Berkenschule Holzgerlingen","","","Holzgerlingen","","","","0"
"Berufliche Schule Münsingen","","","Münsingen","","","","0"
"Berufliche Schule","","","Riedlingen","","","","1"
"Berufliches Schulzentrum","","","Waldkirch","","","","9"
"Brandenkopf-Schule","","","Oberhamersbach","","","","0"
"BZN-Gymnasium","","","Reutlingen","","","","0"
"Canisius Schule","","","Bopfingen-Unterriffingen","","","","0"
"Carl-Orff-Förderschule","","","Ettlingen","","","","0"
"Carl-Schaefer-Schule","","","Ludwigsburg","","","","0"
"Dreißentalschule","","","Oberkochen","","","","0"
"Eichendorff-Schule","","","Offenburg","","","","0"
"Elise von König-Schule","","","Stuttgart-Münster","","","","0"
"Ernst-Sigle-Gymnasium","","","Kornwestheim","","","","0"
"Erwin-Schweizer-Schule","","","Ottenhöfen","","","","0"
"Eschachschule","","","Dunningen","","","","0"
"Eugen-Bolz-Realschule","","","Ellwangen","","","","0"
"Förderschule Waldkirch","","","Waldkirch","","","","9"
"Freie Aktive Schule KA Karlsruhe e. V.","","","Karlsruhe","","","","1"
"Freie Evangelische Schule","","","Reutlingen","","","","0"
"Freie Evangelische Schule","","","Stuttgart","","","","3"
"Freie Interkulturelle Waldorfschule","","","Mannheim","","","","1"
"Freie Schule Elztal","","","Waldkirch","","","","9"
"Friedrich-Schelling-Schule","","","Löchgau","","","","0"
"Fritz-Boehle-Hauptschule","","","Emmendingen","","","","0"
"Fürstabt-Gerbert-Schule","","","Blasien","","","","0"
"Gebhard-Müller-Schule","","","Biberach","","","","0"
"Gemeinschaftsschule","","","Manzenberg","","","","0"
"Gemeinschaftsschule i. Illertal","","","Illertal","","","","0"
"Gemeinschaftsschule","","","Konstanz","","","","0"
"Geschwister-Scholl-Schule","","","Konstanz","","","","0"
"Gewerbliche Schule","","","Backnang","","","","0"
"Gewerbliche Schule","","","Öhringen","","","","0"
"Gewerbliche Schule","","","Ravensburg","","","","1"
"GHS Gutach i. Breisgau","","","Gutach im Breisgau","","","","0"
"GHS Hinterzarten-Breitnau","","","Hinterzarten-Breitnau","","","","0"
"GHS Hohberg","","","Hohberg","","","","0"
"GHSWR Eichholz","","","Sindelfingen","","","","0"
"GMS Hardtschule","","","Durmersheim","","","","0"
"Gotthard-Müller-Werkrealschule","","","Filderstadt","","","","0"
"Grund- und Hauptschule Buchholz","","","Waldkirch","","","","9"
"Grund-und Werkrealschule Ostheim","","","Stuttgart","","","","3"
"GWRS","","","Kirchberg","","","","32"
"Gymnasium Friedrich II","","","Lorch","","","","0"
"Gymnasium Mengen","","","Mengen","","","","1"
"Gymnasium Ebingen","","","Albstadt","","","","0"
"Gymnasium Renningen","","","Renningen","","","","0"
"Hans-Grüninger-Gymnasium","","","Markgröningen","","","","0"
"Hans Müller-Wiedemann Schule","","","Mannheim","","","","1"
"Härtsfeldschule Neresheim","","","Neresheim","","","","0"
"Heidelberger Privatschulcentrum (HPC)","","","Heidelberg","","","","1"
"Heinrich-Steinhöwel-Schule","","","Weil der Stadt","","","","0"
"Heisenberg-Gymnasium","","","Bruchsal","","","","0"
"Helene-Lange-Realschule","","","Heilbronn","","","","1"
"Helene-Lange-Gymnasium","","","Markgröningen","","","","0"
"Hellbergschule Brombach","","","Brombach","","","","0"
"Helmbundschule Neuenstadt","","","Neuenstadt","","","","0"
"Herbert-Hoover-Schule","","","Stuttgart/Freiberg","","","","0"
"Herzog-Christoph-Gymnasium","","","Beilstein","","","","0"
"Hirschbergschule","","","Ludwigsburg","","","","0"
"Hochschule Ulm","","","Ulm","","","","40"
"Humboldt-Gymnasium Ulm","","","Ulm","","","","40"
"IGS Otterberg","","","Otterberg","","","","0"
"Immanuel-Kant-Gymnasium","","","Leinfelden-Echterdingen","","","","0"
"Interkulturelles Bildungszentrum Mannheim gGmbH","","","Mannheim","","","","1"
"it. Schule Stuttgart (Ausbildungszentrum für IT- und Medienberufe)","","","Stuttgart","","","","3"
"J.S.Bach-Schule","","","Weinheim","","","","0"
"Jacob-Löffler-Schule","","","Löchgau","","","","0"
"Jörg-Ratgeb-Schule","","","Stuttgart","","","","3"
"Johann Brücker Real- u. WRS","","","Schönaich","","","","0"
"Johann-Peter-Hebel-Realschule","","","Waghäusel","","","","0"
"Johannes-Gaiser-WRS","","","Baiersbronn","","","","0"
"Johanniter Realschule","","","Heitersheim","","","","0"
"Joß-Fritz-Realschule","","","Bruchsal-Untergrombach","","","","0"
"Justinus-Kerner-Schule","","","Ludwigsburg","","","","0"
"Justus-von-Liebig-Schule","","","Aalen","","","","0"
"Karl-Brachat-Realschule","","","VS-Villingen","","","","0"
"Karl-Ehrhard-Scheufelen Realschule","","","Lenningen","","","","0"
"Karl-Maybach-Gymnasium","","","Friedrichshafen","","","","0"
"Kastelbergschule","","","Waldkirch","","","","9"
"Kepler-Gymnasium","","","Ulm","","","","40"
"kikuma Kinderatelier","","","Dornstadt-Bollingen","","","","0"
"Kinder- u. Jugendförderung","","","Ostfildern","","","","0"
"Kirbachschule WRS","","","Hohenhaslach","","","","0"
"Konrad-Kocher-Schule","","","Ditzingen","","","","0"
"kursivTraining","","","Stuttgart","","","","3"
"Kurt-von-Marval-Schule","","","Nordheim","","","","1"
"Linden-Realschule","","","Stuttgart","","","","3"
"Ludwig-Erhard-Schule","","","Pforzheim","","","","0"
"Ludwig-Frohnhäuser-Schule","","","Wimpfen","","","","0"
"Luginslandschule","","","Stuttgart","","","","3"
"Magdalena-Neff-Schule","","","Ehingen","","","","1"
"Markgrafen-Realschule","","","Emmendingen","","","","0"
"Martin-Schleyer-Gymnasium","","","Lauda-Königshofen","","","","0"
"Matthias-Erzberger-Schule","","","Biberach","","","","0"
"Max-Planck-Realschule","","","Bretten","","","","0"
"Max-Weber-Schule","","","Freiburg","","","","1"
