"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Heinrich-Hertz-Gymnasium","","","Berlin","Berlin","Wettbewerb","2005","Physik Olympiade","1305"
"Heinrich-Hertz-Gymnasium","","","Berlin","Berlin","Wettbewerb","2000","Physik Olympiade","1305"
"Wilhelm-Ostwald-Schule","","","Leipzig","Sachsen","Wettbewerb","2016","Physik Olympiade","304"
"Martin-Andersen-Nexö-Gymnasium","","","Dresden","Sachsen","Wettbewerb","2016","Physik Olympiade","297"
"Martin-Andersen-Nexö-Gymnasium","","","Dresden","Sachsen","Wettbewerb","2016","Physik Olympiade","297"
"Wilhelm-Ostwald-Schule","","","Leipzig","Sachsen","Wettbewerb","2016","Physik Olympiade","304"
"Wilhelm-Ostwald-Schule","","","Leipzig","Sachsen","Wettbewerb","2015","Physik Olympiade","304"
"Martin-Andersen-Nexö-Gymnasium","","","Dresden","Sachsen","Wettbewerb","2015","Physik Olympiade","297"
"Wilhelm-Ostwald-Schule","","","Leipzig","Sachsen","Wettbewerb","2015","Physik Olympiade","304"
"Wilhelm-Ostwald-Schule","","","Leipzig","Sachsen","Wettbewerb","2014","Physik Olympiade","304"
"Martin-Andersen-Nexö-Gymnasium","","","Dresden","Sachsen","Wettbewerb","2012","Physik Olympiade","297"
"St.-Benno-Gymnasium","","","Dresden","Sachsen","Wettbewerb","2008","Physik Olympiade","297"
"Johannes-Kepler-Gymnasium","","","Chemnitz","Sachsen","Wettbewerb","2007","Physik Olympiade","186"
"Wilhelm-Ostwald-Gymnasium","","","Leipzig","Sachsen","Wettbewerb","1993","Physik Olympiade","304"
"Werner-Heisenberg-Schule","","","Riesa","Sachsen","Wettbewerb","1992","Physik Olympiade","24"
"Martin-Andersen-Nexö-Gymnasium","","","Dresden","Sachsen","Wettbewerb","1991","Physik Olympiade","297"
"Martin-Andersen-Nexö-Gymnasium","","","Dresden","Sachsen","Wettbewerb","1991","Physik Olympiade","297"
"Wilhelm-Ostwald-Schule","","","Leipzig","Sachsen","Wettbewerb","1991","Physik Olympiade","304"
"Gymnasium Dingolfing","","","Dingolfing","Bayern","Wettbewerb","2016","Physik Olympiade","7"
"Werner-Heisenberg-Gymnasium","","","Leverkusen","Nordrhein-Westfalen","Wettbewerb","2015","Physik Olympiade","46"
"Carl-Zeiss-Gymnasium","","","Jena","Thüringen","Wettbewerb","2015","Physik Olympiade","38"
"Ohm-Gymnasium","","","Erlangen","Bayern","Wettbewerb","2014","Physik Olympiade","33"
"Carl-Friedrich-Gauß-Gymn.","","","Frankfurt/Oder","Hessen","Wettbewerb","2014","Physik Olympiade","0"
"Wilhelm-Dörpfeld-Gymn.","","","Wuppertal","Nordrhein-Westfalen","Wettbewerb","2014","Physik Olympiade","110"
"Gymnasium Himmelstür","","","Hildesheim","Niedersachsen","Wettbewerb","2014","Physik Olympiade","55"
"Ohm-Gymnasium","","","Erlangen","Bayern","Wettbewerb","2013","Physik Olympiade","33"
"Gymnasium ""Werner von Siemens""","","","Magdeburg","Sachsen-Anhalt","Wettbewerb","2013","Physik Olympiade","87"
"Hariolf-Gymnasium","","","Ellwangen","Baden-Württemberg","Wettbewerb","2013","Physik Olympiade","0"
"Stiftsgymnasium Xanten","","","Xanten","Nordrhein-Westfalen","Wettbewerb","2013","Physik Olympiade","4"
"Landesgymn. für Hochbegabte","","","Schwäbisch Gmünd","Baden-Württemberg","Wettbewerb","2013","Physik Olympiade","0"
"Kant-Gymnasium","","","Weil am Rhein","Baden-Württemberg","Wettbewerb","2012","Physik Olympiade","0"
"Johann-Vanotti-Gymnasium","","","Ehingen","Baden-Württemberg","Wettbewerb","2012","Physik Olympiade","1"
"Carl-Zeiss-Gymnasium","","","Jena","Thüringen","Wettbewerb","2012","Physik Olympiade","38"
"Dr.-Wilhelm-Meyer-Gymnasium","","","Braunschweig","Niedersachsen","Wettbewerb","2012","Physik Olympiade","102"
"Gymnasium Sulingen","","","Sulingen","Niedersachsen","Wettbewerb","2011","Physik Olympiade","5"
"Johann-Vanotti-Gymnasium","","","Ehingen","Baden-Württemberg","Wettbewerb","2011","Physik Olympiade","1"
"Gymnasium Parsberg","","","Parsberg","Bayern","Wettbewerb","2011","Physik Olympiade","7"
"Deutschorden-Gymnasium","","","Bad Mergentheim","Baden-Württemberg","Wettbewerb","2011","Physik Olympiade","0"
"Albertus-Magnus-Gymnasium","","","Regensburg","Bayern","Wettbewerb","2011","Physik Olympiade","63"
"Pestalozzi-Gymnasium Unna","","","Unna","Nordrhein-Westfalen","Wettbewerb","2010","Physik Olympiade","25"
"Gymnasium Sulingen","","","Sulingen","Niedersachsen","Wettbewerb","2010","Physik Olympiade","5"
"Gymnasium Neubiberg","","","Neubiberg","Bayern","Wettbewerb","2010","Physik Olympiade","3"
"Werdenfels-Gymn.","","","Garmisch-Partenkirchen","Bayern","Wettbewerb","2010","Physik Olympiade","10"
"Albertus-Magnus-Gymnasium","","","Regensburg","Bayern","Wettbewerb","2010","Physik Olympiade","63"
"Carl-Zeiss-Gymnasium","","","Jena","Thüringen","Wettbewerb","2009","Physik Olympiade","38"
"Gymnasium Korschenbroich","","","Korschenbroich","Nordrhein-Westfalen","Wettbewerb","2009","Physik Olympiade","9"
"Gymnasium Neubiberg","","","Neubiberg","Bayern","Wettbewerb","2009","Physik Olympiade","3"
"Jack-Steinberger-Gymn.","","","Bad Kissingen","Bayern","Wettbewerb","2009","Physik Olympiade","7"
"Carl-Zeiss-Gymnasium","","","Jena","Thüringen","Wettbewerb","2009","Physik Olympiade","38"
"Elsensee-Gymnasium","","","Quickborn","Schleswig-Holstein","Wettbewerb","2008","Physik Olympiade","8"
"Gymnasium Ehingen","","","Ehingen","Baden-Württemberg","Wettbewerb","2008","Physik Olympiade","1"
"Max-Steenbeck-Gymnasium","","","Cottbus","Brandenburg","Wettbewerb","2008","Physik Olympiade","37"
"Gymnasium Hechingen","","","Hechingen","Baden-Württemberg","Wettbewerb","2008","Physik Olympiade","0"
"Carl-Zeiss-Gymnasium","","","Jena","Thüringen","Wettbewerb","2007","Physik Olympiade","38"
"Gymnasium Stein","","","Stein","Bayern","Wettbewerb","2007","Physik Olympiade","169"
"Görres-Gymnasium","","","Koblenz","Rheinland-Pfalz","Wettbewerb","2007","Physik Olympiade","4"
"Bildungszentrum Weissacher Tal","","","Weissacher Tal","Baden-Württemberg","Wettbewerb","2007","Physik Olympiade","0"
"Carl-Schurz Gymnasium","","","Frankfurt","Hessen","Wettbewerb","2006","Physik Olympiade","37"
"Gymnasium Stein","","","Stein","Bayern","Wettbewerb","2006","Physik Olympiade","169"
"Max-Steenbeck-Gymnasium","","","Cottbus","Brandenburg","Wettbewerb","2006","Physik Olympiade","37"
"Friedrich-List-Gymnasium","","","Asperg","Baden-Württemberg","Wettbewerb","2006","Physik Olympiade","0"
"Gymnasium Hechingen","","","Hechingen","Baden-Württemberg","Wettbewerb","2006","Physik Olympiade","0"
"Maria-Theresia-Gymnasium","","","München","Bayern","Wettbewerb","2005","Physik Olympiade","370"
"Max-Steenbeck-Gymnasium","","","Cottbus","Brandenburg","Wettbewerb","2005","Physik Olympiade","37"
"Max-Steenbeck-Gymnasium","","","Cottbus","Brandenburg","Wettbewerb","2005","Physik Olympiade","37"
"Carl-Zeiss-Gymnasium","","","Jena","Thüringen","Wettbewerb","2005","Physik Olympiade","38"
