"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Realschule Plus - Siedlungsschule","Birkenweg 10","67346","Speyer","Rheinland-Pfalz","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
"Mörike-Gymnasium","Karlstraße 19","71638","Ludwigsburg","Baden-Württemberg","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
"Puricelli Realschule plus","Schulstr. 3","55494","Rheinböllen","Rheinland-Pfalz","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
"Oberschule Regis-Breitingen","Schulstraße 9","04565","Regis-Breitingen","Sachsen","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
"Grundschule Lengfeld","Carl-Orff-Straße 2","97076","Würzburg","Nordrhein-Westfalen","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
"Sälzer-Sekundarschule","Kucklermühlenweg 43","59457","Werl","Nordrhein-Westfalen","Programm","","Schule ohne Rassismus - Schule mit Courage","1"
"Berufsfachschule für Altenpflege der Diakonie Hochfranken","Konradsreuther Straße 2b","95032","Hof","Bayern","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
"Gesamtschule der Kreisstadt Siegburg","Zeithstraße 72","53721","Siegburg","Nordrhein-Westfalen","Programm","","Schule ohne Rassismus - Schule mit Courage","2"
"Städt. Kopernikus-Gymnasium","Beckersloh 81","47179","Duisburg","Nordrhein-Westfalen","Programm","","Schule ohne Rassismus - Schule mit Courage","1"
"Kaufmännische Schulen Rheine","Lindenstraße 36","48431","Rheine","Nordrhein-Westfalen","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
"Max-Slevogt-Gymnasium","Hindenburgstraße 2","76829","Landau in der Pfalz","Rheinland-Pfalz","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
"Gymnasium Traben-Trarbach","Bernkasteler Weg 72","56841","Traben-Trarbach","Rheinland-Pfalz","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
"Städtische Werner-von-Siemens-Realschule","Rethelstraße 13","40237","Düsseldorf","Nordrhein-Westfalen","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
"Geschwister-Scholl-Gymnasium","Richard-Schmid-Straße 25","70619","Stuttgart","Baden-Württemberg","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
"RSAK Kunstkolleg & Gesamtschule gGmbH","Wehrstr. 145","53773","Hennef","Nordrhein-Westfalen","Programm","","Schule ohne Rassismus - Schule mit Courage","1"
"Gymnasium Borbeck","Prinzenstraße 46","45355","Essen","Nordrhein-Westfalen","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
"Martin-Luther-King-Schule","Georg-Herwegh-Straße 63-67","45772","Marl","Nordrhein-Westfalen","Programm","","Schule ohne Rassismus - Schule mit Courage","0"
