"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Ev. Schule Berlin Zentrum","","","Berlin","Berlin","Programm","","Schule im Aufbruch","1305"
"Galileo Gymnasium","","","Berlin","Berlin","Programm","","Schule im Aufbruch","1305"
"Heinz-Brandt-Schule","","","Berlin","Berlin","Programm","","Schule im Aufbruch","1305"
"Quinoa Schule","","","Berlin","Berlin","Programm","","Schule im Aufbruch","1305"
"Reinhold-Burger Schule Berlin","","","Berlin","Berlin","Programm","","Schule im Aufbruch","1305"
"Reinhold-Burger-Schule","","","Berlin","Berlin","Programm","","Schule im Aufbruch","1305"
"Ev. Schulverein Radebeul","","","Radebeul","Sachsen","Programm","","Schule im Aufbruch","15"
"DPFA-Regenbogen Grund-und Realschule","","","Rabenau","Sachsen","Programm","","Schule im Aufbruch","5"
"Sudbury Schule Ammersee","","","Reichling/Ludenhausen","Sachsen","Programm","","Schule im Aufbruch","0"
"Aachener Gesamtschule","","","Aachen","Nordrhein-Westfalen","Programm","","Schule im Aufbruch","85"
"Wilhelm-Kaisen-Oberschule","","","Bremen","Bremen","Programm","","Schule im Aufbruch","175"
"IGS Celle","","","Celle","Niedersachsen","Programm","","Schule im Aufbruch","41"
"Ev. Schule Cottbus","","","Cottbus","Brandenburg","Programm","","Schule im Aufbruch","37"
"Ev. Schule Cottbus","","","Cottbus","Brandenburg","Programm","","Schule im Aufbruch","37"
"Sekundarschule Dormagen","","","Dormagen","Nordrhein-Westfalen","Programm","","Schule im Aufbruch","23"
"Gesamtschule Emmerich","","","Emmerich","Nordrhein-Westfalen","Programm","","Schule im Aufbruch","11"
"Franziskus-Schule Erkelenz & Houverath","","","Erkelenz","Nordrhein-Westfalen","Programm","","Schule im Aufbruch","13"
"Robert-Schumann-Schule","","","Frankfurt/Main","Hessen","Programm","","Schule im Aufbruch","0"
"Aliceschule","","","Gießen","Hessen","Programm","","Schule im Aufbruch","0"
"2. IGS Halle","","","Halle","Sachsen-Anhalt","Programm","","Schule im Aufbruch","117"
"Staatliche Gewerbeschule Bautechnik G19","","","Hamburg","Hamburg","Programm","","Schule im Aufbruch","422"
"August-Gaul Schule","","","Hanau","Hessen","Programm","","Schule im Aufbruch","0"
"IGS Garbsen","","","Hannover","Niedersachsen","Programm","","Schule im Aufbruch","173"
"Freie Schule Tecklenburger Land","","","Ibbenbüren","Nordrhein-Westfalen","Programm","","Schule im Aufbruch","21"
"Aktive Schule Köln","","","Köln","Nordrhein-Westfalen","Programm","","Schule im Aufbruch","324"
"Möchswaldschule in Kraichtal","","","Kraichtal","Baden-Württemberg","Programm","","Schule im Aufbruch","0"
"Mönchswegschule","","","Kraichtal","Baden-Württemberg","Programm","","Schule im Aufbruch","0"
"Schulen im Aufbruch im Lauenburger Land","","","Lauenburger Land","Schleswig-Holstein","Programm","","Schule im Aufbruch","0"
"Alice-Salomon-Schule","","","Linz am Rhein","Rheinland-Pfalz","Programm","","Schule im Aufbruch","0"
"Freie Schule Christophine","","","Marbach","Baden-Württemberg","Programm","","Schule im Aufbruch","1"
"Grund- u. Oberschule Müllrose","","","Müllrose","Brandenburg","Programm","","Schule im Aufbruch","3"
"Anne-Frank-Realschule","","","München","Bayern","Programm","","Schule im Aufbruch","370"
"Freie Schule Ostalb,","","","Nattheim","Baden-Württemberg","Programm","","Schule im Aufbruch","0"
"Gesamtschule Norf","","","Neuss","Nordrhein-Westfalen","Programm","","Schule im Aufbruch","54"
"IGS Nienburg","","","Nienburg","Niedersachsen","Programm","","Schule im Aufbruch","22"
"Jenaplanschule Nürnberg","","","Nürnberg","Bayern","Programm","","Schule im Aufbruch","138"
"IGS Oyten","","","Oyten","Niedersachsen","Programm","","Schule im Aufbruch","5"
"Gesamtschule Puhlheim","","","Puhlheim","Nordrhein-Westfalen","Programm","","Schule im Aufbruch","0"
"Christliches Gymnasium Rudolf Stempel","","","Riesa","Sachsen","Programm","","Schule im Aufbruch","24"
"Jeetzeschule","","","Salzwedel","Sachsen-Anhalt","Programm","","Schule im Aufbruch","15"
"Primusschule Schalksmühle","","","Schalkmühle","Nordrhein-Westfalen","Programm","","Schule im Aufbruch","0"
"Astrid-Lindgren-Schule","","","Schwedt","Brandenburg","Programm","","Schule im Aufbruch","12"
"Freie Dorfschule Unterlengenhardt","","","Unterlegenhardt","Baden-Württemberg","Programm","","Schule im Aufbruch","0"
"Windrather Talschule","","","Velbert","Nordrhein-Westfalen","Programm","","Schule im Aufbruch","31"
"Blücher-Schule","","","Wiesbaden","Hessen","Programm","","Schule im Aufbruch","3"
"Blumensteinschule","","","Wildeck-Obersuhl","Hessen","Programm","","Schule im Aufbruch","0"
