"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Auenwaldschule Böklund","","","Böklund","Schleswig-Holstein","Programm","","Seniorpartner in School","2"
"Gymnasium Brunsbüttel","","","Brunsbüttel","Schleswig-Holstein","Programm","","Seniorpartner in School","5"
"Handelslehranstalt Flensburg","","","Flensburg","Schleswig-Holstein","Programm","","Seniorpartner in School","32"
"Fördegymnasium Flensburg","","","Flensburg","Schleswig-Holstein","Programm","","Seniorpartner in School","32"
"Gemeinschaftsschule Harrislee","","","Flensburg","Schleswig-Holstein","Programm","","Seniorpartner in School","32"
"Gymnasium Goethe- Schule","","","Flensburg","Schleswig-Holstein","Programm","","Seniorpartner in School","32"
"Hannah-Arendt-Schule BBZ","","","Flensburg","Schleswig-Holstein","Programm","","Seniorpartner in School","32"
"Ostseeschule Flensburg","","","Flensburg","Schleswig-Holstein","Programm","","Seniorpartner in School","32"
"Comenius-Schule","","","Flensburg","Schleswig-Holstein","Programm","","Seniorpartner in School","32"
"Gemeinschaftsschule Fockbek","","","Fockbek","Schleswig-Holstein","Programm","","Seniorpartner in School","1"
"Gymnasium Husum","","","Husum","Schleswig-Holstein","Programm","","Seniorpartner in School","12"
"Grundschule Jarplund","","","Jarplund","Schleswig-Holstein","Programm","","Seniorpartner in School","0"
"Gemeinschaftsschule Kappeln","","","Kappeln","Schleswig-Holstein","Programm","","Seniorpartner in School","4"
"Kleine Lernwerft","","","Kiel","Schleswig-Holstein","Programm","","Seniorpartner in School","68"
"Hardenbergschule","","","Kiel","Schleswig-Holstein","Programm","","Seniorpartner in School","68"
"Emil-Nolde Grund & Regionalschule","","","Neukirchen","Schleswig-Holstein","Programm","","Seniorpartner in School","26"
"Grundschule Alvin-Lensch-Schule","","","Niebüll","Schleswig-Holstein","Programm","","Seniorpartner in School","6"
"deutsche Schule Padborg","","","Padborg DK","Schleswig-Holstein","Programm","","Seniorpartner in School","0"
