"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Theodor-Heuss-Gymnasium","","","Aalen","Baden-Württemberg","Programm","","UNESCO Projektschulen","0"
"Edith-Stein-Gymnasium","","","Bretten","Baden-Württemberg","Programm","","UNESCO Projektschulen","0"
"Geschwister-Scholl-Schule","","","Crailsheim-Ingersheim","Baden-Württemberg","Programm","","UNESCO Projektschulen","0"
"Gewerbliche und Hauswirtschaftlich-Sozialpflegerische Schulen","","","Emmendingen","Baden-Württemberg","Programm","","UNESCO Projektschulen","0"
"Rohräckerschule","","","Esslingen","Baden-Württemberg","Programm","","UNESCO Projektschulen","0"
"St. Augustinusheim","","","Ettlingen","Baden-Württemberg","Programm","","UNESCO Projektschulen","0"
"Droste-Hülshoff-Gymnasium","","","Freiburg","Baden-Württemberg","Programm","","UNESCO Projektschulen","1"
"Institut für Heilpädagogik und Erziehungshilfe e.V.","","","Heidelberg","Baden-Württemberg","Programm","","UNESCO Projektschulen","1"
"Internationale Gesamtschule","","","Heidelberg","Baden-Württemberg","Programm","","UNESCO Projektschulen","1"
"Tiefburgschule","","","Heidelberg","Baden-Württemberg","Programm","","UNESCO Projektschulen","1"
"Peter-Bruckmann-Schule","","","Heilbronn","Baden-Württemberg","Programm","","UNESCO Projektschulen","1"
"Freie Waldorfschule","","","Karlsruhe","Baden-Württemberg","Programm","","UNESCO Projektschulen","1"
"Heisenberg-Gymnasium","","","Karlsruhe","Baden-Württemberg","Programm","","UNESCO Projektschulen","1"
"Hans-Multscher-Gymnasium","","","Leutkirch","Baden-Württemberg","Programm","","UNESCO Projektschulen","1"
"Berufsschule des Berufsbildungswerks Neckargemünd gGmbH","","","Neckargemünd","Baden-Württemberg","Programm","","UNESCO Projektschulen","0"
"Stephen-Hawking-Schule","","","Neckargemünd","Baden-Württemberg","Programm","","UNESCO Projektschulen","0"
"Klosterschulen Unserer Lieben Frau","","","Offenburg","Baden-Württemberg","Programm","","UNESCO Projektschulen","0"
