"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Alt-Lankwitzer-Grundschule","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"ASIG Berufs- und Fachschulen","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Bernhard-Grzimek-Schule","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Brillat-Savarin-Schule, OSZ","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Carl-von-Ossietzky-Gymnasium","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Dathe-Gymnasium","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Emmy-Noether-Oberschule","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Freie Naturschule im StadtGut","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Goethe-Oberschule","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Grundschule am Falkplatz","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Grundschule im Beerwinkel","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Hagenbeck-Oberschule","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Heinrich-Mann-Oberschule","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Heinrich-Zille-Schule","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"John-Lennon-Gymnasium","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Kreativitäts-GS Karlshorst","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Litfaß-Schule, OSZ","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Max-Taut-Schule OSZ","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Marcel-Breuer-Schule, OSZ","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Mierendorff- Grundschule","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Mühlenau-Grundschule","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Peter-Lenné-Schule, OSZ","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Ruth-Cohn-Schule, OSZ","","","Berlin","Berlin","Programm","","Umweltschule Europa","1305"
"Grundschule am Priesterweg","","","Potsdam","Brandenburg","Programm","","Umweltschule Europa","78"
"Walstadt-Grundschule","","","Potsdam","Brandenburg","Programm","","Umweltschule Europa","78"
"Grundschule am Humboldtring","","","Potsdam","Brandenburg","Programm","","Umweltschule Europa","78"
"Karl-Foerster-Schule","","","Potsdam","Brandenburg","Programm","","Umweltschule Europa","78"
"Comenius-Schule","","","Potsdam","Brandenburg","Programm","","Umweltschule Europa","78"
"Käthe-Kollwitz-Oberschule","","","Potsdam","Brandenburg","Programm","","Umweltschule Europa","78"
"Adolph-Schönfelder Schule","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Elbinselschule","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Ganztagsgrundschule Eduardstraße","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Grundschule Am Heidberg","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Schule Krohnstieg","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Schule Lokstedter Damm","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Schule Moorflagen","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Grundschule Müssenredder","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Schule Redder","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Grundschule Scheeßeler Kehre","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Grundschule Neugraben","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Fritz-Schumacher-Schule","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Goethe-Schule-Harburg","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Gyula Trebitsch Schule Tonndorf","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Julius-Leber-Schule","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Max-Schmeling-Stadtteilschule","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"Otto-Hahn-Schule","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"STS Am Heidberg","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"STS Barmbek","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"STS Bramfeld","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"STS Finkenwerder","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"STS Lohbrügge","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
"STS Niendorf","","","Hamburg","Hamburg","Programm","","Umweltschule Europa","422"
