"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Lilienthalschule","","","Berlin","Berlin","Wettbewerb","1959/60","Vorlesewettbewerb","1305"
"Ruppinschule","","","Berlin","Berlin","Wettbewerb","1961/62","Vorlesewettbewerb","1305"
"Theodor-Storm-Schule","","","Berlin","Berlin","Wettbewerb","1969/70","Vorlesewettbewerb","1305"
"Emil-Fischer-Grundschule","","","Berlin","Berlin","Wettbewerb","1972/73","Vorlesewettbewerb","1305"
"Weser Grundschule","","","Berlin","Berlin","Wettbewerb","1975/76","Vorlesewettbewerb","1305"
"Waldgrundschule","","","Berlin","Berlin","Wettbewerb","1976/77","Vorlesewettbewerb","1305"
"18. Grundschule","","","Berlin","Berlin","Wettbewerb","1981/82","Vorlesewettbewerb","1305"
"Canisius-Colleg","","","Berlin","Berlin","Wettbewerb","1986/87","Vorlesewettbewerb","1305"
"Bruno-Taut-Grundschule","","","Berlin","Berlin","Wettbewerb","2007/08","Vorlesewettbewerb","1305"
"Realschule plus","","","Mülheim-Kärlich","Rheinland-Pfalz","Wettbewerb","2009/10","Vorlesewettbewerb","0"
"A. Matrosse Oberschule","","","Chemnitz","Sachsen","Wettbewerb","1991/92","Vorlesewettbewerb","186"
"Mittelschule","","","Gaußig","Sachsen","Wettbewerb","1999/00","Vorlesewettbewerb","3"
"Herderschule","","","Hohenstein-Ernstthal","Sachsen","Wettbewerb","2001/02","Vorlesewettbewerb","8"
"Bischöfliches Maria-Montessori-Schulzentrum","","","Leipzig","Sachsen","Wettbewerb","2007/08","Vorlesewettbewerb","304"
"Mittelschule Oberlößnitz","","","Radebeul","Sachsen","Wettbewerb","1998/99","Vorlesewettbewerb","15"
"Mittelschule Lößnitz","","","Radebeul","Sachsen","Wettbewerb","2002/03","Vorlesewettbewerb","15"
"Volksschule Aindling","","","Aindling","Bayern","Wettbewerb","1987/88","Vorlesewettbewerb","1"
"Grund- und Teilhauptschule I","","","Augsburg","Bayern","Wettbewerb","1980/81","Vorlesewettbewerb","83"
"Franz-von-Assisi-Schule","","","Augsburg","Bayern","Wettbewerb","2006/07","Vorlesewettbewerb","83"
"Alex-Mack-Hauptschule","","","Bad Berleburg","Nordrhein-Westfalen","Wettbewerb","1977/78","Vorlesewettbewerb","10"
"Grund- und Hauptschule","","","Bad Hersfeld","Hessen","Wettbewerb","1975/76","Vorlesewettbewerb","0"
"Grund- und Hauptschule","","","Bad Rappenau","Baden-Württemberg","Wettbewerb","1991/92","Vorlesewettbewerb","0"
"Hauptschule","","","Bad Salzuflen","Nordrhein-Westfalen","Wettbewerb","1972/73","Vorlesewettbewerb","14"
"Sekundarschule","","","Bad Schmiedeberg","Sachsen-Anhalt","Wettbewerb","2011/12","Vorlesewettbewerb","4"
"Altes Kurfürstliches Gymn.","","","Bensheim","Hessen","Wettbewerb","1975/76","Vorlesewettbewerb","0"
"Nicolaus-Cusanus-Gymnasium","","","Bergisch Gladbach","Nordrhein-Westfalen","Wettbewerb","1993/94","Vorlesewettbewerb","45"
"Hauptschule Im Kleefeld","","","Bergisch Gladbach","Nordrhein-Westfalen","Wettbewerb","2010/11","Vorlesewettbewerb","45"
"Gymnasium Bersenbrück","","","Bersenbrück","Niedersachsen","Wettbewerb","2015/16","Vorlesewettbewerb","4"
"Rupertusschule","","","Bingen","Rheinland-Pfalz","Wettbewerb","2003/04","Vorlesewettbewerb","2"
"Mittelpunktschule","","","Bomlitz","Niedersachsen","Wettbewerb","1973/74","Vorlesewettbewerb","5"
"Beethoven-Gymnasium","","","Bonn","Nordrhein-Westfalen","Wettbewerb","1990/91","Vorlesewettbewerb","112"
"Orientierungsstufe","","","Bramsche","Niedersachsen","Wettbewerb","1979/80","Vorlesewettbewerb","15"
"Wilhelm-Raabe-Schule","","","Bremerhaven","Bremen","Wettbewerb","1988/90","Vorlesewettbewerb","48"
"Marktschule","","","Bremerhaven-Lehe","Bremen","Wettbewerb","1968/69","Vorlesewettbewerb","0"
"Gymnasium Marne","","","Brunsbüttel","Schleswig-Holstein","Wettbewerb","1964/65","Vorlesewettbewerb","5"
"OS Burgwedel","","","Burgwedel","Niedersachsen","Wettbewerb","1992/93","Vorlesewettbewerb","11"
"Kreuzschule","","","Coesfeld","Nordrhein-Westfalen","Wettbewerb","1989/90","Vorlesewettbewerb","19"
"Grund- und Hauptschule","","","Differten","Saarland","Wettbewerb","1976/77","Vorlesewettbewerb","0"
"Hofgartenschule","","","Dillenburg","Hessen","Wettbewerb","1984/85","Vorlesewettbewerb","1"
"Hauptschule","","","Dortmund","Nordrhein-Westfalen","Wettbewerb","1974/75","Vorlesewettbewerb","179"
"Hauptschule Edenkoben","","","Edenkoben","Rheinland-Pfalz","Wettbewerb","1978/79","Vorlesewettbewerb","0"
