"ID","Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"NRW-193914","Gymnasium Jüchen","","","Jüchen","Nordrhein-Westfalen","Wettbewerb","2015","bpb Bundespreis","6"
"","Walahfrid Strabo Gymnasium Rheinstetten","","","Rheinstetten","Baden-Württemberg","Wettbewerb","2015","bpb Bundespreis","0"
"","Hohenbergschule Rottenburg","","","Rottenburg am Neckar","Baden-Württemberg","Wettbewerb","2015","bpb Bundespreis","0"
"MV-75235544","Sonderpädagogisches Förderzentrum","","","Friedland","Mecklenburg-Vorpommern","Wettbewerb","2015","bpb Bundespreis","9"
"","Paul-Gerhardt-Gymnasium Gräfenhainichen","","","Gräfenhainichen","Sachsen-Anhalt","Wettbewerb","2015","bpb Bundespreis","7"
"","Gymnasium Oesede / Georgsmarienhütte","","","Georgsmarienhütte","Niedersachsen","Wettbewerb","2015","bpb Bundespreis","11"
"BY-385","Gymnasium Herzogenaurach","","","Herzogenaurach","Bayern","Wettbewerb","2015","bpb Bundespreis","9"
"","Berufsschulzentrum Bietigheim-Bissingen","","","Bietigheim-Bissingen","Baden-Württemberg","Wettbewerb","2015","bpb Bundespreis","0"
"","Helene Lange Schule","","","Fürth","Bayern","Wettbewerb","2015","bpb Bundespreis","32"
"","Albrecht Dürer Mittelschule","","","Haßfurt","Bayern","Wettbewerb","2015","bpb Bundespreis","7"
