address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Rombacher Straße 30, 73430 Aalen",07361/9561-20,false,BW-75774,48.838598,10.08184,Schubart-Gymnasium Partnerschule für Europa,75774,07361/9561-0,Gymnasium (G8),Gymnasium,BW
"Friedrichstraße 70, 73430 Aalen",07361/9560-50,false,BW-75810,48.841283,10.08923,Theodor-Heuss-Gymnasium,75810,07361/95603,Gymnasium (G9),Gymnasium,BW
"Friedrichstraße 70, 73430 Aalen",07361/9560-50,false,BW-75810,48.841283,10.08923,Theodor-Heuss-Gymnasium,75810,07361/95603,Gymnasium (G8),Gymnasium,BW
"Am Schäle 19, 73433 Aalen",07361/977080,false,BW-75846,48.869381,10.097729,Kopernikus-Gymnasium Wasseralfingen,75846,07361/97706,Gymnasium (G8),Gymnasium,BW
"Karlstraße 19, 71638 Ludwigsburg",07141/910-2653,false,BW-75849,48.892007,9.188984,Märike-Gymnasium,75849,07141/910-2339,Gymnasium (G9),Gymnasium,BW
"Karlstraße 19, 71638 Ludwigsburg",07141/910-2653,false,BW-75849,48.892007,9.188984,Märike-Gymnasium,75849,07141/910-2339,Gymnasium (G8),Gymnasium,BW
"Lyonel-Feininger-Weg 3, 71679 Asperg",07141/6812120,false,BW-75885,48.900504,9.134425,Friedrich-List-Gymnasium Asperg,75885,07141/6812110,Gymnasium (G8),Gymnasium,BW
"Maubacher Straße 62, 71522 Backnang",07191/914050,false,BW-75921,48.94103,9.429386,Max-Born-Gymnasium,75921,07191/91400,Gymnasium (G8),Gymnasium,BW
"Häfnersweg 63, 71522 Backnang",07191/904646,false,BW-75939,48.953517,9.445765,Gymnasium in der Taus,75939,07191/90460,Gymnasium (G9),Gymnasium,BW
"Häfnersweg 63, 71522 Backnang",07191/904646,false,BW-75939,48.953517,9.445765,Gymnasium in der Taus,75939,07191/90460,Gymnasium (G8),Gymnasium,BW
"Kopernikusstraße 11, 97980 Bad Mergentheim",07931/574913,false,BW-75975,49.487687,9.785563,Deutschorden-Gymnasium,75975,07931/574070,Gymnasium (G8),Gymnasium,BW
"Schulstraße 23, 74206 Bad Wimpfen",07063/933612,false,BW-76011,49.228046,9.160848,Hohenstaufen-Gymnasium,76011,07063/9336-0,Gymnasium (G8),Gymnasium,BW
"Dammstraße 20, 71717 Beilstein",07062/3074,false,BW-76047,49.044147,9.309506,Herzog-Christoph-Gymnasium,76047,07062/3232,Gymnasium (G9),Gymnasium,BW
"Dammstraße 20, 71717 Beilstein",07062/3074,false,BW-76047,49.044147,9.309506,Herzog-Christoph-Gymnasium,76047,07062/3232,Gymnasium (G8),Gymnasium,BW
"Auf dem Kies 27, 74354 Besigheim",07143/35471,false,BW-76083,48.999049,9.147398,Christoph-Schrempf-Gymnasium Besigheim,76083,07143/80560,Gymnasium (G8),Gymnasium,BW
"Ellentalstraße 10, 74321 Bietigheim-Bissingen",07142/74-536,false,BW-76122,48.954492,9.124443,Gymnasium I im Ellental,76122,07142/74-503,Gymnasium (G8),Gymnasium,BW
"Ellentalstraße 10, 74321 Bietigheim-Bissingen",07142/74-536,false,BW-76158,48.954492,9.124443,Gymnasium II im Ellental,76158,07142/74-503,Gymnasium (G8),Gymnasium,BW
"Zeppelinstraße 50, 71032 Bäblingen",07031/669-4469,false,BW-76194,48.688093,9.019702,Albert-Einstein-Gymnasium,76194,07031/669-4443,Gymnasium (G8),Gymnasium,BW
"Danziger Straße 10, 71034 Bäblingen",07031/6694499,false,BW-76230,48.679227,8.998006,Otto-Hahn-Gymnasium,76230,07031/6694473,Gymnasium (G8),Gymnasium,BW
"Murkenbachweg 4, 71032 Bäblingen",07031/669-4529,false,BW-76248,48.679552,9.025329,Max-Planck-Gymnasium,76248,07031/6694503,Gymnasium (G8),Gymnasium,BW
"Alte Neresheimer Straße 39, 73441 Bopfingen",07362/956038-19,false,BW-76320,48.853459,10.345841,Ostalb-Gymnasium,76320,07362/956038-10,Gymnasium (G8),Gymnasium,BW
"Hirnerweg 15, 74336 Brackenheim",07135/982915,false,BW-76356,49.077665,9.061467,Zabergäu-Gymnasium,76356,07135/982911,Gymnasium (G8),Gymnasium,BW
"Dr.-Ascher-Weg 1, 74564 Crailsheim",07951/42046,false,BW-76359,49.141381,10.070767,Albert-Schweitzer-Gymnasium,76359,07951/297910,Gymnasium (G9),Gymnasium,BW
"Dr.-Ascher-Weg 1, 74564 Crailsheim",07951/42046,false,BW-76359,49.141381,10.070767,Albert-Schweitzer-Gymnasium,76359,07951/297910,Gymnasium (G8),Gymnasium,BW
"Gräninger Straße 29, 71254 Ditzingen",07156/968613,false,BW-76395,48.82639,9.06667,Gymnasium in der Glemsaue Ditzingen,76395,07156/9686-0,Gymnasium (G8),Gymnasium,BW
"Dr.-Frey-Straße 38, 73072 Donzdorf",07162/922639,false,BW-76431,48.686204,9.818798,Rechberg-Gymnasium,76431,07162/922625,Gymnasium (G8),Gymnasium,BW
"Bünzwanger Straße 35, 73061 Ebersbach an der Fils",07163/6902,false,BW-76467,48.70893,9.526379,Raichberg-Gymnasium,76467,07163/912320,Gymnasium (G8),Gymnasium,BW
"Talstraße 50, 73054 Eislingen",07161/98425-19,false,BW-76503,48.701019,9.718872,Erich-Kästner-Gymnasium,76503,07161/98425-0,Gymnasium (G8),Gymnasium,BW
"Peutingerstraße 16, 73479 Ellwangen (Jagst)",07961/84858,false,BW-76557,48.965721,10.134689,Peutinger-Gymnasium,76557,07961/84-850,Gymnasium (G8),Gymnasium,BW
"Berliner Straße 25, 73479 Ellwangen (Jagst)",07961/84826,false,BW-76593,48.968504,10.118373,Hariolf-Gymnasium,76593,07961/84815,Gymnasium (G8),Gymnasium,BW
"Adolf-Vielhauer-Straße 13, 75031 Eppingen",07262/920-201,false,BW-76632,49.131036,8.912228,Hartmanni-Gymnasium Eppingen,76632,07262/920-200,Gymnasium (G8),Gymnasium,BW
"Lohwasen 1, 73728 Esslingen am Neckar",0711/3512-3208,false,BW-76668,48.742762,9.301292,Georgii-Gymnasium,76668,0711/3512-2324,Gymnasium (G8),Gymnasium,BW
"Neckarstraße 38, 73728 Esslingen am Neckar",0711/3512-2756,false,BW-76704,48.736966,9.310579,Märike-Gymnasium,76704,0711/3512-2328,Gymnasium (G8),Gymnasium,BW
"Barbarossastraße 85, 73732 Esslingen am Neckar",0711/3512-3360,false,BW-76740,48.755884,9.305436,Schelztor-Gymnasium Esslingen,76740,0711/3512-3350,Gymnasium (G8),Gymnasium,BW
"Breslauer Straße 19, 73730 Esslingen am Neckar",0711/3512-3222,false,BW-76776,48.731409,9.3415,Theodor-Heuss-Gymnasium,76776,0711/3512-2456,Gymnasium (G8),Gymnasium,BW
"Pestalozzistraße 50, 70736 Fellbach",0711/5851-7575,false,BW-76779,48.817943,9.275419,Friedrich-Schiller-Gymnasium,76779,0711/5851-293,Gymnasium (G8),Gymnasium,BW
"Hofäckerstraße 8, 70736 Fellbach",0711/5404897,false,BW-76815,48.833001,9.269179,Gustav-Stresemann-Gymnasium Schmiden,76815,0711/5851-632,Gymnasium (G8),Gymnasium,BW
"Tübinger Straße 71, 70794 Filderstadt",0711/7086129,false,BW-76866,48.668241,9.211959,Eduard-Spranger-Gymnasium Bernhausen,76866,0711/7086110,Gymnasium (G8),Gymnasium,BW
"Schloßstraße 24, 74405 Gaildorf",07971/253-230,false,BW-76869,49.003193,9.773727,Schenk-von-Limpurg-Gymnasium Gaildorf,76869,07971/253-200,Gymnasium (G8),Gymnasium,BW
"Kaiser-Wilhelm-Straße 3, 73312 Geislingen an der Steige",07331/941608,false,BW-76905,48.620738,9.839852,Helfenstein-Gymnasium,76905,07331/941675,Gymnasium (G9),Gymnasium,BW
"Kaiser-Wilhelm-Straße 3, 73312 Geislingen an der Steige",07331/941608,false,BW-76905,48.620738,9.839852,Helfenstein-Gymnasium,76905,07331/941675,Gymnasium (G8),Gymnasium,BW
"Staubstraße 50, 73312 Geislingen an der Steige",07331/954712,false,BW-76941,48.621174,9.817471,Michelberg-Gymnasium,76941,07331/954711,Gymnasium (G8),Gymnasium,BW
"Jahnstraße 5-7, 74582 Gerabronn",07952/6960-21,false,BW-76977,49.251577,9.927587,Gymnasium Gerabronn,76977,07952/9660-11,Gymnasium (G8),Gymnasium,BW
"Hasenbergstraße 16/2, 70839 Gerlingen",07156/205-398,false,BW-77013,48.797113,9.060836,Robert-Bosch-Gymnasium,77013,07156/205-280,Gymnasium (G8),Gymnasium,BW
"Beethovenstraße 10, 89537 Giengen an der Brenz",07322/963516,false,BW-77052,48.623678,10.240292,Margarete-Steiff-Gymnasium,77052,07322/963512,Gymnasium (G9),Gymnasium,BW
"Beethovenstraße 10, 89537 Giengen an der Brenz",07322/963516,false,BW-77052,48.623678,10.240292,Margarete-Steiff-Gymnasium,77052,07322/963512,Gymnasium (G8),Gymnasium,BW
"Freihofstraße 43, 73033 Gäppingen",07161/650-386,false,BW-77088,48.704671,9.653296,Freihof-Gymnasium,77088,07161/650-397,Gymnasium (G8),Gymnasium,BW
"Hohenstaufenstraße 39, 73033 Gäppingen",07161/96296-27,false,BW-77124,48.704582,9.667929,Hohenstaufen-Gymnasium,77124,07161/962960,Gymnasium (G8),Gymnasium,BW
"Märikestraße 29, 73033 Gäppingen",07161/9629727,false,BW-77142,48.707926,9.655542,Märike-Gymnasium,77142,07161/96297-0,Gymnasium (G8),Gymnasium,BW
"Jahnstraße 4, 73037 Gäppingen",07161/96298-23,false,BW-77178,48.700074,9.647938,Werner-Heisenberg-Gymnasium,77178,07161/96298-0,Gymnasium (G8),Gymnasium,BW
"Bahnhofplatz 8, 89518 Heidenheim an der Brenz",07321/327-5413,false,BW-77214,48.680212,10.155317,Hellenstein-Gymnasium,77214,07321/327-5400,Gymnasium (G8),Gymnasium,BW
"Friedrich-Ebert-Straße 8, 89522 Heidenheim an der Brenz",07321/923017,false,BW-77250,48.675291,10.161355,Schiller-Gymnasium,77250,07321/327-5420,Gymnasium (G8),Gymnasium,BW
"Virchowstraße 30-44, 89518 Heidenheim an der Brenz",07321/3275449,false,BW-77286,48.686866,10.148952,Max-Planck-Gymnasium,77286,07321/327-5440,Gymnasium (G8),Gymnasium,BW
