address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
Weinweg 6 93049 Regensburg,0941 26628,false,BY-684,49.024975,12.075821,"Private Abendrealschule für Berufstätige der Gesellschaft f.Erwachsenenbildung e.V., Regensburg",684,0941 4615354,Abendrealschule,Abend-Realschule,BY
Zellerstr. 8 97276 Margetshöchheim,0931 4679020,false,BY-347,49.826466,9.86632,Privates Abendgymnasium Würzburg Service Center,347,0931 467900,Abendgymnasium,Abend-Gymnasium,BY
Kloster St. Ludwig 97509 Kolitzheim,,false,BY-7277,49.9249776,10.2015497,"Von-Pelkhoven-Schule St.Ludwig, Berufsschule zur sonderpäd.Förd.m.Förderschwerp.soz.u.emot.Entwickl",7277,09385 860,Berufsschule zur sonderpädagogischen Förderung,Berufsschule,BY
Friedenstraße 44 97828 Marktheidenfeld,09391 917429,false,BY-831,49.849073,9.604493,Staatliche Berufsoberschule Marktheidenfeld,831,09391 2257,Berufsoberschule,Berufsoberschule,BY
Wirsingstr. 7 97424 Schweinfurt,,false,BY-1032,50.035559,10.208065,Privates Lyzeum der Republik Griechenland in Schweinfurt,1032,09721 804626,Ausländische Schule,Ausländische Schule,BY
Wörther-Kirch-Str. 10 82380 Peißenberg,08803 4428,false,BY-2269,47.7891,11.06462,Private Montessori-Volksschule Peißenberg,2269,08803 60603,Grund- und Teilhauptschule,Grund- und Teilhauptschule,BY
Bavariastr. 39 63743 Aschaffenburg,06021 970086,false,BY-7506,49.963309,9.152098,Hefner-Alteneck-Volksschule Aschaffenburg,7506,06021 970129,Grund- und Hauptschule,Grund- und Hauptschule,BY
Am Scharfen Eck 3 63864 Glattbach,06021 410931,false,BY-7599,50.006372,9.148472,Volksschule Glattbach,7599,06021 410930,Grund- und Hauptschule,Grund- und Hauptschule,BY
Untere Dorfstr. 14 83101 Rohrdorf,,false,BY-933,47.799421,12.168346,Montessori-Fachoberschule des Montessori-Schule Rosenheim-Rohrdorf Fördervereins e.V. in Rohrdorf,933,,Fachoberschule,Fachoberschule,BY
Kaiser-Ludwig-Platz 3 80336 München,089 54412717,false,BY-177,48.131906,11.556458,Theresien-Gymnasium München,177,089 5441270,Gymnasium,Gymnasium,BY
Sadelerstr. 10 80638 München,089 15912130,false,BY-208,48.165579,11.521164,Nymphenburger Gymnasium München des Schulvereins Ernst Adam e.V.,208,089 159120,Gymnasium,Gymnasium,BY
Karl-Theodor-Str. 9 80803 München,089 38016840,false,BY-176,48.165083,11.584957,Maximiliansgymnasium München,176,089 3801680,Gymnasium,Gymnasium,BY
Ebenböckstr. 1 81241 München,089 89601842,false,BY-193,48.145543,11.464144,Städtisches Elsa-Brändström-Gymnasium München,193,089 8960180,Gymnasium,Gymnasium,BY
Fürstenrieder Str. 159a 81377 München,089 7193472,false,BY-175,48.122118,11.504679,Ludwigsgymnasium München,175,089 7145511,Gymnasium,Gymnasium,BY
Hans-Keis-Straße 61 82049 Pullach,089 749753299,false,BY-261,48.066556,11.525465,Gymnasium Pullach,261,089 7497530,Gymnasium,Gymnasium,BY
Rheinlandstraße 2 82319 Starnberg,08151 913090,false,BY-295,48.003305,11.34451,Gymnasium Starnberg,295,08151 91300,Gymnasium,Gymnasium,BY
Königstr. 25 83022 Rosenheim,08031 362023,false,BY-274,47.852485,12.131213,Finsterwalder-Gymnasium Rosenheim,274,08031 361924-5,Gymnasium,Gymnasium,BY
Adalbert-Stifter-Straße 36 83301 Traunreut,08669 5913,false,BY-305,47.95922,12.595913,Johannes-Heidenhain-Gymnasium Traunreut,305,08669 2405,Gymnasium,Gymnasium,BY
Hindenburgstraße 26 83646 Bad Tölz,08041 8853,false,BY-29,47.764188,11.564792,Gabriel-von-Seidl-Gymnasium Bad Tölz,29,08041 9740,Gymnasium,Gymnasium,BY
Bismarckplatz 14 84034 Landshut,0871 821205,false,BY-148,48.542448,12.148565,Gymnasium der Schulstiftung Seligenthal Landshut,148,0871 821200,Gymnasium,Gymnasium,BY
Kanzelmüllerstraße 90 1/2 84489 Burghausen,08677 9743-10,false,BY-48,48.160566,12.834275,Kurfürst-Maximilian-Gymnasium Burghausen,48,08677 9743-0,Gymnasium,Gymnasium,BY
Kupferstr. 23 85049 Ingolstadt,0841 93870-31,false,BY-126,48.765179,11.421299,Gnadenthal-Gymnasium Ingolstadt der Diözese Eichstätt,126,0841 9387030,Gymnasium,Gymnasium,BY
