address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Blissestr. 22, 10713 Berlin",8974516-9,false,BE-15586,52.484225,13.319487,Peter-A.-Silbermann-Schule,04A06,8974516-0,Abend-Gymnasium,Abend-Gymnasium,BE
"Düsseldorfer Str. 13, 10719 Berlin",8824868,true,BE-15587,52.495923,13.321295,Katholische Schule Sankt Ludwig (Grundschule),04P10,8824867,Grundschule,Grundschule,BE
"Eisenbahnstr. 21, 10997 Berlin",61108919,false,BE-15588,52.504001,13.434499,Michael-Tschechow-Studio Berlin,02E23,61108940,Künstlerische Schule,Künstlerische Schule,BE
"Stresemannstr. 46, 10963 Berlin",67926822,false,BE-15589,52.501577,13.386457,gebaerdenservice.de,02E33,67926821,Sonstige Ergänzungsschule,Sonstige Ergänzungsschule,BE
"Salzbrunner Str. 41, 14193 Berlin",82540-12,false,BE-15590,52.485359,13.293108,Evangelisches Gymnasium zum Grauen Kloster,04P11,82540-11,Gymnasien,Gymnasium,BE
"Potsdamer Str. 7, 14163 Berlin",90299-6151,true,BE-15591,52.50075556,13.36364167,Nord-Grundschule,06G01,90299-5468,Grundschule,Grundschule,BE
"Claszeile 56, 14165 Berlin",8152630,true,BE-15592,52.419237,13.257763,Süd-Grundschule,06G02,84509638,Grundschule,Grundschule,BE
"Molsheimer Str. 7, 14195 Berlin",8329622,false,BE-15593,52.44317,13.275931,Mühlenau-Grundschule,06G06,8325099,Grundschule,Grundschule,BE
"Wilskistr. 78, 14163 Berlin",902996152,true,BE-15594,52.445426,13.246664,Zinnowwald-Grundschule,06G07,902995586,Grundschule,Grundschule,BE
"Dreilindenstr. 65, 14109 Berlin",8039224,true,BE-15595,52.420372,13.185481,Dreilinden-Grundschule,06G09,8038009,Grundschule,Grundschule,BE
"Ludwigsfelder Str. 43-47, 14165 Berlin",8021653,true,BE-15596,52.422495,13.244159,Grundschule am Buschgraben,06G10,8025018,Grundschule,Grundschule,BE
"Strausberger Str. 38, 10243 Berlin",29039449,true,BE-15597,52.521018,13.431507,Kreativitätsschulzentrum Berlin gGmbH,02P12,29035117,Grundschule,Grundschule,BE
"Im Gehege 6, 14195 Berlin",8314055,true,BE-15598,52.459512,13.284446,Gail-S.-Halvorsen-Integrierte Sekundarschule,06K09,84108184,Integrierte Sekundarschule,Integrierte Sekundarschule,BE
"Beuckestr. 27-29, 14163 Berlin",90299-6158,false,BE-15599,52.431648,13.255854,Schadow-Gymnasium,06Y01,90299-5463,Gymnasien,Gymnasium,BE
"Schönower Str. 8, 14165 Berlin",84508468,false,BE-15600,52.428813,13.257188,Droste-Hülshoff-Gymnasium,06Y02,84508466,Gymnasien,Gymnasium,BE
"Königin-Luise-Str. 80-84, 14195 Berlin",8311002,false,BE-15601,52.45775,13.295208,Arndt-Gymnasium Dahlem,06Y03,8315052,Gymnasien,Gymnasium,BE
"Gieselerstr. 4, 10713 Berlin",86499518,true,BE-15602,52.488566,13.318332,Comenius-Schule,04S07,8649950,Übrige Förderschwerpunkte,Übrige Förderschwerpunkte,BE
"Gieselerstr. 4, 10713 Berlin",86499518,true,BE-15603,52.488566,13.318332,Comenius-Schule,04S07,8649950,"Förderschwerp.""Lernen""",FöS Lernen,BE
