address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
Schulstraße 10 16356 Ahrensfelde/OT Blumberg,033394 5799919,false,BB-102350,52.60201,13.618922,Friedrich von Canitz Grundschule Blumberg ,102350,033394 579990,Grundschule,,BB
Weitzgrunder Weg 3 14806 Bad Belzig,033841 34994,false,BB-101321,52.149229,12.587634,Geschwister-Scholl-Grundschule  ,101321,033841 42155,Grundschule,,BB
Ernst-Thälmann-Straße 2 14806 Bad Belzig,033841 34938,false,BB-120224,52.142724,12.587466,Fläming-Gymnasium  ,120224,033841 42474,Gymnasium,,BB
Fischerstraße 16 16278 Angermünde,03331 299785,false,BB-100640,53.01987,14.004073,Puschkinschule  ,100640,03331 32649,Grundschule,,BB
Rudolf-Harbig-Straße 12 16278 Angermünde,03331 32644,false,BB-100638,53.018195,13.984404,Gustav-Bruhn-Grundschule  ,100638,03331 32644,Grundschule,,BB
Heinrichstraße 7 16278 Angermünde,03331 261725,false,BB-120108,53.018433,13.99768,Einstein-Gymnasium  ,120108,03331 26170,Gymnasium,,BB
Puschkinallee 30a 16278 Angermünde,03331 299746,true,BB-110449,53.011386,13.99562,Ehm Welk - Oberschule integrativ-kooperative Ganztagsschule mit Förderklassen ,110449,03331 32504,Oberschule,,BB
Puschkinstraße 6 15838 Am Mellensee/OT Sperenberg,033703 68775,false,BB-100584,52.14102,13.358217,Anne Frank-Grundschule  ,100584,033703 77439,Grundschule,,BB
Hauptstraße 16 15838 Am Mellensee,03377 3300424,false,BB-100560,52.185299,13.414516,Grundschule am Mellensee  ,100560,03377 300697,Grundschule,,BB
Klosterstraße 3 15345 Altlandsberg,033438 67983,false,BB-110620,52.563354,13.726359,Stadtschule Altlandsberg Oberschule mit Grundschulteil ,110620,033438 60222,Oberschule mit Grundschule,,BB
Schulstraße 1 03229 Altdöbern,035434 664231,false,BB-100183,51.650675,14.01935,Lilien-Grundschule Altdöbern  ,100183,035434 346,Grundschule,,BB
Heinrich-Heine-Straße 42 04924 Bad Liebenwerda,035341 493863,false,BB-130280,51.527659,13.400666,Robert-Reiss-Oberschule Schule mit berufsfeldorientiertem Unterricht ,130280,035341 2784,Oberschule,,BB
Riesaer Straße 5-7 04924 Bad Liebenwerda,035341 26754,false,BB-105788,51.508244,13.391744,Grundschulzentrum Robert Reiss Bad Liebenwerda,105788,035341 10032,Grundschule,,BB
Oderberger Chaussee 11 16259 Bad Freienwalde (Oder)/OT Neuenhagen,033369 213,false,BB-100122,52.838829,14.050646,Insel-Grundschule  ,100122,033369 213,Grundschule,,BB
Am Scheunenberg 1 16259 Bad Freienwalde (Oder),03344 332212,false,BB-120030,52.78295,14.040226,"Gymnasium ""Bertolt Brecht"" ",120030,03344 3806,Gymnasium,,BB
Chausseestraße 6 15806 Zossen/OT Wünsdorf,033702 66629,false,BB-130060,52.161312,13.46614,Oberschule Wünsdorf  ,130060,033702 66411,Oberschule,,BB
Freienwalder Straße 1 16269 Wriezen,033456 150915,false,BB-121241,52.721285,14.132941,Evangelisches Johanniter-Gymnasium Wriezen - anerkannte Ersatzschule ,121241,033456 15090,Gymnasium,,BB
Freienwalder Straße 1 16269 Wriezen,033456 150915,false,BB-106744,52.721285,14.132941,Ev. Johanniter - Grundschule Wriezen - genehmigte Ersatzschule - ,106744,033456 15090,Grundschule,,BB
