address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Winterstr. 20, 28215 Bremen",0421/361-8177,true,HB-002,53.090258,8.807364,Schule an der Admiralstraße,002,0421/361-8110,Grundschule,Grundschule,HB
"Alter Postweg 302, 28207 Bremen",0421/361-81258,false,HB-003,53.065585,8.868684,Schule am Alten Postweg,003,0421/361-3376,Grundschule,Grundschule,HB
"Hindenburgstr. 33 A, 28717 Bremen",0421/361-79 587,false,HB-005,53.168787,8.694167,Schule Am Mönchshof,005,0421/361-7165,Grundschule,Grundschule,HB
"An der Gete 103, 28211 Bremen",0421/361-96016,true,HB-006,53.079216,8.851296,Schule An der Gete,006,0421/361-3158,Grundschule,Grundschule,HB
"Alfred-Faust-Str. 34, 28277 Bremen",0421/361-18239,false,HB-007,53.031878,8.824,Schule an der Alfred-Faust-Straße,007,0421/361-3511,Grundschule,Grundschule,HB
"Heisiusstr. 7, 28307 Bremen",0421/4843429,true,HB-008,53.039492,8.918928,Schule Arbergen,008,0421/480548,Grundschule,Grundschule,HB
"Korbhauser Weg 1, 28279 Bremen",0421/361-96001,false,HB-009,53.030326,8.851997,Schule Arsten,009,0421/361-3130,Grundschule,Grundschule,HB
"An der Fuchtelkuhle 15, 28239 Bremen",0421/361-79682,true,HB-010,53.13464,8.729204,Schule Auf den Heuen,010,0421/361-9275,Grundschule,Grundschule,HB
"Andernacher Str. 6, 28325 Bremen",0421/361-59054,true,HB-011,53.068227,8.959222,Schule an der Andernacher Straße,011,0421/361-3364,Grundschule,Grundschule,HB
"Augsburger Str. 175, 28215 Bremen",0421/361-3590,true,HB-012,53.09984,8.805143,Schule an der Augsburger Straße,012,0421/361-8370,Grundschule,Grundschule,HB
"Ritterkamp 10, 28757 Bremen",0421/361-79386,true,HB-013,53.175708,8.62667,Schule Alt-Aumund,013,0421/361-7651,Grundschule,Grundschule,HB
"Tidemanstr. 11, 28759 Bremen",0421/361-79416,false,HB-014,53.165596,8.631885,Schule Am Wasser,014,0421/361-7622,Grundschule,Grundschule,HB
"Baumschulenweg 12, 28213 Bremen",0421/361-89362,true,HB-015,53.093628,8.8463,Schule am Baumschulenweg,015,0421/361-3162,Grundschule,Grundschule,HB
"Parsevalstr. 2, 28309 Bremen",0421/361-16958,true,HB-016,53.067904,8.885231,Schule an der Parsevalstraße,016,0421/361-3048,Grundschule,Grundschule,HB
"Auf dem Flintacker 51, 28755 Bremen",0421/361-79387,true,HB-018,53.188218,8.636711,Schule Borchshöhe,018,0421/361-7383,Grundschule,Grundschule,HB
"Katrepeler Landstr. 1, 28357 Bremen",0421/361-89077,true,HB-019,53.125982,8.906411,Schule Borgfeld,019,0421/361-3086,Grundschule,Grundschule,HB
"Brinkmannstr. 40, 28309 Bremen",0421/361-14087,false,HB-020,53.045257,8.89435,Schule an der Brinkmannstraße,020,0421/361-3091,Grundschule,Grundschule,HB
"Am Weidedamm 20, 28215 Bremen",0421/361-18386,false,HB-021,53.093094,8.817049,Schule Am Weidedamm,021,0421/361-14452,Grundschule,Grundschule,HB
"Contrescarpe 26, 28203 Bremen",0421/361-10131,false,HB-023,53.075326,8.814529,Bürgermeister-Smidt-Schule,023,0421/361-10711,Grundschule,Grundschule,HB
"Buntentorsteinweg 245, 28201 Bremen",0421/361-59267,true,HB-024,53.061088,8.810978,Schule am Buntentorsteinweg,024,0421/361-59531,Grundschule,Grundschule,HB
"Stargarder Str. 11, 28717 Bremen",0421/361-79846,true,HB-025,53.172409,8.709193,Schule Burgdamm,025,0421/361-7131,Grundschule,Grundschule,HB
"Curiestr. 2 A, 28357 Bremen",0421/361-89453,false,HB-028,53.108302,8.895636,Marie-Curie-Schule,028,0421/361-3021,Grundschule,Grundschule,HB
"Carl-Schurz-Str. 25, 28209 Bremen",0421/361-17446,false,HB-029,53.084826,8.840196,Schule an der Carl-Schurz-Straße,029,0421/361-3059,Grundschule,Grundschule,HB
"Düsseldorfer Str. 2 A, 28327 Bremen",0421/361-59490,true,HB-032,53.075203,8.932037,Schule an der Düsseldorfer Straße,032,0421/361-3032,Grundschule,Grundschule,HB
"Fährer Flur 15, 28755 Bremen",0421/361-79388,false,HB-034,53.177978,8.611802,Schule Fährer Flur,034,0421/361-7248,Grundschule,Grundschule,HB
"Ellenerbrokweg 28, 28325 Bremen",0421/361-18189,false,HB-035,53.070437,8.94507,Schule am Ellenerbrokweg,035,0421/361-3190,Grundschule,Grundschule,HB
"Betonstr. 4, 28777 Bremen",0421/361-79826,false,HB-036,53.204547,8.525519,Schule Farge-Rekum,036,0421/361-79141,Grundschule,Grundschule,HB
"Freiligrathstr. 11, 28211 Bremen",0421/496-3269,false,HB-039,53.083607,8.862559,Schule an der Freiligrathstraße,039,0421/361-3269,Grundschule,Grundschule,HB
"Wigmodistr. 37, 28779 Bremen",0421/361-7726,false,HB-040,53.187202,8.574987,Schule an der Wigmodistraße,040,0421/361-7436,Grundschule,Grundschule,HB
"Westerholzstr. 19 A, 28309 Bremen",0421/361-14747,false,HB-043,53.055171,8.887824,Schule an der Glockenstraße,043,0421/361-3290,Grundschule,Grundschule,HB
"Grambker Heerstr. 121, 28719 Bremen",0421/361-79037,true,HB-045,53.150016,8.710816,Schule an der Grambker Heerstraße,045,0421/361-7147,Grundschule,Grundschule,HB
"Brakkämpe 4, 28259 Bremen",0421/361-13286,false,HB-048,53.059602,8.764249,Schule Grolland,048,0421/361-19610,Grundschule,Grundschule,HB
"Am Borgfelder Saatland 1-3, 28357 Bremen",0421/361-82897,true,HB-049,53.12726,8.896003,Schule Am Borgfelder Saatland,049,0421/361-14885,Grundschule,Grundschule,HB
"Bunnsackerweg 4, 28279 Bremen",0421/361-15265,false,HB-050,53.044868,8.861112,Schule am Bunnsackerweg,050,0421/361-3310,Grundschule,Grundschule,HB
"Halmerweg 71, 28237 Bremen",0421/361-16819,false,HB-051,53.122323,8.763879,Schule am Halmerweg,051,0421/361-9174,Grundschule,Grundschule,HB
"Fährer Str. 4, 28755 Bremen",0421/361-79449,false,HB-052,53.185676,8.613005,Schule Hammersbeck,052,0421/361-7245,Grundschule,Grundschule,HB
"Helgenstr. 10-12, 28777 Bremen",0421/361-79090,false,HB-053,53.185953,8.552078,Schule Rönnebeck,053,0421/361-7284,Grundschule,Grundschule,HB
"Horner Heerstr. 17, 28359 Bremen",0421/361-16556,true,HB-060,53.094617,8.870631,Schule an der Horner Heerstraße,060,0421/361-3368,Grundschule,Grundschule,HB
"In der Vahr 75, 28329 Bremen",0421/361-10848,true,HB-062,53.078252,8.877339,Schule In der Vahr,062,0421/361-3343,Grundschule,Grundschule,HB
"Kantstr. 63, 28201 Bremen",0421/361-16961,false,HB-064,53.066289,8.795234,Schule an der Kantstraße,064,0421/361-59541,Grundschule,Grundschule,HB
"Karl-Lerbs-Str. 70 A, 28201 Bremen",0421/361-59571,true,HB-065,53.058418,8.797311,Schule an der Karl-Lerbs-Straße,065,0421/361-59561,Grundschule,Grundschule,HB
"Pastorenweg 91-93, 28237 Bremen",0421/361-17288,true,HB-069,53.110419,8.765801,Schule am Pastorenweg,069,0421/361-9297,Grundschule,Grundschule,HB
"Auf der Hohwisch 61-63, 28207 Bremen",0421/361-16816,false,HB-070,53.066112,8.859884,Kinderschule,070,0421/361-16887,Grundschule,Grundschule,HB
"Kirchhuchtinger Landstr. 28, 28259 Bremen",0421/361-83888,false,HB-071,53.050967,8.740756,Schule Kirchhuchting,071,0421/361-15955,Grundschule,Grundschule,HB
"Lessingstr. 30, 28203 Bremen",0421/361-82899,true,HB-076,53.072885,8.833948,Schule an der Lessingstraße,076,0421/361-3225,Grundschule,Grundschule,HB
"Lüssumer Ring 55, 28777 Bremen",0421/361-79494,true,HB-077,53.198157,8.561188,Tami-Oelfken-Schule,077,0421/361-7755,Grundschule,Grundschule,HB
"Mahndorfer Heerstr. 55, 28307 Bremen",0421/4842161,true,HB-081,53.037499,8.943854,Schule Mahndorf,081,0421/480063,Grundschule,Grundschule,HB
"Melanchthonstr. 150, 28217 Bremen",0421/361-16869,false,HB-082,53.095164,8.789538,Schule an der Melanchthonstraße,082,0421/361-8292,Grundschule,Grundschule,HB
