"name","id","official_id","address","school_type","school_type_entity","fax","state","phone","full_time_school","lon","lat"
"Meisterschule","HE-3100-0","3100","Herbert-von-Meister-Straße 5, 65931 Frankfurt am Main","Grundschule","Grundschule","069/371299","HE","069/37560745",false,8.514288,50.079077
"Meisterschule","HE-3100-1","3100","Herbert-von-Meister-Straße 5, 65931 Frankfurt am Main","Hauptschule","Hauptschule","069/371299","HE","069/37560745",false,8.514288,50.079077
"Minna-Specht-Schule","HE-3101-0","3101","Hans-Pfitzner-Straße 18, 60529 Frankfurt am Main","Grundschule","Grundschule","069/357443","HE","069/359505",false,8.586983,50.085558
"Münzenbergerschule","HE-3102-0","3102","Engelthaler Straße 34, 60435 Frankfurt am Main","Grundschule","Grundschule","069/21238582","HE","069/21238756",false,8.684519,50.150051
"Niddaschule","HE-3103-0","3103","Oeserstraße 2, 65934 Frankfurt am Main","Grundschule","Grundschule","069/21245691","HE","069/21245557",false,8.566469,50.101455
"Pestalozzischule","HE-3104-0","3104","Vatterstraße 1, 60386 Frankfurt am Main","Grundschule","Grundschule","069/21248356","HE","069/21248685",false,8.732773,50.132438
"Riedhofschule","HE-3105-0","3105","Riedhofweg 15-19, 60596 Frankfurt am Main","Grundschule","Grundschule","069/21234393","HE","069/21235264",false,8.674358,50.091957
"Robert-Blum-Schule","HE-3106-0","3106","Gerlachstraße 1, 65929 Frankfurt am Main","Grundschule","Grundschule","069/21245618","HE","069/21245558",false,8.549509,50.107662
"Robert-Schumann-Schule","HE-3107-0","3107","Heddernheimer Kirchstraße 13, 60439 Frankfurt am Main","Grundschule","Grundschule","069/21232099","HE","069/21238734",false,8.645856,50.158473
"Sophienschule","HE-3108-0","3108","Falkstraße 60, 60487 Frankfurt am Main","Hauptschule","Hauptschule","069/21239094","HE","069/21235283",false,8.646267,50.124458
"Walter-Kolb-Schule","HE-3109-0","3109","Sossenheimer Weg 50-54, 65929 Frankfurt am Main","Grundschule","Grundschule","069/21233640","HE","069/21245478",false,8.546961,50.114813
"Walter-Kolb-Schule","HE-3109-1","3109","Sossenheimer Weg 50-54, 65929 Frankfurt am Main","Hauptschule","Hauptschule","069/21233640","HE","069/21245478",false,8.546961,50.114813
"Walter-Kolb-Schule","HE-3109-2","3109","Sossenheimer Weg 50-54, 65929 Frankfurt am Main","Realschule","Realschule","069/21233640","HE","069/21245478",false,8.546961,50.114813
"Gruneliusschule","HE-3111-0","3111","Wiener Straße 13, 60599 Frankfurt am Main","Grundschule","Grundschule","069/651079","HE","069/21235294",false,8.725896,50.097534
"Heinrich-Kromer-Schule","HE-3112-0","3112","Niederurseler Landstr. 58-60, 60439 Frankfurt am Main","Grundschule","Grundschule","069/21232752","HE","069/21234287",false,8.630087,50.164315
"Holzhausenschule","HE-3113-0","3113","Bremer Straße 25, 60323 Frankfurt am Main","Grundschule","Grundschule","069/21233447","HE","069/21235256",false,8.672219,50.128043
"Hostatoschule","HE-3114-0","3114","Hostatostraße 38, 65929 Frankfurt am Main","Grundschule","Grundschule","069/21245791","HE","069/21245553",false,8.541089,50.099855
"Hostatoschule","HE-3114-1","3114","Hostatostraße 38, 65929 Frankfurt am Main","Hauptschule","Hauptschule","069/21245791","HE","069/21245553",false,8.541089,50.099855
"Käthe-Kollwitz-Schule","HE-3115-0","3115","West-Höchster-Straße 103, 65931 Frankfurt am Main","Grundschule","Grundschule","069/361068","HE","069/30066887",false,8.495615,50.093942
"Karl-von-Ibell-Schule","HE-3116-0","3116","Schmalkaldener Straße 8, 65929 Frankfurt am Main","Grundschule","Grundschule","069/30850397","HE","069/306080",false,8.527061,50.109521
"Karmeliterschule","HE-3117-0","3117","Moselstraße 11, 60329 Frankfurt am Main","Grundschule","Grundschule","069/21235215","HE","069/21235338",false,8.667387,50.106321
"Kerschensteinerschule","HE-3118-0","3118","Am Spritzenhaus 2, 60488 Frankfurt am Main","Grundschule","Grundschule","069/747499525","HE","069/74749950",false,8.62237,50.132247
"Ludwig-Richter-Schule","HE-3120-0","3120","Hinter den Ulmen 10, 60433 Frankfurt am Main","Grundschule","Grundschule","069/21232746","HE","069/21233942",false,8.66149,50.153762
"Ludwig-Richter-Schule","HE-3120-1","3120","Hinter den Ulmen 10, 60433 Frankfurt am Main","Hauptschule","Hauptschule","069/21232746","HE","069/21233942",false,8.66149,50.153762
"Günderrode-Schule","HE-3121-0","3121","Hufnagelstraße 25, 60326 Frankfurt am Main","Grundschule","Grundschule","069/21239092","HE","069/21233086",false,8.642655,50.104169
"Goldsteinschule","HE-3122-0","3122","Am Wiesenhof 109, 60529 Frankfurt am Main","Grundschule","Grundschule","069/21232872","HE","069/21232991",false,8.607667,50.080538
"Ackermannschule","HE-3123-0","3123","Ackermannstraße 37, 60326 Frankfurt am Main","Grundschule","Grundschule","069/21242071","HE","069/21235549",false,8.625725,50.099436
"Adolf-Reichwein-Schule","HE-3124-0","3124","Lenzenbergstraße 70, 65931 Frankfurt am Main","Grundschule","Grundschule","069/300387926","HE","069/300387911",false,8.502458,50.101297
"Albert-Schweitzer-Schule","HE-3125-0","3125","Berkersheimer Weg 26, 60433 Frankfurt am Main","Grundschule","Grundschule","069/95425220","HE","069/95425213",false,8.675718,50.167074
"August-Gräser-Schule","HE-3127-0","3127","Gerolsteiner Straße 2, 60529 Frankfurt am Main","Grundschule","Grundschule","069/93540453","HE","069/355544",false,8.577202,50.08799
"August-Jaspert-Schule","HE-3128-0","3128","Harheimer Weg 16, 60437 Frankfurt am Main","Grundschule","Grundschule","069/50930744","HE","069/501594",false,8.667664,50.183096
"Berthold-Otto-Schule","HE-3129-0","3129","Kiefernstraße 18 a, 65933 Frankfurt am Main","Grundschule","Grundschule","069/21242626","HE","069/21233901",false,8.608219,50.097774
"Elsa-Brändström-Schule","HE-3130-0","3130","Lindenstraße 2, 60325 Frankfurt am Main","Grundschule","Grundschule","069/21237772","HE","069/21235266",false,8.660888,50.115025
"Engelbert-Humperdinck-Schule","HE-3131-0","3131","Wolfsgangstraße 106, 60322 Frankfurt am Main","Grundschule","Grundschule","069/21238214","HE","069/21235137",false,8.670601,50.123724
"Franckeschule","HE-3132-0","3132","Falkstraße 71, 60487 Frankfurt am Main","Grundschule","Grundschule","069/21234480","HE","069/21235282",false,8.645295,50.124702
"Friedrich-Fröbel-Schule","HE-3133-0","3133","Else-Alken-Straße 3, 60528 Frankfurt am Main","Grundschule","Grundschule","069/66163140","HE","069/6662736",false,8.642914,50.079082
"Friedrich-List-Schule","HE-3134-0","3134","Heusingerstraße 14, 65934 Frankfurt am Main","Grundschule","Grundschule","069/382075","HE","069/38010022",false,8.580704,50.107823
"Dahlmannschule","HE-3135-0","3135","Luxemburgerallee 24, 60385 Frankfurt am Main","Grundschule","Grundschule","069/21231190","HE","069/21235278",false,8.712655,50.119093
"Diesterwegschule","HE-3136-0","3136","Am Mühlgarten 5-7, 60431 Frankfurt am Main","Grundschule","Grundschule","069/510050","HE","069/524526",false,8.650727,50.146636
"Ebelfeldschule","HE-3137-0","3137","Praunheimer Hohl 4, 60488 Frankfurt am Main","Grundschule","Grundschule","069/21230195","HE","069/21235598",false,8.614087,50.140708
"Eichendorffschule","HE-3138-0","3138","Waldschulstraße 83, 65933 Frankfurt am Main","Grundschule","Grundschule","069/381490","HE","069/394816",false,8.602279,50.103396
