address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Heinrich-Heine-Straße 3, 18119 Rostock",0381/3755641,false,MV-75130301,54.178813,12.083263,"Grundschule ""Heinrich Heine"", Rostock",75130301,0381/52607,Grundschule,Grundschule,MV
"Turkuer Straße 59 a, 18107 Rostock",0381/1284843,false,MV-75130302,54.145159,12.051724,"Grundschule ""Lütt Matten"", Rostock",75130302,0381/713030,Grundschule,Grundschule,MV
"Kopenhagener Straße 3, 18107 Rostock",0381/7787404,false,MV-75130303,54.133566,12.050251,"Grundschule ""Kleine Birke"", Rostock",75130303,0381/711123,Grundschule,Grundschule,MV
"M.-Gorki-Straße 69, 18106 Rostock",0381/1284968,false,MV-75130305,54.128791,12.045536,"Grundschule ""Am Mühlenteich"", Rostock",75130305,0381/7998603,Grundschule,Grundschule,MV
"St.-Jantzen-Ring 5, 18106 Rostock",0381/1217142,false,MV-75130306,54.133017,12.069678,"Grundschule Schmarl, Rostock",75130306,0381/1200917,Grundschule,Grundschule,MV
"Taklerring 44, 18109 Rostock",0381/1215518,false,MV-75130308,54.1509,12.079674,"Grundschule ""Am Taklerring"", Rostock",75130308,0381/1201063,Grundschule,Grundschule,MV
"St.-Georg-Straße 63c, 18055 Rostock",0381/38141263,false,MV-75130311,54.083334,12.128663,"St. Georg-Grundschule, Rostock",75130311,0381/38141260,Grundschule,Grundschule,MV
"Barnstorfer Weg 21a, 18057 Rostock",0381/2032809,false,MV-75130312,54.087608,12.116583,"Grundschule am Margaretenplatz, Rostock",75130312,0381/4923583,Grundschule,Grundschule,MV
"Elisabethstraße 27, 18057 Rostock",0381/38141083,false,MV-75130313,54.090887,12.108601,"""Werner-Lindemann-Grundschule"", Rostock",75130313,0381/38141081,Grundschule,Grundschule,MV
"Joseph-Herzfeld-Straße  19, 18059 Rostock",0381/4010034,false,MV-75130314,54.074436,12.11422,"Grundschule ""Juri-Gagarin"", Rostock",75130314,0381/4010033,Grundschule,Grundschule,MV
"W.-Butzek-Straße 23, 18146 Rostock",0381/6864879,false,MV-75130318,54.08333,12.13333,"Grundschule ""Ostseekinder"", Rostock",75130318,0381/6864982,Grundschule,Grundschule,MV
"P.-Picasso-Straße 44, 18147 Rostock",0381/6668062,false,MV-75130326,54.141544,12.11541,"""Grundschule an den Weiden"",  Rostock-Toitenwinkel",75130326,0381/697093,Grundschule,Grundschule,MV
"Ratzeburger Straße 9, 18109 Rostock",0381/4405810,false,MV-75130327,54.147203,12.059031,"Grundschule ""Rudolf Tarnow"", Rostock",75130327,0381/715101,Grundschule,Grundschule,MV
"V.-Grip-Weg 10a, 18055 Rostock",0381/3643332,false,MV-75130342,54.08333,12.13333,"Grundschule ""John Brinckman"", Rostock",75130342,0381/695425,Grundschule,Grundschule,MV
"Pressentinstraße 82, 18147 Rostock",0381/6664522,false,MV-75130343,54.10671,12.113741,"Gehlsdorfer Grundschule, Rostock",75130343,0381/699276,Grundschule,Grundschule,MV
"J.-Schehr-Straße 10, 18069 Rostock",0381/1288834,false,MV-75130357,54.12529465,12.079351500000001,"""Türmchenschule""  Reutershagen, Grundschule",75130357,0381/82013,Grundschule,Grundschule,MV
"Mathias-Thesen-Straße 17, 18069 Rostock",0381/8087464,false,MV-75130358,54.101534,12.067086,"Grundschule Reutershagen ""Nordwindkinner""",75130358,0381/8087463,Grundschule,Grundschule,MV
"Pablo-Picasso-Straße 45, 18147 Rostock",0381/6664967,false,MV-75230378,54.116157,12.140338,"""Schule am Schäferteich"" - Schule mit dem Förderschwerpunkt Lernen - Regionales Förderzentrum Toitenwinkel",75230378,0381/690283,Förderschule,Förderschule,MV
"Kuphalstraße 78, 18069 Rostock",0381/8087337,false,MV-75230379,54.095658,12.087374,Förderzentrum am Schwanenteich - Schule mit dem Förderschwerpunkt Lernen,75230379,0381/82370,Förderschule,Förderschule,MV
