address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Stolberger Str. 112, 50933",221/37990671,false,NRW-100010,50.94218,6.89702,Aufbaugymnasium Claudia Agrippina Privat schule als priv.Ersatzsch. d. Sek.I u.II im Aufbau d. CAPS Privatschu gGmbH,100010,221/37996433,Gymnasium,Gymnasium,NRW
"Walder Straße 15, 42781",null/null,,NRW-100011,51.193328,7.017396,,100011,null/null,Gesamtschule,Gesamtschule,NRW
"Netzestraße 12, 51371",null/null,,NRW-100012,51.059946,6.953231,,100012,null/null,Grundschule,Grundschule,NRW
"Blumenstraße 54 a, 47057",null/null,,NRW-100013,51.42733,6.780851,,100013,null/null,Berufskolleg,Berufskolleg,NRW
"Jean-Vogel-Straße 36, 44625",null/null,,NRW-100014,51.528316,7.224248,,100014,null/null,Grundschule,Grundschule,NRW
"Schmiedestr. 25, 40227",null/null,,NRW-100015,51.210838,6.805818,,100015,211/8924168,Gymnasium,Gymnasium,NRW
"Breslauer Straße 1, 52222",null/null,,NRW-100016,50.782328,6.22815,,100016,null/null,Gesamtschule,Gesamtschule,NRW
"Bonnstraße 109, 50354",null/null,,NRW-100017,50.880043,6.883199,,100017,null/null,Grundschule,Grundschule,NRW
"Schellstr. 47, 45134",201/4351511,true,NRW-100018,51.414893,7.02931,"Freie Waldorfschule Rudolf Steiner Schu- le u. Parzivalsch. m. Heliandzw.,Förder- schule,Staatl. genehm.priv. Ersatzschule",100018,201/435150,Waldorfschule,Waldorfschule,NRW
"Hoffmannallee 15, 47533",null/null,,NRW-100019,51.781214,6.12952,,100019,2821/9977690,Gesamtschule,Gesamtschule,NRW
"Unterrather Str. 76, 40468",211/4299019,true,NRW-100020,51.275005,6.783121,Städt. Kath. Grundschule Kartause-Hain-Schule - Primarstufe -,100020,211/4791163,Grundschule,Grundschule,NRW
"Corneliussstraße 25, 47918",null/null,,NRW-100021,51.313607,6.458983,,100021,null/null,Gesamtschule,Gesamtschule,NRW
"Schützenstraße 12, 59964",null/null,,NRW-100022,51.194282,8.701033,,100022,null/null,Sekundarschule,Sekundarschule,NRW
"Margarethenstraße 1, 49525",null/null,,NRW-100023,52.186115,7.866771,,100023,null/null,Gesamtschule,Gesamtschule,NRW
"Gildehauser Damm 49, 48599",2565/4019762,,NRW-100024,52.186171,7.040685,,100024,2565/4019761,Gesamtschule,Gesamtschule,NRW
"Niederkasseler Str. 36, 40547",211/9542305,true,NRW-100067,51.237398,6.753865,Städtische Katholische Grundschule Niederkassel - Primarstufe -,100067,211/5585933,Grundschule,Grundschule,NRW
"Paulusplatz 1, 40237",211/6799796,true,NRW-100079,51.235937,6.804461,Paulus Schule Städt. Kath. Grundschule - Primarstufe -,100079,211/667608,Grundschule,Grundschule,NRW
"Rather Kreuzweg 21, 40472",null/null,true,NRW-100092,51.262798,6.808069,Städt. Kath. Grundschule - Primarstufe -,100092,211/8992882,Grundschule,Grundschule,NRW
"Rheindorfer Weg 20, 40591",211/8924362,true,NRW-100109,51.190213,6.814333,Marienschule Städt. Kath. Grundschule - Primarstufe -,100109,211/8924360,Grundschule,Grundschule,NRW
"Schillstr. 7, 40599",211/7487070,true,NRW-100122,51.178291,6.87515,Hermann Gmeiner Schule Städt. Kath. Grundschule - Primarstufe -,100122,211/7489119,Grundschule,Grundschule,NRW
"Josef-Kleesattel-Straße 13, 40595",211/7393601,true,NRW-100158,51.145256,6.888994,Städtische Katholische Grundschule Primarstufe mit Montessorizweig,100158,211/7393600,Grundschule,Grundschule,NRW
"Fliednerstraße 32, 40489",211/4054070,true,NRW-100160,51.302262,6.738154,Grundschule Kaiserswerth Städt. Gem. Grundschule Fliednerstraße mit Montessorizweig  - Primarstufe -,100160,211/9406953,Grundschule,Grundschule,NRW
"Unter den Eichen 26, 40625",211/8929562,true,NRW-100171,51.232705,6.857551,Städt. Kath. Grundschule - Primarstufe -,100171,211/8928291,Grundschule,Grundschule,NRW
"Werstener Friedhofstr. 10, 40591",211/9764241,true,NRW-100183,51.186121,6.827615,Christophorus-Schule Städt. Kath. Grundchule - Primarstufe -,100183,211/9769964,Grundschule,Grundschule,NRW
"Rheindorfer Weg 20, 40591",211/8924352,true,NRW-100213,51.190213,6.814333,Henri-Dunant-Schule Städt. Gem. Grundschule - Primarstufe -,100213,211/8924350,Grundschule,Grundschule,NRW
"Bingener Weg 10, 40229",211/7270245,true,NRW-100225,51.200891,6.819675,Städt. Gem. Grundschule - Primarstufe -,100225,211/992554,Grundschule,Grundschule,NRW
"Gumbertstr. 191, 40229",211/2202122,true,NRW-100237,51.200262,6.844084,Städt. Gem. Grundschule - Primarstufe -,100237,211/9215317,Grundschule,Grundschule,NRW
"Jahnstraße 97, 40215",211/8924746,true,NRW-100250,51.211866,6.780555,St. -Peter-Schule Städt. Kath. Grundschule - Primarstufe -,100250,211/8924741,Grundschule,Grundschule,NRW
"Kempgensweg 65, 40231",211/8929434,true,NRW-100262,51.208137,6.828357,St. Michael Schule Städt. Kath. Grundschule - Primarstufe -,100262,211/89-21726,Grundschule,Grundschule,NRW
"Kamper Weg 291, 40627",211/2700230,true,NRW-100274,51.216383,6.862419,Franz-Boehm-Schule Städtische Katholische Grundschule - Primarstufe -,100274,211/9262055,Grundschule,Grundschule,NRW
"Itterstraße 16, 40589",211/9754000,true,NRW-100286,51.174884,6.830849,St. Apollinaris Schule Städtische Katholische Grundschule - Primarstufe -,100286,211/7591551,Grundschule,Grundschule,NRW
"Im Grund 78, 40474",211/8929433,true,NRW-100298,51.275672,6.737448,Städtische Katholische Grundschule Lohausen - Primarstufe -,100298,211/8992798,Grundschule,Grundschule,NRW
"Hubbelrather Straße 13, 40233",211/8929449,true,NRW-100304,51.223147,6.806687,Städtische Katholische Grundschule Mettmanner Straße - Primarstufe -,100304,211/8997971,Grundschule,Grundschule,NRW
"Höhenstr. 5, 40227",211/8929182,true,NRW-100316,51.216438,6.79964,Städt. Kath. Grundschule - Primarstufe -,100316,211/89-28261,Grundschule,Grundschule,NRW
"Grafenberger Allee 384, 40235",211/6914142,true,NRW-100328,51.240792,6.824407,Gutenberg Schule Städt. Gem. Grundschule,100328,211/9660481,Grundschule,Grundschule,NRW
"Garather Straße 16, 40593",211/9963944,true,NRW-100330,51.146512,6.871716,Städt. Gem. Grundschule Urdenbach,100330,211/9963943,Grundschule,Grundschule,NRW
"Arnstadter Weg 6-16, 40627",211/9269149,true,NRW-100365,51.216896,6.852598,Volker-Rosin-Schule Städt. Gemeinschaftsg. Arnstadter Weg - Primarstufe -,100365,211/9262063,Grundschule,Grundschule,NRW
"Deutzer Str. 102, 40229",211/2201717,true,NRW-100389,51.191358,6.859156,Städt. Gem. Grundschule - Primarstufe -,100389,211/213741,Grundschule,Grundschule,NRW
"Am Köhnen 73, 40599",211/7494623,true,NRW-100390,51.179758,6.866479,Städt. Gem. Grundschule,100390,211/741525,Grundschule,Grundschule,NRW
"Graf-Recke-Str. 153, 40237",211/6790791,true,NRW-100420,51.243741,6.817333,Carl Sonnenschein Schule Städt. Kath. Grundschule - Primarstufe -,100420,211/8928340,Grundschule,Grundschule,NRW
"An der Golzheimer Heide 120, 40468",211/4201616,true,NRW-100432,51.267903,6.769171,St.Bruno-Schule Städt. Kath. Grundschule - Primarstufe -,100432,211/4719930,Grundschule,Grundschule,NRW
"Gerresheimer Str. 34-36, 40211",211/1711250,true,NRW-100444,51.225783,6.804394,Paul-Klee-Schule Städt. Kath. Grundschule - Primarstufe -,100444,211/356609,Grundschule,Grundschule,NRW
"Fuldaer Str. 33, 40229",211/2612412,true,NRW-100468,51.192038,6.837737,Städt. Kath. Grundschule - Primarstufe -,100468,211/9215314,Grundschule,Grundschule,NRW
"Flurstr. 59, 40235",211/8924561,true,NRW-100470,51.228587,6.816463,Städt. Gem. Grundschule - Primarstufe -,100470,211/8924557,Grundschule,Grundschule,NRW
"Heinsenstraße 21, 40221",null/null,true,NRW-100481,51.205926,6.741408,Städt. Katholische Grundschule Florensstraße - Primarstufe -,100481,211/304914,Grundschule,Grundschule,NRW
"Fleher Str. 213, 40223",211/1596471,true,NRW-100493,51.193745,6.769445,Städt. Kath. Grundschule - Primarstufe -,100493,211/153916,Grundschule,Grundschule,NRW
"Fleher Str. 70, 40223",211/8929638,true,NRW-100500,51.202571,6.766353,Bonifatius-Schule Städt. Kath. Grundschule Im Dahlacker - Primarstufe -,100500,211/8922110,Grundschule,Grundschule,NRW
"Herchenbachstr. 2, 40470",211/6416682,true,NRW-100523,51.249988,6.80909,St. Franziskus Schule Städt. Kath. Grundschule - Primarstufe -,100523,211/9083464,Grundschule,Grundschule,NRW
"Essener Str. 1, 40476",211/4846906,true,NRW-100535,51.244056,6.784501,Städt. Kath. Grundschule - Primarstufe -,100535,211/4699750,Grundschule,Grundschule,NRW
"Erich-Müller-Str. 31, 40597",211/8929672,true,NRW-100547,51.167156,6.869066,St. Cäcilia Schule Städt. Kath. Grundschule,100547,211/8928380,Grundschule,Grundschule,NRW
"Einsiedelstr. 25, 40597",211/7100906,true,NRW-100560,51.163141,6.88541,Städt. Kath. Grundschule - Primarstufe -,100560,211/9963934,Grundschule,Grundschule,NRW
"Citadellstr. 2 B, 40213",211/8929453,true,NRW-100572,51.223559,6.770976,Max-Schule Städt. Kath. Grundschule - Primarstufe -,100572,211/8992493,Grundschule,Grundschule,NRW
"Buchenstr. 16, 40599",211/7487190,true,NRW-100584,51.178751,6.860843,St. Elisabeth Schule Städt. Kath. Grundschule,100584,211/744319,Grundschule,Grundschule,NRW
"Gneisenaustr. 60, 40477",211/8929622,true,NRW-100596,51.239531,6.784503,St. Rochus-Schule Städt. Katholische Grundschule - Primarstufe -,100596,211/8928300,Grundschule,Grundschule,NRW
"Blumenthalstr. 11, 40476",211/8924689,true,NRW-100602,51.248793,6.780582,Thomas-Schule Städt. Kath. Grundschule,100602,211/8924682,Grundschule,Grundschule,NRW
"Farnweg 10, 40468",211/5162330,true,NRW-100638,51.266275,6.755798,Montessori-Grundschule Städt. Gem. Grundschule Freiligrathplatz,100638,211/4350990,Grundschule,Grundschule,NRW
"Walther-Rathenau-Straße 15, 40589",211/9897971,true,NRW-100651,51.17059,6.836148,Adolf-Klarenbach-Schule Städt. Gem. Grundschule - Primarstufe -,100651,211/9897970,Grundschule,Grundschule,NRW
"Beedstr. 31, 40468",211/4791144,true,NRW-100663,51.275721,6.78328,Städt. Gem. Grundschule Unterrath - Primarstufe -,100663,211/4791162,Grundschule,Grundschule,NRW
"Schillstr. 7, 40599",211/7480268,true,NRW-100675,51.178291,6.87515,Selma-Lagerlöf-Schule Städt. Gem. Grundschule - Primarstufe -,100675,211/7494629,Grundschule,Grundschule,NRW
"Cimbernstr. 24, 40545",null/null,true,NRW-100687,51.229018,6.757406,Friedrich-von-Bodelschwingh Schule Städt. Evangelische Grundschule - Primarstufe -,100687,211/5585930,Grundschule,Grundschule,NRW
"Rather Markt 2, 40472",211/6509866,true,NRW-100699,51.267795,6.825809,Joachim Neander Schule Städt. Gem. Grundschule - Primarstufe -,100699,211/9653337,Grundschule,Grundschule,NRW
"Karl-Müller-Str. 25, 40237",211/6989029,true,NRW-100705,51.234425,6.814044,Brehm Schule Städt. Ev. Grundschule,100705,211/6989045,Grundschule,Grundschule,NRW
"An der Golzheimer Heide 120, 40468",null/null,true,NRW-100717,51.267903,6.769171,Elsa-Brandström-Schule Städtische Evangelische Montessori- Grundschule  - Primarstufe -,100717,211/4719933,Grundschule,Grundschule,NRW
"Gotenstr. 20, 40225",211/8929461,true,NRW-100730,51.196057,6.779474,Martin-Luther-Schule Städt. Ev. Grundschule - Primarstufe -,100730,211/8921729,Grundschule,Grundschule,NRW
"Bongardstr. 9, 40479",211/8929623,true,NRW-100742,51.234722,6.786475,Matthias-Claudius-Schule Städt. Gemeinschaftsgrundschule - Primarstufe -,100742,211/8928310,Grundschule,Grundschule,NRW
"Benderstr. 78, 40625",211/8929625,true,NRW-100754,51.237715,6.852097,Hanna-Zürndorfer-Schule Städtische Evangelische Grundschule - Primarstufe -,100754,211/8928320,Grundschule,Grundschule,NRW
