address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"St. Piusstr. 23, 53474 Bad Neuenahr-Ahrweiler  Stadt",(02641)359492,true,RP-31327,50.542244,7.117009,Don-Bosco-Schule,31327,(02641)34778,Förderschule,Förderschule,RP
"St. Pius-Str. 25, 53474 Bad Neuenahr-Ahrweiler  Stadt",(02641)900899,true,RP-31687,50.542287,7.117605,Levana-Schule,31687,(02641)36611,Förderschule,Förderschule,RP
"Burgweg 6, 56659 Burgbrohl",(02636)929592,true,RP-30622,50.456382,7.273487,Burgweg-Schule,30622,(02636)929590,Förderschule,Förderschule,RP
"Beethovenstr. 3, 53489 Sinzig",(02642)9790-22,true,RP-30605,50.54674,7.254255,Janusz-Korczak-Schule,30605,(02642)9790-0,Förderschule,Förderschule,RP
"Maximilian-Kolbe-Str. 1, 57584 Scheuerfeld",(02741)971892,true,RP-31344,50.786605,7.84653,Maximilian-Kolbe-Schule,31344,(02741)22391,Förderschule,Förderschule,RP
"Holschbacher Str. 87, 57537 Wissen",(02742) 911245,true,RP-31224,50.788676,7.720588,Förderschule am Alserberg,31224,(02742)3642,Förderschule,Förderschule,RP
"Böhmer-Str. 14, 57537 Wissen",(02742)910704,true,RP-31357,50.778096,7.734543,Wilhelm-Busch-Schule,31357,(02742)910703,Förderschule,Förderschule,RP
"Kirchenplatz 6a, 55232 Alzey",(06731) 9909519,true,RP-31270,49.743913,8.113122,Löwenschule Alzey,31270,(06731)990950,Förderschule,Förderschule,RP
"Dr.-Georg-Durst-Str. 30, 55232 Alzey",06731/943341,true,RP-31447,49.740377,8.120824,Volkerschule,31447,(06731)7168,Förderschule,Förderschule,RP
"Heinrich-Heine-Str. 13, 67574 Osthofen",(06242)990910,true,RP-31673,49.700112,8.321824,Wonnegauschule,31673,(06242)7997,Förderschule,Förderschule,RP
"Schloßmühle, 67317 Altleiningen",(06356)963625,true,RP-30289,49.511269,8.084908,Heimschule St. Rafael,30289,(06356)963670,Förderschule,Förderschule,RP
"Sägmühle 4, 67098 Bad Dürkheim",(06322)938292,true,RP-30335,49.468377,8.178914,Siegmund-Crämer-Schule,30335,(06322)938290,Förderschule,Förderschule,RP
"Friedelsheimerstr. 18, 67098 Bad Dürkheim",(06322)947299,true,RP-31014,49.456025,8.175489,Limburgschule,31014,(06322)947272,Förderschule,Förderschule,RP
"Westring 62, 67269 Grünstadt",(06359)92217,true,RP-30515,49.566171,8.158989,Hans-Zulliger-Schule,30515,(06359)2777,Förderschule,Förderschule,RP
"Jahnstr. 2, 67269 Grünstadt",(06359)968415,true,RP-31464,49.572089,8.163568,Käthe-Kollwitz-Schule,31464,(06359)96840,Förderschule,Förderschule,RP
"Meckenheimer Str. 10, 67454 Haßloch",(06324)82336,true,RP-31027,49.37298,8.253695,Gottlieb-Wenz-Schule,31027,(06324)2121,Förderschule,Förderschule,RP
"Waldemarstr. 26, 55543 Bad Kreuznach",(0671)6053552,true,RP-30109,49.836574,7.866296,Bethesda Schule,30109,(0671)6053352,Förderschule,Förderschule,RP
"Ellerbachstr. 17, 55545 Bad Kreuznach",(0671)29844528,true,RP-30649,49.846238,7.842974,Schule am Ellerbach,30649,(0671)2984450,Förderschule,Förderschule,RP
"Ellerbachstr., 55545 Bad Kreuznach",(0671)4832266,true,RP-31690,49.8467122,7.844548,Don-Bosco-Schule,31690,(0671)32211,Förderschule,Förderschule,RP
"Berliner Platz 1, 55606 Kirn",(06752)963228,true,RP-30652,49.784875,7.476871,Wilhelm-Dröscher-Schule,30652,(06752)2046,Förderschule,Förderschule,RP
"Talweg 16, 55590 Meisenheim",(06753)10299,true,RP-30082,49.697204,7.665068,Bodelschwingh Schule,30082,(06753)10298,Förderschule,Förderschule,RP
"Schulstr. 2, 55596 Schloßböckelheim",(06758)804350,true,RP-30665,49.815093,7.719029,Burgschule,30665,(06758)1345,Förderschule,Förderschule,RP
"In der Bornwiese, 54470 Bernkastel-Kues",(06531)94720,true,RP-30889,49.91611,7.06944,Burg-Landshut-Schule,30889,(06531)3939,Förderschule,Förderschule,RP
"Am Rosenberg 32, 54470 Bernkastel-Kues",(06531)9719219,true,RP-31627,49.919732,7.05819,Rosenberg-Schule,31627,(06531)9719210,Förderschule,Förderschule,RP
"Maiweg 140, 56841 Traben-Trarbach",(06541)816731,true,RP-31210,49.971313,7.101418,Martin-Luther-King-Schule,31210,(06541)816730,Förderschule,Förderschule,RP
"Franziskusstr., 54516 Wittlich",(06571)695300,true,RP-30305,49.98694,6.88972,Maria-Grünewald-Schule,30305,(06571)695302,Förderschule,Förderschule,RP
"Petrusstr. 28, 54516 Wittlich",(06571)915720,true,RP-30893,49.975154,6.932112,Liesertal-Schule,30893,(06571)91570,Förderschule,Förderschule,RP
"Brechkaul, 55765 Birkenfeld",(06782)988221,true,RP-30683,49.646273,7.173579,Förderschule,30683,(06782)2188,Förderschule,Förderschule,RP
"Auf Weißborr 15, 55743 Idar-Oberstein",(06781)450362,true,RP-30395,49.720512,7.320909,Peter-Caesar-Schule,30395,(06781)27842,Förderschule,Förderschule,RP
"Auf der Bein 7, 55743 Idar-Oberstein",(06784)981289,true,RP-31360,49.718755,7.389442,Förderschule,31360,(06784)8915,Förderschule,Förderschule,RP
"Auf der Bein 7, 55743 Idar-Oberstein",(06784)981289,true,RP-31870,49.718755,7.389442,Förderschule,31870,(06784)2372,Förderschule,Förderschule,RP
"Hauptstr., 56812 Dohr",(02671)987150,true,RP-30382,50.1307399,7.1225976,Astrid-Lindgren-Schule,30382,02671/987110,Förderschule,Förderschule,RP
"St. Martin-Str. 33, 56761 Düngenheim",(02653)598281,true,RP-31704,50.265403,7.153014,St. Martin-Heimschule,31704,(02653)598190,Förderschule,Förderschule,RP
"Im Haag, 56759 Kaisersesch",(02653)7682,false,RP-30709,50.2328441,7.1398609,Pommerbachschule,30709,(02653)6631,Förderschule,Förderschule,RP
"Dannenfelser Str. 29, 67292 Kirchheimbolanden",(06352)740235,true,RP-31030,49.65991,8.011729,Mathilde-Hitzfeld-Schule,31030,(06352)1262,Förderschule,Förderschule,RP
"Schillerhain, 67292 Kirchheimbolanden",(06352)408114,true,RP-31747,49.661027,8.004284,Herman-Nohl-Schule,31747,(06352)408112,Förderschule,Förderschule,RP
"Mühlackerweg 25a, 67806 Rockenhausen",(06361)994870,true,RP-31057,49.624818,7.822076,Förderschule,31057,(06361)5562,Förderschule,Förderschule,RP
"Kölner Str. 14, 54634 Bitburg",(06561)961420,true,RP-30469,49.978015,6.525014,St. Martin-Schule,30469,(06561)96140,Förderschule,Förderschule,RP
"Nansenstr. 25, 54634 Bitburg",(06561)94478-18,true,RP-31390,49.976171,6.539476,Maximin-Schule,31390,(06561)94478-0,Förderschule,Förderschule,RP
"Kolpingstr. 30, 54595 Prüm",(06551)9516-40,true,RP-31927,50.20517,6.412804,Astrid-Lindgren-Schule,31927,(06551)9516-0,Förderschule,Förderschule,RP
"Holzhofstr. 21, 67227 Frankenthal (Pfalz)",(06233)4909200,true,RP-30019,49.53156,8.35673,Augustin-Violet-Schule,30019,(06233)49090,Förderschule,Förderschule,RP
