address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Rostocker Straße 97, 66121 Saarbrücken",0681-812501,false,SL-1100-101031,49.236615,7.042201,Grundschule Eschberg,101031,0681-812121,Grundschule,Grundschule,SL
"Schumannstraße 42, 66111 Saarbrücken",0681-36628,true,SL-1100-101051,49.237816,7.002197,Max-Ophüls-Grundschule Saarbrücken,101051,0681-36684,Grundschule,Grundschule,SL
"St. Josef-Straße 11, 66115 Saarbrücken",0681-4171585,true,SL-1100-101071,49.240982,6.973557,Ganztagsgrundschule Saarbrücken-Kirchberg,101071,0681-42090,Grundschule,Grundschule,SL
"Am Geisenberg 41, 66125 Saarbrücken",06897-972382,true,SL-1100-101081,49.268632,7.047704,Grundschule Dudweiler,101081,06897-972380,Grundschule,Grundschule,SL
"Im Knappenroth 2, 66113 Saarbrücken",0681-7300540,true,SL-1100-101111,49.250831,6.964733,Grundschule Rastpfuhl,101111,0681 - 71704,Grundschule,Grundschule,SL
"Am Hof 28, 66113 Saarbrücken",0681-41620021,true,SL-1100-101131,49.25813,6.974559,Grundschule Russhütte,101131,0681-41166,Grundschule,Grundschule,SL
"Kirchberg 3, 66115 Saarbrücken",0681-4170211,true,SL-1100-101151,49.24133,6.975818,Grundschule Saarbrücken- Wallenbaum,101151,0681-42001,Grundschule,Grundschule,SL
"Saarbrücker Straße 289, 66125 Saarbrücken",0681-905-2367,true,SL-1100-101211,49.278832,7.03692,Grundschule Turmschule Dudweiler,101211,0681-905-8960,Grundschule,Grundschule,SL
"Marktstraße 43, 66125 Saarbrücken",06897/972961,true,SL-1100-101221,49.274718,7.010377,Grundschule Herrensohr,101221,06897-762486,Grundschule,Grundschule,SL
"Schulstraße 10, 66133 Saarbrücken-Scheidt",0681-814674,true,SL-1100-101261,49.204218,7.109199,Freiwillige Ganztagsgrundschule Plus Sbr.-Scheidt,101261,0681-814652,Grundschule,Grundschule,SL
"Im Knappenroth, 66113 Saarbrücken",0681-74339,true,SL-1100-101301,49.251556,6.968102,Ganztagsgrundschule Rastpfuhl,101301,0681-74325,Grundschule,Grundschule,SL
"Ziegelstrasse 35, 66113 Saarbrücken",0681-498776,false,SL-1100-101311,49.24674,6.986287,Grundschule Rodenhof,101311,0681-42394,Grundschule,Grundschule,SL
"Hellwigstraße 20, 66121 Saarbrücken",0681-66497,true,SL-1100-101331,49.232564,7.01399,Grundschule Saarbrücken-Ost,101331,0681-66497,Grundschule,Grundschule,SL
"Dellengartenstraße 2, 66117 Saarbrücken",0681-5849460,false,SL-1100-201021,49.230821,6.98069,Grundschule Dellengarten,201021,0681-5849462,Grundschule,Grundschule,SL
"Im Füllengarten 89, 66115 Saarbrücken",0681-9767125,true,SL-1100-201041,49.24617,6.928738,Grundschule Füllengarten,201041,0681-9767124,Grundschule,Grundschule,SL
"Am Heidenhübel 1, 66117 Saarbrücken",0681-5849412,true,SL-1100-201081,49.216017,6.962295,Grundschule Folsterhöhe,201081,0681-57870,Grundschule,Grundschule,SL
"Moltkestraße 31, 66117 Saarbrücken",0681-581877,true,SL-1100-201091,49.23093,6.970312,Grundschule Am Ordensgut,201091,0681-581882,Grundschule,Grundschule,SL
"Arnulfstraße 15, 66119 Saarbrücken",0681-9850189,true,SL-1100-201141,49.218774,7.016507,Grundschule St. Arnual,201141,0681-9850184,Grundschule,Grundschule,SL
"Große Weyersbergstraße 7, 66115 Saarbrücken",0681-76542,false,SL-1100-201161,49.242783,6.948208,Offene Ganztagsgrundschule Weyersberg,201161,0681-79939,Grundschule,Grundschule,SL
