address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
Gutshof 4 06774 Muldestausee OT Rösa,034208/780012,false,ST-0,51.614023,12.488334,"""Grundschule am Schlosspark"" Rösa",,034208/72142,,,ST
Feldstraße 79 38855 Wernigerode,03943/545713,false,ST-1,51.845259,10.796153,Berufsbildende Schulen des Landkreises Harz,,03943/54570,,,ST
Käthe-Kollwitz-Straße 1 29410 Hansestadt Salzwedel,03901/858033,false,ST-2,52.832368,11.18639,Berufsbildende Schulen des Altmarkkreises Salzwedel,,03901/85800,,,ST
Tagewerbener Straße 75 06667 Weißenfels,03443/283112,false,ST-3,51.217315,11.963513,Berufsbildende Schulen Burgenlandkreis,,03443/283171,,,ST
Parsevalstraße 2 06749 Bitterfeld-Wolfen OT Bitterfeld,03493/305919,false,ST-4,51.627024,12.30166,Berufsbildende Schulen Anhalt-Bitterfeld,,03493/305910,,,ST
Am Krökentor 1 b - 3 39104 Magdeburg,0391/5321550,false,ST-5,52.138141,11.636805,"Berufsbildende Schulen ""Otto von Guericke""",,0391/532150,,,ST
Salzmannstraße 9 - 15 39112 Magdeburg,0391/5412000,false,ST-6,52.108682,11.604539,"Berufsbildende Schulen ""Hermann Beims""",,0391/5414666,,,ST
An der Schwimmhalle 3 06122 Halle (Saale),0345/6830411,false,ST-7,51.48065,11.914071,"Berufsbildende Schulen ""Gutjahr"" Halle (Saale)",,0345/683040,,,ST
Böhnshauser Straße 4 38895 Halberstadt OT Langenstein,03941/5732922,false,ST-8,51.89583,11.04667,"Berufsbildende Schulen ""Geschwister Scholl""",,03941/5732916,,,ST
Albert-Vater-Straße 90 39108 Magdeburg,0391/50692281,false,ST-9,52.13977,11.611883,"Berufsbildende Schulen ""Eike von Repgow""",,0391/5069220,,,ST
Alt Westerhüsen 51/52 39122 Magdeburg,0391/4069657,false,ST-10,52.060399,11.678537,"Berufsbildende Schulen ""Dr. Otto Schlein""",,0391/406960,,,ST
Magdeburger Chaussee 1 39288 Burg,03921/976613,false,ST-11,52.268158,11.848704,"Berufsbildende Schulen ""Conrad Tack""",,03921/97660,,,ST
Kirchplatz 2 06774 Muldestausee OT Friedersdorf,03493/55494,false,ST-12,51.646708,12.367157,Bernsteinschule Friedersdorf,,03493/55494,,,ST
Karl-Liebknecht-Str. 6 06667 Weißenfels,03443/305184,false,ST-13,51.202284,11.978639,Bergschule Weißenfels,,03443/305184,,,ST
Hillerstraße 8 06188 Landsberg,034602/400760,false,ST-14,51.526264,12.161903,Bergschule Landsberg,,034602/20382,,,ST
Kirchplatz 2 06628 Naumburg (Saale) OT Bad Kösen,034463/60427,false,ST-15,51.131771,11.721042,Bergschule Bad Kösen,,034463/27293,,,ST
Rigaer Straße 1a 06128 Halle (Saale),0345/12269037,false,ST-16,51.451564,11.953198,Zweite Integrierte Gesamtschule Halle,,0345/12269036,,,ST
Mühlenweg 2 39249 Barby OT Gnadau,03928/4698899,false,ST-17,51.975753,11.779915,Zinzendorfschule Gnadau,,03928/4698888,,,ST
Wolterstorffstraße 20 06493 Ballenstedt,039483/979444,false,ST-18,51.717876,11.224899,Wolterstorff-Gymnasium,,039483/280,,,ST
Friedenstraße 37 06114 Halle (Saale),0345/5238706,false,ST-19,51.500371,11.958274,Wittekind-Grundschule,,0345/5229140,,,ST
Westwall 26 39576 Hansestadt Stendal,03931/4182171,false,ST-20,52.60315,11.854135,Winckelmann-Gymnasium,,03931/41820,,,ST
Rathausstraße 2 06333 Hettstedt,03476/812472,false,ST-21,51.646408,11.511651,Wilhelm und Alexander von Humboldt Gymnasium,,03476/812152,,,ST
Hauptstraße 12 a 06198 Salzatal OT Höhnstedt,034601/39421,false,ST-22,51.503144,11.737466,Weinberggrundschule,,034601/31778,,,ST
Goethestraße 15 39167 Hohe Börde OT Niederndodeleben,039204/76920,false,ST-23,52.13642,11.497779,Wartbergschule,,039204/7690,,,ST
Arnstedter Weg 11 06333 Hettstedt,03476/936085,false,ST-24,51.656779,11.513022,WALDSCHULE - Förderschule (GB) Hettstedt,,03476/851088,,,ST
Schönburger Straße 20 06618 Naumburg (Saale),03445/6990458,false,ST-25,51.151808,11.819548,Uta-Schule,,03445/703360,,,ST
Sieglitz 63 06618 Molauer Land OT Sieglitz,036421/22678,false,ST-26,51.06386,11.759101,Thomas-Müntzer-Grundschule Sieglitz,,036421/22678,,,ST
Raismeser Straße 9 06295 Lutherstadt Eisleben,03475/725871,false,ST-27,51.511606,11.566228,Thomas-Müntzer-Grundschule,,03475/717710,,,ST
Schulweg 2 38871 Ilsenburg (Harz) OT Darlingerode,03943/605998,false,ST-28,51.858555,10.715806,Thomas-Mann-Grundschule,,03943/633540,,,ST
Agnesdorfer Straße 30/31 06536 Südharz OT Roßla,034651/90963,false,ST-29,51.46404,11.077033,Südharz-Grundschule Roßla,,034651/90962,,,ST
Dr.-John-Rittmeister-Straße 6 06406 Bernburg (Saale),nicht angegeben,false,ST-30,51.789657,11.729733,Staatlich anerkannte Ersatzschule mit Ausgleichsklassen,,03471/374032,,,ST
Nachtweide 76 39124 Magdeburg,0391/25443832,false,ST-31,52.159008,11.644419,St. Mechthild-Grundschule,,0391/2448850,,,ST
Ingolstädter Straße 33 06128 Halle (Saale),0345/1316451,false,ST-32,51.45162,11.950519,Sprachheilschule Halle,,0345/4721133,,,ST
Amselweg 49 06110 Halle (Saale),0345/1319820,false,ST-33,51.461713,11.968366,Sportschulen Halle,,0345/131980,,,ST
Friedrich-Ebert-Straße 16 39114 Magdeburg,0391/8182855,false,ST-34,52.123156,11.664787,Sportgymnasium,,0391/8182811,,,ST
Bahnhofstraße 12 06766 Bitterfeld-Wolfen OT Wolfen,03494/36878799,false,ST-35,51.61989,12.317934,Sonnenlandschule - Förderschule (GB),,03494/3687870,,,ST
Lindenstraße 21 a 06502 Thale OT Neinstedt,nicht angegeben,false,ST-36,51.751758,11.090122,Sonderschule Neinstedt,,03947/99670,,,ST
Lindenstraße 06526 Sangerhausen,03464/5698920,false,ST-37,51.457935,11.295568,Sonderschule für Geistigbehinderte Jugenddorf Sangerhausen,,03464/569890,,,ST
Starenweg 19 06485 Quedlinburg OT Gernrode,039485/610090,false,ST-38,51.729464,11.129845,SINE-CURA-Schule - Förderschule (GB),,039485/610012,,,ST
