address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Wulf-Isebrand-Straße 2, 25767 Albersdorf",04835 - 977322,true,SH-0702160,54.14371,9.287706,Wulf-Isebrand-Schule,0702160,04835 - 97760,Grundschule,Grundschule,SH
"Gartenweg 8 a, 23623 Ahrensbök",04525 - 8978,true,SH-0707353,54.010431,10.568093,Arnesboken-Schule,0707353,04525 - 492430,Gemeinschaftsschule ohne Oberstufe,Gemeinschaftsschule,SH
"Schulstraße 13, 22926 Ahrensburg",04102 - 44760,true,SH-0703757,53.677588,10.237123,Woldenhorn-Schule,0703757,04102 - 42422,FöZ mit dem SP geistige Entwicklung,FöZ mit dem SP geistige Entwicklung,SH
"Fritz-Reuter-Straße 51 - 53, 22926 Ahrensburg",04102 - 517020,false,SH-0703750,53.674045,10.228491,Fritz-Reuter-Schule,0703750,04102 - 51700,FöZ mit dem SP Lernen,FöZ mit dem SP Lernen,SH
"Wulfsdorfer Weg 71, 22926 Ahrensburg",04102 - 880519,true,SH-0707714,53.672938,10.223279,Selma-Lagerlöf-Gemeinschaftsschule Ahrensburg mit Oberstufe,0707714,04102 - 51700,Gemeinschaftsschule mit Oberstufe,Gemeinschaftsschule,SH
"Reesenbüttler Redder 4 - 10, 22926 Ahrensburg",04102 - 478417,false,SH-0705755,53.679326,10.218165,Eric-Kandel-Gymnasium Ahrensburg,0705755,04102 - 478430,Gymnasium,Gymnasium,SH
"Schimmelmannstraße 46, 22926 Ahrensburg",04102 - 887676,false,SH-0702941,53.675102,10.216247,Grundschule Am Reesenbüttel,0702941,04102 - 88760,Grundschule,Grundschule,SH
"Dänenweg 13, 22926 Ahrensburg",04102 - 57677,false,SH-0702940,53.642288,10.21701,Grundschule Am Hagen,0702940,04102 - 57666,Grundschule,Grundschule,SH
"Waldstraße 14, 22926 Ahrensburg",04102 - 880330,false,SH-0705750,53.669384,10.240593,Stormarnschule,0705750,04102 - 88030,Gymnasium,Gymnasium,SH
"Schulstraße 4, 22926 Ahrensburg",04102 - 471418,false,SH-0702942,53.678442,10.238391,Grundschule Am Schloß,0702942,04102 - 471417,Grundschule,Grundschule,SH
