address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Barfüßerstraße 21, 99084 Erfurt",,false,TH-18606,50.976104,11.03068,"""Barfüßerschule"" Erfurt Staatliche Grundschule",18606,0361/5624166,Grundschule,Grundschule,TH
"Gartenstraße 11a, 99869 Emleben",,true,TH-76015,50.89253,10.700843,Aktiv-Schule (Freie Grundschule Emleben),76015,03621/423181,Grundschule in freier Trägerschaft,Grundschule,TH
"Schießhausweg 2, 07907 Schleiz",,false,TH-76328,50.578256,11.820543,ABC - Freie Integrative Grundschule,76328,03663-422424,Grundschule in freier Trägerschaft,Grundschule,TH
"Gräfenbrücker Straße 6a, 07570 Weida",,false,TH-70261,50.769769,12.060126,"""Schule an der Weida"", Förderschule zur individuellen Lebensbewältigung der Lebenshilfe Greiz/Zeulenroda gGmbH",70261,036603/44082,Förderschule in freier Trägerschaft,Förderschule,TH
"Bufleber Straße 13, 99867 Gotha",,false,TH-22166,50.961044,10.710525,"""Oststadt-Gotha"" Staatliche Regelschule",22166,03621/219111,Regelschule,Regelschule,TH
"Hauptstraße 30, 99439 Berlstedt",,false,TH-26150,51.060941,11.23856,Aktiv-Schule Berlstedt - An der Via Regia - Staatliche Regelschule,26150,036452 74660,Regelschule,Regelschule,TH
"Unterer Markt 4, 96515 Sonneberg",,true,TH-25919,50.365045,11.175385,"""Bürgerschule"" Sonneberg Staatliche Regelschule",25919,03675/702883,Regelschule,Regelschule,TH
"Breiter Rasen 2, 98646 Hildburghausen",,false,TH-70648,50.42091,10.734012,Albert-Schweitzer-Fördersc,70648,03685401310,Förderschule in freier Trägerschaft,Förderschule,TH
"Bahnhofstraße 50, 99752 Bleicherode",,false,TH-31044,51.442993,10.57804,Albert-Schweitzer-Schule Bleicherode Staatliches regionales Förderzentrum,31044,036338/42324,Förderschule,Förderschule,TH
"Moskauer Str. 63, 99427 Weimar",,false,TH-19327,50.989546,11.303237,Albert-Schweitzer-Schule Weimar Staatliche Grundschule,19327,03643/410235,Grundschule,Grundschule,TH
"Ruppersdorf 96, 07368 Remptendorf",,true,TH-14489,50.507469,11.579839,"""Lichtblicke"" Staatliche Grundschule Ruppersdorf",14489,036643/345544,Grundschule,Grundschule,TH
"Hauptstraße 28, 99439 Berlstedt",,true,TH-17795,51.061101,11.239535,Aktiv-Schule Berlstedt - An der Via Regia - Staatliche Grundschule,17795,036452/71970,Grundschule,Grundschule,TH
"Schellrodaer Weg 4, 99097 Erfurt",,false,TH-75007,50.943829,11.085561,"Aktiv-Schule Erfurt, Freie Gemeinschaftsschule",75007,03616609020,Thür. Gemeinschaftsschule in freier Trägerschaft,Gemeinschaftsschule,TH
"Hans-Sailer-Str. 25, 99089 Erfurt",,false,TH-18503,50.994393,11.023898,Bechsteinschule Erfurt Staatliche Grundschule,18503,0361/7312136,Grundschule,Grundschule,TH
"Zum Kindergarten 16, 99947 Kirchheilingen",,false,TH-75490,51.185578,10.70461,AWO Dalton-Gemeinschaftsschule,75490,,Thür. Gemeinschaftsschule in freier Trägerschaft,Gemeinschaftsschule,TH
"Curiestraße 29, 99097 Erfurt",,true,TH-18757,50.948721,11.080744,Astrid-Lindgren-Schule Erfurt Staatliche Grundschule,18757,0361/412179,Grundschule,Grundschule,TH
"Fritz-Reuter-Str. 7, 07551 Gera",,false,TH-18906,50.847059,12.088716,Zwötzener Schule Gera Staatliche Grundschule,18906,0365/32228,Grundschule,Grundschule,TH
"Schulstraße 22, 99334 Amt Wachsenburg",,false,TH-10718,50.881155,10.969641,Wilhelm-Hey-Grundschule Ichtershausen Staatliche Grundschule,10718,03628/600 303,Grundschule,Grundschule,TH
"Siegfried-Flack-Str. 33c, 04600 Altenburg",,false,TH-10028,51.000461,12.423955,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,10028,03447/81027,Grundschule,Grundschule,TH
"Saalfelder Str. 24, 07549 Gera",,false,TH-18863,50.847116,12.059452,Wilhelm-Busch-Grundschule Gera Staatliche Grundschule,18863,0365/35042,Grundschule,Grundschule,TH
"Clara-Zetkin-Str. 7, 07545 Gera",,false,TH-51215,50.880828,12.082346,Zabel-Gymnasium Gera Staatliches Gymnasium,51215,0365/8001515,Gymnasium,Gymnasium,TH
"Gartenstr. 15, 04618 Langenleuba-Niederhain",,false,TH-10301,50.957797,12.587918,Wieratalschule Langenleuba-Niederhain Staatliche Grundschule,10301,034497/78314,Grundschule,Grundschule,TH
"Gartenstr. 15, 04618 Langenleuba-Niederhain",,true,TH-20110,50.957797,12.587918,Wieratalschule Langenleuba-Niederhain Staatliche Regelschule,20110,034497 78314,Regelschule,Regelschule,TH
"Salzstraße 6-8, 99625 Kölleda",,false,TH-16791,51.190431,11.246909,Wippertus-Schule Kölleda Staatliche Grundschule,16791,03635/482236,Grundschule,Grundschule,TH
"Thomas- Müntzer- Straße 1, 99638 Kindelbrück",,false,TH-16775,51.259426,11.081969,Wippertal-Grundschule Staatliche Grundschule Kindelbrück,16775,036375/54630,Grundschule,Grundschule,TH
"August-Bebel-Str. 23, 07743 Jena",,false,TH-19060,50.931387,11.573785,Westschule Jena Staatliche Grundschule,19060,03641/820848,Grundschule,Grundschule,TH
"Rötweg 6, 98574 Schmalkalden",,false,TH-76481,50.726322,10.450403,Weidenschule - Grundschule in freier Trägerschaft,76481,03683 6098 808,Grundschule in freier Trägerschaft,Grundschule,TH
"Weimarische Str. 42, 99428 Niederzimmern",,false,TH-26224,51.005084,11.198153,Wartenbergschule Niederzimmern Staatliche Regelschule,26224,036203/90250,Regelschule,Regelschule,TH
"Wilhelm-Pieck-Str. 1, 99817 Eisenach",,false,TH-20946,50.98898,10.299958,Wartburg-Schule Eisenach Staatliche Regelschule,20946,03691/203776,Regelschule,Regelschule,TH
"Schulstraße 9 - 11, 36404 Vacha",,false,TH-11293,50.827285,10.02216,Vitus-Grundschule Vacha Staatliche Grundschule,11293,036962/24886 o. 24883,Grundschule,Grundschule,TH
"Grünstraße 9, 99084 Erfurt",,false,TH-26482,50.984064,11.02578,Ulrich-von-Hutten-Schule Erfurt Staatliche Regelschule,26482,0361/6464977,Regelschule,Regelschule,TH
"Zinzendorfstraße 19, 99192 Nesse-Apfelstädt",,false,TH-50237,50.911019,10.91332,von-Bülow-Gymnasium Neudietendorf Staatliches Gymnasium,50237,036202/290-0,Gymnasium,Gymnasium,TH
"Rathausstr. 16, 04610 Meuselwitz",,false,TH-50027,51.040562,12.300123,Veit-Ludwig-von-Seckendorf,50027,0 34 48/75 14 0,Gymnasium,Gymnasium,TH
"Muldenweg 10, 99099 Erfurt",,false,TH-31826,50.955319,11.061067,"Waidschule am Muldenweg Staatliches regionales Förderzentrum Erfurt-Süd, Förderschwerpunkte Lernen, Verhalten und Sprache",31826,0361/412582,Förderschule,Förderschule,TH
"Burgauer Weg 1a, 07745 Jena",,false,TH-79318,50.91903,11.580799,"UniverSaale Jena, Freie Gesamtschule",79318,03641/534210,Integrierte Gesamtschule in freier Trägerschaft,Integrierte Gesamtschule,TH
"Oststraße 14, 99986 Oberdorla",,false,TH-14985,51.166193,10.430265,Vogteischule Oberdorla Staatliche Grundschule,14985,03601/750907,Grundschule,Grundschule,TH
"Binderslebener Landstraße 162, 99092 Erfurt",,false,TH-60239,50.973516,10.995476,"Walter-Gropius-Schule Erfurt, Staatliche Berufsbildende Schule 7",60239,0361/6534781,Berufsbildende Schule,Berufsbildende Schule,TH
"Heinrich-Fritz-Straße 19, 07973 Greiz",,false,TH-50381,50.651668,12.1955,Ulf-Merbold-Gymnasium Staatliches Gymnasium Greiz,50381,03661/430069,Gymnasium,Gymnasium,TH
"Johannesstraße 1, 99631 Weißensee",,false,TH-16955,51.201437,11.068459,Traumzauberbaum-Schule Weißensee Staatliche Grundschule,16955,036374/20303,Grundschule,Grundschule,TH
"Am Sportplatz 4, 99518 Bad Sulza",,false,TH-20230,51.083583,11.623021,Toskana-Schule Bad Sulza Staatliche Regelschule,20230,036461/86910,Regelschule,Regelschule,TH
"Holbeinstraße 16, 37308 Heilbad Heiligenstadt",,false,TH-23726,51.384002,10.140316,Tilman-Riemenschneider-Sch,23726,03606 - 605081,Regelschule,Regelschule,TH
"An der Burg 19, 99974 Mühlhausen",,false,TH-50567,51.212005,10.455517,Tilesius-Gymnasium Mühlhausen Staatliches Gymnasium,50567,03601/880063,Gymnasium,Gymnasium,TH
"Belvederer Allee 40, 99425 Weimar",,false,TH-79201,50.962964,11.339076,Thuringia International School,79201,036450/489910,Ergänzungsschule in freier Trägerschaft,Ergänzungsschule,TH
"Schwanseestraße 11, 99423 Weimar",,false,TH-40745,50.982691,11.322481,Thüringenkolleg Weimar,40745,03643/83150,Kolleg,Kolleg,TH
"Beim Bahnhof 40, 99955 Bruchstedt",,false,TH-70918,51.182284,10.788773,"THEPRA-Förderzentrum ""Am Fernebach"", Förderschwerpunkt geistige Entwicklung",70918,036041/57657,Förderschule in freier Trägerschaft,Förderschule,TH
