Kategorie,Bundesland,jahr,wert
Hochschule,Bund,1995,1770202
Hochschule,Bund,1996,1757273
Hochschule,Bund,1997,1747661
Hochschule,Bund,1998,1758319
Hochschule,Bund,1999,1897459
Hochschule,Bund,2000,1936458
Hochschule,Bund,2001,2079577
Hochschule,Bund,2002,2128165
Hochschule,Bund,2003,2133565
Hochschule,Bund,2004,1827131
Hochschule,Bund,2005,1843472
Hochschule,Bund,2006,1892899
Hochschule,Bund,2007,2128127
Hochschule,Bund,2008,2411664
Hochschule,Bund,2009,2763724
Hochschule,Bund,2010,3224487
Hochschule,Bund,2011,3825629
Hochschule,Bund,"2012
 vorl. Ist",3977066
Hochschule,Bund,"2013
 vorl. Ist",4907454
Hochschule,Bund,"2014
 vorl. Ist",4966823
Hochschule,Bund,"2015
 vorl. Ist",5030299
Hochschule,Bund,"2015
 Soll",5044874
Hochschule,Bund,"2016
 Soll",5511094
Hochschule,Baden-Württemberg,1995,1924370
Hochschule,Baden-Württemberg,1996,1981839
Hochschule,Baden-Württemberg,1997,1919030
Hochschule,Baden-Württemberg,1998,1965278
Hochschule,Baden-Württemberg,1999,2114843
Hochschule,Baden-Württemberg,2000,2190117
Hochschule,Baden-Württemberg,2001,2171359
Hochschule,Baden-Württemberg,2002,2489641
Hochschule,Baden-Württemberg,2003,2140332
Hochschule,Baden-Württemberg,2004,2162278
Hochschule,Baden-Württemberg,2005,2205640
Hochschule,Baden-Württemberg,2006,2465997
Hochschule,Baden-Württemberg,2007,2117663
Hochschule,Baden-Württemberg,2008,2334780
Hochschule,Baden-Württemberg,2009,2553732
Hochschule,Baden-Württemberg,2010,2544478
Hochschule,Baden-Württemberg,2011,2660638
Hochschule,Baden-Württemberg,"2012
 vorl. Ist",2867166
Hochschule,Baden-Württemberg,"2013
 vorl. Ist",2797175
Hochschule,Baden-Württemberg,"2014
 vorl. Ist",3161448
Hochschule,Baden-Württemberg,"2015
 vorl. Ist",3330444
Hochschule,Baden-Württemberg,"2015
 Soll",3314436
Hochschule,Baden-Württemberg,"2016
 Soll",3339729
Hochschule,Bayern,1995,2079068
Hochschule,Bayern,1996,2237796
Hochschule,Bayern,1997,2231991
Hochschule,Bayern,1998,2247916
Hochschule,Bayern,1999,2189174
Hochschule,Bayern,2000,2150869
Hochschule,Bayern,2001,2237394
Hochschule,Bayern,2002,2152584
Hochschule,Bayern,2003,2351288
Hochschule,Bayern,2004,2307515
Hochschule,Bayern,2005,2233960
Hochschule,Bayern,2006,2277959
Hochschule,Bayern,2007,2316992
Hochschule,Bayern,2008,2386411
Hochschule,Bayern,2009,2551482
Hochschule,Bayern,2010,2721842
Hochschule,Bayern,2011,2836950
Hochschule,Bayern,"2012
 vorl. Ist",2701796
Hochschule,Bayern,"2013
 vorl. Ist",2769409
Hochschule,Bayern,"2014
 vorl. Ist",3006805
Hochschule,Bayern,"2015
 vorl. Ist",3150986
Hochschule,Bayern,"2015
 Soll",3284115
Hochschule,Bayern,"2016
 Soll",3353734
Hochschule,Brandenburg,1995,228894
Hochschule,Brandenburg,1996,250480
Hochschule,Brandenburg,1997,273334
Hochschule,Brandenburg,1998,268175
Hochschule,Brandenburg,1999,264121
Hochschule,Brandenburg,2000,237095
Hochschule,Brandenburg,2001,225288
Hochschule,Brandenburg,2002,243224
Hochschule,Brandenburg,2003,243166
Hochschule,Brandenburg,2004,249938
Hochschule,Brandenburg,2005,237004
Hochschule,Brandenburg,2006,248942
Hochschule,Brandenburg,2007,247976
Hochschule,Brandenburg,2008,222996
Hochschule,Brandenburg,2009,238782
Hochschule,Brandenburg,2010,252657
Hochschule,Brandenburg,2011,289790
Hochschule,Brandenburg,"2012
 vorl. Ist",257553
Hochschule,Brandenburg,"2013
 vorl. Ist",266302
Hochschule,Brandenburg,"2014
 vorl. Ist",290446
