Sprache,Schulart,Klassenstufe,Bundesland,Anzahl
Englisch,Grundschulen,1. Klassenstufe,Baden-Württemberg,63173
Englisch,Grundschulen,1. Klassenstufe,Bayern,780
Englisch,Grundschulen,1. Klassenstufe,Berlin,0
Englisch,Grundschulen,1. Klassenstufe,Brandenburg,825
Englisch,Grundschulen,1. Klassenstufe,Bremen,220
Englisch,Grundschulen,1. Klassenstufe,Hamburg,13820
Englisch,Grundschulen,1. Klassenstufe,Hessen,443
Englisch,Grundschulen,1. Klassenstufe,Mecklenburg-Vorpommern,4365
Englisch,Grundschulen,1. Klassenstufe,Niedersachsen,129
Englisch,Grundschulen,1. Klassenstufe,Nordrhein-Westfalen,59279
Englisch,Grundschulen,1. Klassenstufe,Rheinland-Pfalz,31862
Englisch,Grundschulen,1. Klassenstufe,Saarland,0
Englisch,Grundschulen,1. Klassenstufe,Sachsen,1632
Englisch,Grundschulen,1. Klassenstufe,Sachsen-Anhalt,6505
Englisch,Grundschulen,1. Klassenstufe,Schleswig-Holstein,800
Englisch,Grundschulen,1. Klassenstufe,Thüringen,1665
Englisch,Grundschulen,2. Klassenstufe,Baden-Württemberg,64820
Englisch,Grundschulen,2. Klassenstufe,Bayern,806
Englisch,Grundschulen,2. Klassenstufe,Berlin,0
Englisch,Grundschulen,2. Klassenstufe,Brandenburg,927
Englisch,Grundschulen,2. Klassenstufe,Bremen,233
Englisch,Grundschulen,2. Klassenstufe,Hamburg,13964
Englisch,Grundschulen,2. Klassenstufe,Hessen,504
Englisch,Grundschulen,2. Klassenstufe,Mecklenburg-Vorpommern,4372
Englisch,Grundschulen,2. Klassenstufe,Niedersachsen,195
Englisch,Grundschulen,2. Klassenstufe,Nordrhein-Westfalen,147398
Englisch,Grundschulen,2. Klassenstufe,Rheinland-Pfalz,33096
Englisch,Grundschulen,2. Klassenstufe,Saarland,0
Englisch,Grundschulen,2. Klassenstufe,Sachsen,1860
Englisch,Grundschulen,2. Klassenstufe,Sachsen-Anhalt,8102
Englisch,Grundschulen,2. Klassenstufe,Schleswig-Holstein,879
Englisch,Grundschulen,2. Klassenstufe,Thüringen,1922
Englisch,Grundschulen,3. Klassenstufe,Baden-Württemberg,63852
Englisch,Grundschulen,3. Klassenstufe,Bayern,104317
Englisch,Grundschulen,3. Klassenstufe,Berlin,26278
Englisch,Grundschulen,3. Klassenstufe,Brandenburg,19844
Englisch,Grundschulen,3. Klassenstufe,Bremen,5316
Englisch,Grundschulen,3. Klassenstufe,Hamburg,13603
Englisch,Grundschulen,3. Klassenstufe,Hessen,50312
Englisch,Grundschulen,3. Klassenstufe,Mecklenburg-Vorpommern,12322
Englisch,Grundschulen,3. Klassenstufe,Niedersachsen,69171
Englisch,Grundschulen,3. Klassenstufe,Nordrhein-Westfalen,147197
Englisch,Grundschulen,3. Klassenstufe,Rheinland-Pfalz,32001
Englisch,Grundschulen,3. Klassenstufe,Saarland,0
Englisch,Grundschulen,3. Klassenstufe,Sachsen,32656
Englisch,Grundschulen,3. Klassenstufe,Sachsen-Anhalt,16159
Englisch,Grundschulen,3. Klassenstufe,Schleswig-Holstein,23317
Englisch,Grundschulen,3. Klassenstufe,Thüringen,15616
Englisch,Grundschulen,4. Klassenstufe,Baden-Württemberg,62835
Englisch,Grundschulen,4. Klassenstufe,Bayern,103039
Englisch,Grundschulen,4. Klassenstufe,Berlin,24027
Englisch,Grundschulen,4. Klassenstufe,Brandenburg,19292
Englisch,Grundschulen,4. Klassenstufe,Bremen,5163
Englisch,Grundschulen,4. Klassenstufe,Hamburg,13164
Englisch,Grundschulen,4. Klassenstufe,Hessen,49650
Englisch,Grundschulen,4. Klassenstufe,Mecklenburg-Vorpommern,11894
Englisch,Grundschulen,4. Klassenstufe,Niedersachsen,71111
Englisch,Grundschulen,4. Klassenstufe,Nordrhein-Westfalen,146673
Englisch,Grundschulen,4. Klassenstufe,Rheinland-Pfalz,31293
Englisch,Grundschulen,4. Klassenstufe,Saarland,0
Englisch,Grundschulen,4. Klassenstufe,Sachsen,30274
Englisch,Grundschulen,4. Klassenstufe,Sachsen-Anhalt,15708
Englisch,Grundschulen,4. Klassenstufe,Schleswig-Holstein,24002
Englisch,Grundschulen,4. Klassenstufe,Thüringen,15072
Englisch,Grundschulen,Primarbereich - ohne Klassenstufe,Baden-Württemberg,838
Englisch,Grundschulen,Primarbereich - ohne Klassenstufe,Bayern,0
Englisch,Grundschulen,Primarbereich - ohne Klassenstufe,Berlin,3058
Englisch,Grundschulen,Primarbereich - ohne Klassenstufe,Brandenburg,0
Englisch,Grundschulen,Primarbereich - ohne Klassenstufe,Bremen,0
