Jahrgangsstufe,Schulart,Geschlecht,bundesland,anzahl
Vorschulbereich,Vorklassen,männlich,Baden-Württemberg,0
Vorschulbereich,Vorklassen,männlich,Bayern,0
Vorschulbereich,Vorklassen,männlich,Berlin,0
Vorschulbereich,Vorklassen,männlich,Brandenburg,0
Vorschulbereich,Vorklassen,männlich,Bremen,0
Vorschulbereich,Vorklassen,männlich,Hamburg,4301
Vorschulbereich,Vorklassen,männlich,Hessen,1160
Vorschulbereich,Vorklassen,männlich,Mecklenburg-Vorpommern,0
Vorschulbereich,Vorklassen,männlich,Niedersachsen,0
Vorschulbereich,Vorklassen,männlich,Nordrhein-Westfalen,0
Vorschulbereich,Vorklassen,männlich,Rheinland-Pfalz,0
Vorschulbereich,Vorklassen,männlich,Saarland,0
Vorschulbereich,Vorklassen,männlich,Sachsen,0
Vorschulbereich,Vorklassen,männlich,Sachsen-Anhalt,0
Vorschulbereich,Vorklassen,männlich,Schleswig-Holstein,0
Vorschulbereich,Vorklassen,männlich,Thüringen,0
Vorschulbereich,Vorklassen,weiblich,Baden-Württemberg,0
Vorschulbereich,Vorklassen,weiblich,Bayern,0
Vorschulbereich,Vorklassen,weiblich,Berlin,0
Vorschulbereich,Vorklassen,weiblich,Brandenburg,0
Vorschulbereich,Vorklassen,weiblich,Bremen,0
Vorschulbereich,Vorklassen,weiblich,Hamburg,4089
Vorschulbereich,Vorklassen,weiblich,Hessen,1152
Vorschulbereich,Vorklassen,weiblich,Mecklenburg-Vorpommern,0
Vorschulbereich,Vorklassen,weiblich,Niedersachsen,0
Vorschulbereich,Vorklassen,weiblich,Nordrhein-Westfalen,0
Vorschulbereich,Vorklassen,weiblich,Rheinland-Pfalz,0
Vorschulbereich,Vorklassen,weiblich,Saarland,0
Vorschulbereich,Vorklassen,weiblich,Sachsen,0
Vorschulbereich,Vorklassen,weiblich,Sachsen-Anhalt,0
Vorschulbereich,Vorklassen,weiblich,Schleswig-Holstein,0
Vorschulbereich,Vorklassen,weiblich,Thüringen,0
Vorschulbereich,Schulkindergärten,männlich,Baden-Württemberg,5299
