Schulart,jahr,anzahl,Land
Schulkindergärten,1992,430,Baden-Württemberg
Schulkindergärten,2007,480,Baden-Württemberg
Schulkindergärten,2008,486,Baden-Württemberg
Schulkindergärten,2009,491,Baden-Württemberg
Schulkindergärten,2010,493,Baden-Württemberg
Schulkindergärten,2011,433,Baden-Württemberg
Schulkindergärten,2012,434,Baden-Württemberg
Schulkindergärten,2013,435,Baden-Württemberg
Schulkindergärten,2014,434,Baden-Württemberg
Schulkindergärten,2015,434,Baden-Württemberg
Grundschulen,1992,2460,Baden-Württemberg
Grundschulen,2007,2554,Baden-Württemberg
Grundschulen,2008,2555,Baden-Württemberg
Grundschulen,2009,2557,Baden-Württemberg
Grundschulen,2010,2545,Baden-Württemberg
Grundschulen,2011,2529,Baden-Württemberg
Grundschulen,2012,2490,Baden-Württemberg
Grundschulen,2013,2409,Baden-Württemberg
Grundschulen,2014,2331,Baden-Württemberg
Grundschulen,2015,2274,Baden-Württemberg
Schulartunabhängige Orientierungsstufe,1992,4,Baden-Württemberg
Schulartunabhängige Orientierungsstufe,2007,1,Baden-Württemberg
Schulartunabhängige Orientierungsstufe,2008,1,Baden-Württemberg
Schulartunabhängige Orientierungsstufe,2009,1,Baden-Württemberg
Schulartunabhängige Orientierungsstufe,2010,1,Baden-Württemberg
Schulartunabhängige Orientierungsstufe,2011,1,Baden-Württemberg
Schulartunabhängige Orientierungsstufe,2012,1,Baden-Württemberg
Schulartunabhängige Orientierungsstufe,2013,1,Baden-Württemberg
Schulartunabhängige Orientierungsstufe,2014,1,Baden-Württemberg
Schulartunabhängige Orientierungsstufe,2015,1,Baden-Württemberg
Hauptschulen,1992,1291,Baden-Württemberg
Hauptschulen,2007,1225,Baden-Württemberg
Hauptschulen,2008,1216,Baden-Württemberg
Hauptschulen,2009,1194,Baden-Württemberg
Hauptschulen,2010,1076,Baden-Württemberg
Hauptschulen,2011,938,Baden-Württemberg
Hauptschulen,2012,906,Baden-Württemberg
Hauptschulen,2013,868,Baden-Württemberg
Hauptschulen,2014,827,Baden-Württemberg
Hauptschulen,2015,791,Baden-Württemberg
Realschulen,1992,445,Baden-Württemberg
Realschulen,2007,477,Baden-Württemberg
Realschulen,2008,478,Baden-Württemberg
Realschulen,2009,483,Baden-Württemberg
Realschulen,2010,489,Baden-Württemberg
Realschulen,2011,494,Baden-Württemberg
Realschulen,2012,503,Baden-Württemberg
Realschulen,2013,503,Baden-Württemberg
Realschulen,2014,503,Baden-Württemberg
Realschulen,2015,507,Baden-Württemberg
Gymnasien,1992,411,Baden-Württemberg
Gymnasien,2007,440,Baden-Württemberg
Gymnasien,2008,444,Baden-Württemberg
Gymnasien,2009,445,Baden-Württemberg
Gymnasien,2010,449,Baden-Württemberg
Gymnasien,2011,451,Baden-Württemberg
Gymnasien,2012,455,Baden-Württemberg
Gymnasien,2013,458,Baden-Württemberg
Gymnasien,2014,459,Baden-Württemberg
Gymnasien,2015,459,Baden-Württemberg
Integrierte Gesamtschulen,1992,3,Baden-Württemberg
Integrierte Gesamtschulen,2007,3,Baden-Württemberg
Integrierte Gesamtschulen,2008,3,Baden-Württemberg
Integrierte Gesamtschulen,2009,3,Baden-Württemberg
Integrierte Gesamtschulen,2010,3,Baden-Württemberg
Integrierte Gesamtschulen,2011,3,Baden-Württemberg
Integrierte Gesamtschulen,2012,45,Baden-Württemberg
Integrierte Gesamtschulen,2013,242,Baden-Württemberg
Integrierte Gesamtschulen,2014,391,Baden-Württemberg
Integrierte Gesamtschulen,2015,500,Baden-Württemberg
Freie Waldorfschulen,1992,34,Baden-Württemberg
Freie Waldorfschulen,2007,53,Baden-Württemberg
Freie Waldorfschulen,2008,55,Baden-Württemberg
Freie Waldorfschulen,2009,56,Baden-Württemberg
Freie Waldorfschulen,2010,56,Baden-Württemberg
Freie Waldorfschulen,2011,57,Baden-Württemberg
Freie Waldorfschulen,2012,58,Baden-Württemberg
Freie Waldorfschulen,2013,58,Baden-Württemberg
Freie Waldorfschulen,2014,58,Baden-Württemberg
Freie Waldorfschulen,2015,59,Baden-Württemberg
Förderschulen,1992,539,Baden-Württemberg
Förderschulen,2007,579,Baden-Württemberg
Förderschulen,2008,577,Baden-Württemberg
Förderschulen,2009,581,Baden-Württemberg
Förderschulen,2010,584,Baden-Württemberg
Förderschulen,2011,582,Baden-Württemberg
Förderschulen,2012,582,Baden-Württemberg
Förderschulen,2013,578,Baden-Württemberg
Förderschulen,2014,577,Baden-Württemberg
Förderschulen,2015,567,Baden-Württemberg
Abendrealschulen,1992,50,Baden-Württemberg
Abendrealschulen,2007,44,Baden-Württemberg
Abendrealschulen,2008,42,Baden-Württemberg
Abendrealschulen,2009,41,Baden-Württemberg
Abendrealschulen,2010,42,Baden-Württemberg
Abendrealschulen,2011,41,Baden-Württemberg
Abendrealschulen,2012,39,Baden-Württemberg
Abendrealschulen,2013,39,Baden-Württemberg
Abendrealschulen,2014,39,Baden-Württemberg
Abendrealschulen,2015,37,Baden-Württemberg
Abendgymnasien,1992,18,Baden-Württemberg
Abendgymnasien,2007,20,Baden-Württemberg
Abendgymnasien,2008,20,Baden-Württemberg
Abendgymnasien,2009,21,Baden-Württemberg
Abendgymnasien,2010,22,Baden-Württemberg
Abendgymnasien,2011,22,Baden-Württemberg
Abendgymnasien,2012,22,Baden-Württemberg
Abendgymnasien,2013,23,Baden-Württemberg
Abendgymnasien,2014,23,Baden-Württemberg
Abendgymnasien,2015,23,Baden-Württemberg
Kollegs,1992,8,Baden-Württemberg
Kollegs,2007,6,Baden-Württemberg
Kollegs,2008,6,Baden-Württemberg
Kollegs,2009,6,Baden-Württemberg
Kollegs,2010,6,Baden-Württemberg
Kollegs,2011,7,Baden-Württemberg
Kollegs,2012,7,Baden-Württemberg
Kollegs,2013,7,Baden-Württemberg
Kollegs,2014,6,Baden-Württemberg
Kollegs,2015,6,Baden-Württemberg
Grundschulen,1992,2371,Bayern
Grundschulen,2007,2418,Bayern
Grundschulen,2008,2416,Bayern
Grundschulen,2009,2415,Bayern
Grundschulen,2010,2420,Bayern
Grundschulen,2011,2412,Bayern
Grundschulen,2012,2411,Bayern
Grundschulen,2013,2406,Bayern
Grundschulen,2014,2405,Bayern
Grundschulen,2015,2404,Bayern
Schulartunabhängige Orientierungsstufe,1992,1,Bayern
Schulartunabhängige Orientierungsstufe,2007,1,Bayern
Schulartunabhängige Orientierungsstufe,2008,1,Bayern
Schulartunabhängige Orientierungsstufe,2009,1,Bayern
Schulartunabhängige Orientierungsstufe,2010,1,Bayern
Schulartunabhängige Orientierungsstufe,2011,1,Bayern
Schulartunabhängige Orientierungsstufe,2012,1,Bayern
Schulartunabhängige Orientierungsstufe,2013,1,Bayern
Schulartunabhängige Orientierungsstufe,2014,1,Bayern
Schulartunabhängige Orientierungsstufe,2015,1,Bayern
Hauptschulen,1992,1688,Bayern
Hauptschulen,2007,1147,Bayern
Hauptschulen,2008,1109,Bayern
Hauptschulen,2009,1075,Bayern
Hauptschulen,2010,1062,Bayern
Hauptschulen,2011,1044,Bayern
Hauptschulen,2012,1033,Bayern
Hauptschulen,2013,1023,Bayern
Hauptschulen,2014,1005,Bayern
Hauptschulen,2015,997,Bayern
Realschulen,1992,393,Bayern
Realschulen,2007,423,Bayern
Realschulen,2008,426,Bayern
Realschulen,2009,429,Bayern
Realschulen,2010,443,Bayern
Realschulen,2011,446,Bayern
Realschulen,2012,451,Bayern
Realschulen,2013,458,Bayern
Realschulen,2014,457,Bayern
Realschulen,2015,456,Bayern
Gymnasien,1992,395,Bayern
Gymnasien,2007,405,Bayern
Gymnasien,2008,408,Bayern
Gymnasien,2009,410,Bayern
Gymnasien,2010,413,Bayern
Gymnasien,2011,415,Bayern
